"kstp","kper","storage_in","constant_head_in","wells_in","drno_drains_in","recharge_in","et_segments_in","stream_leakage_in","total_in","storage_out","constant_head_out","wells_out","drno_drains_out","recharge_out","et_segments_out","stream_leakage_out","total_out","difference","discrepancy"
31,1,11237098,0,2284088.75,0,227563.4062,0,12003546,25752296,5757893,0,616969.75,256441.25,0,190192.9844,18942700,25764196,-11900,-0.05
30,2,3944839,0,2210408.75,0,381720.7188,0,15335280,21872248,4200717,0,0,251254.5625,0,19843.2187,17403680,21875496,-3248,0.02
31,3,13224775,0,4568184.25,0,473186.0937,0,29549260,47815408,8997294,0,616969.75,507859.1875,0,190192.9844,37517760,47830072,-14664,-0.05
31,4,5225745,0,4494499.75,0,701567.1563,0,36651476,47073288,7752005,0,0,484343.125,0,19843.2187,38811448,47067640,5648,0.04
28,5,14739397,0,6631224.25,0,995816.5937,0,52430732,74797168,13279747,0,616969.75,710242.5,0,190192.9844,60047936,74845088,-47920,-0.07
31,6,7165093,0,6778579.75,0,3103261.1563,0,64868932,81915872,13599705,0,216765.5,714855.625,0,19843.2187,67471880,82023056,-107184,-0.03
30,7,17572351,0,9869004.25,0,1524040.3437,0,77072892,106038272,14777571,0,4473071,945744.125,0,190394.1719,85714248,106101024,-62752,-0.06
31,8,9069817,0,10124285.75,0,3528503.6563,0,94177636,116900256,16129239,0,5748309,963659,0,23669.2812,94159144,117024032,-123776,-0.02
30,9,25538783,0,10382784.25,0,2574475.3437,0,99389724,137885760,15000455,0,12889641,1185313,0,203648.2813,108724712,138003760,-118000,-0.07
31,10,18855293,0,10655191.75,0,5240587.1563,0,105090580,139841664,16268663,0,14425017,1182450.5,0,41480.2968,108051464,139969072,-127408,-0.02
31,11,31720987,0,10382784.25,0,3608510.8437,0,108118988,153831264,15929599,0,16869133,1233064.5,0,461997.3282,119459640,153953424,-122160,-0.06
30,12,23480453,0,10655191.75,0,5975317.1563,0,112743556,152854528,16554657,0,17304955,1212141.75,0,241618.6093,117670440,152983824,-129296,-0.02
31,13,34373883,0,12666864.25,0,4021957.8437,0,116401228,167463936,18511323,0,17461837,1315622.25,0,540857.8282,129759928,167589552,-125616,-0.06
30,14,24775053,0,12865591.75,0,7547347.1563,0,124861492,170049472,21666877,0,17304955,1354341.75,0,256359.0468,129600536,170183088,-133616,-0.02
31,15,35049043,0,14950944.25,0,6520123.8437,0,137526476,194046592,28031815,0,17461837,1489715.75,0,540857.8282,146651208,194175408,-128816,-0.05
31,16,24958673,0,15149671.75,0,10147999.1563,0,146678068,196934400,26569673,0,17304955,1540535,0,256359.0468,151391224,197062768,-128368,-0.02
29,17,35788047,0,17087664.25,0,6702300.8437,0,164958156,224536192,34372819,0,17461837,1674396.25,0,540857.8282,170655112,224704976,-168784,-0.05
31,18,26341873,0,17433751.75,0,10963113.1563,0,175110708,229849408,28970509,0,18044435,1751617.75,0,256359.0468,181023960,230046928,-197520,-0.03
30,19,38957835,0,20325504.25,0,7077660.8437,0,198641452,265002496,39253963,0,22503421,1889785.75,0,540870.3282,201066120,265254128,-251632,-0.06
31,20,33455197,0,20779519.75,0,11093127.1563,0,200716628,266044416,29532037,0,26807883,1975424.25,0,263179.2968,207730648,266309200,-264784,-0.04
30,21,49443555,0,20839224.25,0,9152040.8437,0,210213452,289648320,39535755,0,31676849,2089354,0,553275.8282,216047176,289902384,-254064,-0.05
31,22,41329109,0,21310363.75,0,12782441.1563,0,210246452,285668288,29710357,0,35561247,2108314.5,0,344401.3593,218219384,285943760,-275472,-0.04
31,23,55319683,0,20839224.25,0,10324832.8437,0,218172684,304656512,40470235,0,36591433,2101379.5,0,844684.6407,224937608,304945328,-288816,-0.06
30,24,45254693,0,21310363.75,0,13580141.1563,0,217615316,297760448,30722733,0,38128343,2129120,0,481189.7343,226569816,298031184,-270736,-0.03
31,25,57102275,0,23123304.25,0,11671782.8437,0,231090988,322988416,47143459,0,37059953,2212252.5,0,846378.7657,236021032,323283120,-294704,-0.06
30,26,46220741,0,23520763.75,0,14196881.1563,0,234219636,318157952,37294413,0,38128343,2271048.5,0,481189.7343,240258232,318433168,-275216,-0.03
31,27,57427395,0,25407384.25,0,16768740.8437,0,254360140,353963712,57614267,0,37059953,2370941,0,846378.7657,256366472,354258032,-294320,-0.05
31,28,47481549,0,25804843.75,0,26083507.1563,0,264184916,363554752,52186565,0,38128343,2797803,0,481189.7343,270287768,363881616,-326864,-0.04
28,29,59718411,0,27470424.25,0,17187284.8437,0,283804652,388180800,60776723,0,37059953,2673604,0,846378.7657,287197096,388553840,-373040,-0.05
31,30,51201021,0,28088923.75,0,26816595.1563,0,309390996,415497536,61082565,0,38442807,3274943.5,0,481189.7343,312544408,415825808,-328272,-0.04
30,31,63441651,0,30708264.25,0,17896724.8437,0,320463276,432509888,62399611,0,40355265,2967256,0,846398.1407,326389032,432957680,-447792,-0.05
31,32,53404589,0,31434691.75,0,32209355.1563,0,354657492,471706176,67695293,0,44991375,3931021.5,0,481700.3593,354924376,472023632,-317456,-0.03
30,33,73113859,0,31221984.25,0,21476684.8437,0,357072172,482884672,63436355,0,50995753,3688677,0,867875.3907,364452200,483441008,-556336,-0.06
31,34,62668893,0,31965535.75,0,34850679.1563,0,375039188,504524352,68001589,0,52050447,4537569,0,523402.2343,379776600,504889488,-365136,-0.03
31,35,80266291,0,31221984.25,0,23654868.8437,0,367545388,502688448,64238667,0,53510097,4012751,0,891416.6407,380598760,503251824,-563376,-0.06
30,36,68210925,0,31965535.75,0,36232359.1563,0,383490068,519898944,68218525,0,54234431,4744898,0,614600.9843,392452184,520264528,-365584,-0.03
31,37,82621923,0,33506064.25,0,24292848.8437,0,381250668,521671488,68491203,0,53965545,4204164,0,968405.8907,394609256,522238640,-567152,-0.06
30,38,69120813,0,34175935.75,0,36430959.1563,0,400825428,540553152,72763645,0,54234431,4931763,0,663708.8593,408328280,540921744,-368592,-0.03
31,39,83098595,0,35790144.25,0,26074604.8437,0,404401516,549364800,74183411,0,53965545,4427178,0,968405.8907,416388776,549933424,-568624,-0.06
31,40,69600925,0,36460015.75,0,39668103.1563,0,426038420,571767488,78369341,0,54234431,5164063,0,663708.8593,433753816,572185232,-417744,-0.03
28,41,84263027,0,37853184.25,0,26152668.8437,0,426831980,575100864,75612403,0,53965545,4648072,0,968405.8907,440517544,575712112,-611248,-0.06
31,42,70572333,0,38744095.75,0,39823847.1563,0,453651156,602791488,80477517,0,55015351,5418602,0,663708.8593,461689688,603264656,-473168,-0.03
30,43,88065715,0,41091024.25,0,26201028.8437,0,451881644,607239360,77495715,0,59243425,4896214,0,972209.0157,465315624,607923312,-683952,-0.07
31,44,74226445,0,42089863.75,0,40222507.1563,0,482092308,638631232,82473933,0,63180295,5669725,0,678856.7343,487179032,639181712,-550480,-0.03
30,45,101658851,0,41604864.25,0,26919460.8437,0,464061548,634244544,77563187,0,71504265,5100989,0,995894.3907,479818024,634982512,-737968,-0.07
31,46,85758557,0,42620831.75,0,41240795.1563,0,489101076,658721472,82611965,0,75023335,5681652,0,1015131.7343,494945944,659277840,-556368,-0.03
31,47,107383667,0,41604864.25,0,28034468.8437,0,469501036,646523840,78778419,0,76281641,5111244,0,1195312.0157,485905832,647272688,-748848,-0.07
30,48,89930189,0,42620831.75,0,42094715.1563,0,493939540,668585536,83415085,0,78420903,5695656,0,1162214.4843,500451736,669145360,-559824,-0.03
31,49,110087923,0,43888944.25,0,28277012.8437,0,475230828,657484480,82305939,0,76979769,5147583,0,1295837.2657,492499048,658228464,-743984,-0.07
30,50,91096765,0,44831231.75,0,44462555.1563,0,502688724,683079488,88864013,0,78420903,5807263,0,1162214.4843,509381400,683635472,-555984,-0.03
31,51,110838131,0,46173024.25,0,30403612.8437,0,489047916,676462528,88583555,0,76979769,5292117,0,1295837.2657,505060200,677211888,-749360,-0.07
31,52,93617309,0,47115311.75,0,73845843.1563,0,548988884,763567424,132211277,0,78420903,7245864,0,1162214.4843,545124760,764164624,-597200,-0.02
28,53,119966515,0,48236064.25,0,30562204.8437,0,527532844,726297536,94116851,0,76979769,6038053,0,1295837.2657,548682600,727113456,-815920,-0.07
31,54,97367021,0,49399391.75,0,90465563.1563,0,594595028,831827136,147690557,0,78420903,8679725,0,1162214.4843,596517272,832470288,-643152,-0.02
30,55,125634867,0,51473904.25,0,31762684.8437,0,565671596,774542912,96687491,0,76989849,6638898,0,1295837.2657,593767016,775379440,-836528,-0.07
31,56,101441869,0,52745159.75,0,91388619.1563,0,637472212,883048000,149863101,0,83324679,9168148,0,1162911.9843,640181656,883700112,-652112,-0.02
30,57,133882435,0,51987744.25,0,33051724.8437,0,603462444,822384192,97364899,0,86471945,7139125,0,1331875.0157,630951144,823259376,-875184,-0.07
