Stress_Period,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Runoff,Storage,Error
1,4066513,1620580,632261,-8797870,-290575,0,2769090,0
2,5971931,0,0,-3031579,-494619,0,-2445733,0
3,3847915,0,0,-709098,-315397,0,-2823421,0
4,4629442,0,0,-947483,-401325,0,-3280635,0
5,4771590,0,0,-1235589,-620132,0,-2915869,0
6,16933489,27254,227853,-13214473,-2734838,0,-1239285,0
7,6318744,2210486,3994738,-13794961,-619879,0,1890873,0
8,5365874,4811348,5746213,-14967983,-497896,0,-457556,0
9,5838298,7437637,8874455,-18573166,-1136154,0,-2441070,0
10,4285536,3899153,9178354,-22877676,-1785700,0,7300333,0
11,1465048,1619622,4161318,-15379709,-1050447,0,9184166,0
12,372378,1435289,2982006,-7877506,-744000,0,3831834,0
13,3438474,1320889,595260,-6086880,-474244,0,1206500,0
14,13615465,0,0,-2145563,-1852009,0,-9617893,0
15,10055835,0,0,-699281,-2732271,0,-6624282,0
16,9275055,0,0,-953252,-2817761,0,-5504042,0
17,662721,0,0,-1272687,-190805,0,800771,0
18,7735621,141098,758865,-11965595,-946217,0,4276228,0
19,6684325,3180152,5239508,-17196096,-470237,0,2562348,0
20,2337380,7701746,9242243,-20088515,-146214,0,953360,0
21,12947687,6031753,9775194,-24617994,-2235498,0,-1901143,0
22,1389836,4405422,9308926,-22147412,-1712680,0,8755908,0
23,0,1105998,5194898,-11533999,-1186436,0,6419539,0
24,858482,2630676,2691087,-6124760,-814579,0,759095,0
25,12384493,1517452,470616,-8914160,-1575221,0,-3883179,0
26,5827405,0,0,-3301064,-727515,0,-1798827,0
27,22447534,0,0,-739706,-5629219,0,-16078609,0
28,26584368,0,0,-741598,-12710269,0,-13132501,0
29,874791,0,0,-1029658,-434465,0,589331,0
30,9874164,69247,314359,-12034094,-883136,0,2659462,0
31,9819852,2460977,3354312,-15259221,-868317,0,492395,0
32,19484765,5709841,6844134,-22170044,-5764810,0,-4103886,0
33,4549767,9482569,11311079,-27449173,-3678067,0,5783824,0
34,0,9007939,7476004,-24571597,-2668081,0,10755735,0
35,4894143,5058107,2646785,-20197394,-2263156,0,9861515,0
36,1182363,4268055,2291329,-12280263,-1412029,0,5950545,0
37,3719191,1475141,457493,-7105132,-691647,0,2144955,0
38,3452041,0,0,-1357353,-257174,0,-1837515,0
39,12999486,0,0,-717291,-2066050,0,-10216145,0
40,10455993,0,0,-715057,-3490579,0,-6250357,0
41,265088,0,0,-1017380,-80571,0,832863,0
42,3216089,159409,801387,-13131445,-190152,0,9144712,0
