               Stress_Period  Alfalfa_Irrigated             Grain_Irrigated               Pasture_Irrigated             Native_Vegetation             Urban_Barren                  Water                         
   1          4616518.66                0.00          3547530.41           633821.10                0.00                0.00
   2          1004125.02                0.00           898593.87          1128860.60                0.00                0.00
   3                0.00                0.00                0.00           709097.51                0.00                0.00
   4                0.00                0.00                0.00           947482.83                0.00                0.00
   5                0.00                0.00                0.00          1235589.16                0.00                0.00
   6          5067678.20            25003.08          5490106.84          2631685.16                0.00                0.00
   7          5350040.55           230268.96          5505166.39          2709485.34                0.00                0.00
   8          5784980.99           925697.75          5525502.66          2731801.81                0.00                0.00
   9          8226610.56          1357679.44          7490508.22          1498368.26                0.00                0.00
  10         11362155.17           362575.38         10053129.15          1099142.90                0.00                0.00
  11          9614324.31                0.00          6441057.18           410062.26                0.00                0.00
  12          6522811.65                0.00          3820491.30           105430.33                0.00                0.00
  13          3443594.70                0.00          3298787.55           549994.26                0.00                0.00
  14           695665.46                0.00           634380.20           947180.91                0.00                0.00
  15                0.00                0.00                0.00           699281.15                0.00                0.00
  16                0.00                0.00                0.00           953251.57                0.00                0.00
  17                0.00                0.00                0.00          1272686.60                0.00                0.00
  18          4595081.59            29100.59          4991248.86          2350163.71                0.00                0.00
  19          6670280.61           330082.39          6836018.82          3359713.68                0.00                0.00
  20          8273527.23          1418574.03          7483380.95          2913033.15                0.00                0.00
  21         10465666.32          1619879.64          9870770.52          2661677.16                0.00                0.00
  22         11332183.35           290491.81          9393879.24          1114414.59                0.00                0.00
  23         10870601.16                0.00          5933372.81                0.00                0.00                0.00
  24          6287863.51                0.00          4818413.03           227777.58                0.00                0.00
  25          3722649.73                0.00          4305243.25          1750218.64                0.00                0.00
  26          1039106.09                0.00          1127106.44          1134851.36                0.00                0.00
  27                0.00                0.00                0.00           739705.94                0.00                0.00
  28                0.00                0.00                0.00           741597.63                0.00                0.00
  29                0.00                0.00                0.00          1029658.04                0.00                0.00
  30          4601753.71            25776.02          4991599.37          2414965.12                0.00                0.00
  31          5789303.93           266923.00          6239617.71          2963337.41                0.00                0.00
  32          8283156.68          1311920.45          8304292.96          4270674.41                0.00                0.00
  33         10645281.94          1617831.56          9953667.95          5232391.55                0.00                0.00
  34         10662518.96           314844.50          8974483.88          4619782.50                0.00                0.00
  35          9865702.31                0.00          8691599.31          1738954.98                0.00                0.00
  36          7787330.83                0.00          6274580.47           304661.14                0.00                0.00
  37          4678055.49                0.00          4017219.82           950014.17                0.00                0.00
  38           891146.34                0.00           642931.28           404384.67                0.00                0.00
  39                0.00                0.00                0.00           717290.74                0.00                0.00
  40                0.00                0.00                0.00           715056.54                0.00                0.00
  41                0.00                0.00                0.00          1017380.38                0.00                0.00
  42          5091602.29            30390.33          5470554.26          2538897.99                0.00                0.00
  43          6109507.79           292482.53          5658680.89          2187687.49                0.00                0.00
  44          8627591.07          1417650.62          7917886.12          2067538.45                0.00                0.00
  45         10115758.75          1531477.21          8655098.78                0.00                0.00                0.00
  46         12961658.68           323412.97          8078614.72                0.00                0.00                0.00
  47         10403894.49                0.00          4773946.23                0.00                0.00                0.00
  48          4765489.83                0.00          3814657.94           268779.09                0.00                0.00
  49          1881982.27                0.00          2656011.93            40518.17                0.00                0.00
  50           814416.46                0.00           901773.80           974998.56                0.00                0.00
  51                0.00                0.00                0.00           718431.93                0.00                0.00
  52                0.00                0.00                0.00           520209.23                0.00                0.00
  53                0.00                0.00                0.00          1625300.17                0.00                0.00
  54          3606701.49            23546.91          3993413.94          1973713.21                0.00                0.00
  55          5671829.81           304799.39          6279796.09          3035804.16                0.00                0.00
  56          8565916.92          1581308.99          8943546.84          4469122.02                0.00                0.00
  57          9998923.85          1750804.35          9130763.66          5083133.09                0.00                0.00
  58         10751738.04           352227.89          9752990.65          5211499.95                0.00                0.00
  59         10345700.16                0.00          8963122.26          1830861.33                0.00                0.00
  60          7027449.26                0.00          6111779.62           401092.54                0.00                0.00
  61          3749405.52                0.00          3608467.84           166423.09                0.00                0.00
  62           866556.63                0.00           783408.47           702115.73                0.00                0.00
  63                0.00                0.00                0.00           752811.15                0.00                0.00
  64                0.00                0.00                0.00           763897.82                0.00                0.00
  65                0.00                0.00                0.00          1274697.45                0.00                0.00
  66          4244639.52            23795.32          4492384.51          2134725.74                0.00                0.00
  67          6389778.52           267110.20          6629261.83          3189081.20                0.00                0.00
  68          8953175.03          1174847.28          8497539.67          4407207.94                0.00                0.00
  69         11543721.16          1316402.93          9171993.07          5077778.37                0.00                0.00
  70         13171707.21           211884.24         10832487.46          2156930.08                0.00                0.00
  71         11725506.58                0.00          8371481.87           407728.66                0.00                0.00
  72          6428464.60                0.00          5052644.03           549849.14                0.00                0.00
  73          3630498.34                0.00          4200822.96          1129007.93                0.00                0.00
  74           782200.13                0.00           902672.33          1163374.80                0.00                0.00
  75                0.00                0.00                0.00           774881.77                0.00                0.00
  76                0.00                0.00                0.00           966237.73                0.00                0.00
  77                0.00                0.00                0.00          1014028.95                0.00                0.00
  78          4528878.74            31998.87          4990620.54          2324331.03                0.00                0.00
  79          6135900.23           338759.86          6204132.60          3114586.82                0.00                0.00
  80         10288020.94          1887911.79          8898699.04          4869604.71                0.00                0.00
  81          9934890.53          1701191.70          8730271.04          3125643.07                0.00                0.00
  82          7170199.10           211039.41          6492859.46          1486700.24                0.00                0.00
  83           880715.70                0.00           912309.80           456695.73                0.00                0.00
  84           876557.18                0.00           966190.47           446863.66                0.00                0.00
  85           463254.72                0.00           499193.01           235308.26                0.00                0.00
  86           209211.81                0.00           225444.89           243750.12                0.00                0.00
  87                0.00                0.00                0.00           725397.89                0.00                0.00
  88                0.00                0.00                0.00           799289.94                0.00                0.00
  89                0.00                0.00                0.00          1016938.97                0.00                0.00
  90          4169285.15            27460.80          4492501.43          2172374.38                0.00                0.00
  91          6276341.86           308256.30          6576659.47          3150693.71                0.00                0.00
  92          6948807.97          1070386.37          7207773.84          3659025.25                0.00                0.00
  93         10732183.07          1483323.65         10051807.24          5331827.07                0.00                0.00
  94         12970384.86           285902.58         10987259.90          5779524.48                0.00                0.00
  95         11321898.02                0.00          9709416.67          1403748.31                0.00                0.00
  96          7711062.12                0.00          6924682.01          1165406.72                0.00                0.00
  97          4156366.36                0.00          4239522.96          1438379.94                0.00                0.00
  98           832228.53                0.00           901765.06           991945.79                0.00                0.00
  99                0.00                0.00                0.00           725295.18                0.00                0.00
 100                0.00                0.00                0.00           975907.79                0.00                0.00
 101                0.00                0.00                0.00          1658176.78                0.00                0.00
 102          3685583.49            22863.77          3993014.43          1868030.02                0.00                0.00
 103          6241713.97           302562.61          6213287.52          3033498.75                0.00                0.00
 104          9129223.68          1464776.87          7701238.39          4137780.79                0.00                0.00
 105         10263170.53          1616109.27          8684984.40          2201412.42                0.00                0.00
 106         12074462.77           315945.71         10410401.19           180212.45                0.00                0.00
 107         10010477.43                0.00          8677832.96           318064.68                0.00                0.00
 108          6782524.35                0.00          6112933.71                0.00                0.00                0.00
 109          3614853.68                0.00          4382721.40           468744.38                0.00                0.00
 110          1037599.48                0.00          1127151.28          1184752.21                0.00                0.00
 111                0.00                0.00                0.00           718036.06                0.00                0.00
 112                0.00                0.00                0.00           765607.03                0.00                0.00
 113                0.00                0.00                0.00          1317978.07                0.00                0.00
 114          2757048.96            23586.79          2994957.98          1430723.32                0.00                0.00
 115          6670280.61           392653.77          7230172.31          3457182.38                0.00                0.00
 116          8721854.16          1468652.91          8341791.52          4303879.51                0.00                0.00
 117          4851950.96           688423.39          4034469.32          2305781.98                0.00                0.00
 118         10321886.18           187730.64          8985830.79          4245633.78                0.00                0.00
 119         10460983.54                0.00          8187291.37           890882.18                0.00                0.00
 120          6595745.90                0.00          4969794.35           250251.54                0.00                0.00
 121          3837252.06                0.00          4308657.55          1669007.13                0.00                0.00
 122           831284.54                0.00           901680.91           921148.85                0.00                0.00
 123                0.00                0.00                0.00           712321.81                0.00                0.00
 124                0.00                0.00                0.00           960462.49                0.00                0.00
 125                0.00                0.00                0.00          1125869.48                0.00                0.00
 126          4601753.71            35378.85          4990846.64          2341473.10                0.00                0.00
 127          5789303.93           318180.56          5870963.78          2915001.27                0.00                0.00
 128         10351107.81          1816647.85          8975171.88          1686336.86                0.00                0.00
 129         10676164.94          1386472.71          9009804.12           139687.91                0.00                0.00
 130         12348711.21           220275.29          6881192.58           624415.83                0.00                0.00
 131         10901861.89                0.00          5078385.46                0.00                0.00                0.00
 132          4168109.10                0.00          4136439.17           644837.37                0.00                0.00
 133          1874687.60                0.00          2769682.06           307881.50                0.00                0.00
 134           472820.56                0.00           593922.06           885664.55                0.00                0.00
 135                0.00                0.00                0.00           773366.69                0.00                0.00
 136                0.00                0.00                0.00           992283.56                0.00                0.00
 137                0.00                0.00                0.00          1417371.52                0.00                0.00
 138          5554474.23            44785.74          5908115.20          2768119.43                0.00                0.00
 139          6271156.15           347926.37          5924409.59          3089258.78                0.00                0.00
 140          8280599.76          1320927.21          7349861.56          3959178.07                0.00                0.00
 141          9652278.50          1363113.94          8044633.55          3461019.17                0.00                0.00
 142         11315935.84           197176.64          9749626.31          1167027.00                0.00                0.00
 143         10869951.64                0.00          6910616.19                0.00                0.00                0.00
 144          7114082.51                0.00          4298643.28           191218.34                0.00                0.00
 145          2876646.28                0.00          2755485.63                0.00                0.00                0.00
 146           816801.52                0.00           810813.64           909356.76                0.00                0.00
 147                0.00                0.00                0.00           765887.24                0.00                0.00
 148                0.00                0.00                0.00          1003649.07                0.00                0.00
 149                0.00                0.00                0.00          3343495.81                0.00                0.00
 150          5410052.23            43861.89          5989959.96          2908857.83                0.00                0.00
 151          4799240.74           290143.11          5313804.16          2574561.81                0.00                0.00
 152          9016753.72          1709680.01          9310984.89          4515022.10                0.00                0.00
 153         11914404.34          2004987.12         10100806.08          5270657.78                0.00                0.00
 154         13081502.10           334601.33         11780592.01          3259437.69                0.00                0.00
 155         10252864.94                0.00          9975259.49          3713148.23                0.00                0.00
 156          7481320.62                0.00          6176913.78           365264.56                0.00                0.00
 157          4599409.55                0.00          3596916.51            76623.59                0.00                0.00
 158          1040738.79                0.00          1089255.29          1163004.00                0.00                0.00
 159                0.00                0.00                0.00           761885.79                0.00                0.00
 160                0.00                0.00                0.00          1260927.65                0.00                0.00
 161                0.00                0.00                0.00          2017531.87                0.00                0.00
 162          4244639.52            31685.35          4491696.35          2089615.70                0.00                0.00
 163          7302604.02           362310.77          7139740.66          3546861.78                0.00                0.00
 164          8928451.79          1212073.74          7769309.06          4297078.70                0.00                0.00
 165         11323213.85          1195143.79          9112876.81          3967577.51                0.00                0.00
 166         13522174.46           145926.73         11165485.39          1206174.62                0.00                0.00
 167         11283221.18                0.00          7097514.32           333961.29                0.00                0.00
 168          6581865.55                0.00          4203787.32                0.00                0.00                0.00
 169          3686997.25                0.00          4309743.74          1300707.72                0.00                0.00
 170          1022650.44                0.00          1127157.84          1162452.91                0.00                0.00
 171                0.00                0.00                0.00          1195083.51                0.00                0.00
 172                0.00                0.00                0.00           972390.90                0.00                0.00
 173                0.00                0.00                0.00          1465220.25                0.00                0.00
 174          4981767.51            47549.20          5489576.68          2560922.27                0.00                0.00
 175          5697622.51           374192.21          5838961.35          2925078.64                0.00                0.00
 176          7695264.90          1444931.86          7928180.95          4019968.50                0.00                0.00
 177          8595489.48          1376170.09          7231398.22          4239126.56                0.00                0.00
 178         11829719.42           240359.68         10171123.33          3729945.76                0.00                0.00
 179         11555725.86                0.00          8762007.05           843195.16                0.00                0.00
 180          6290612.48                0.00          4170793.77           172838.33                0.00                0.00
 181          3216035.58                0.00          2918705.75           383711.56                0.00                0.00
 182           830676.16                0.00           890643.42           949992.03                0.00                0.00
 183                0.00                0.00                0.00           748122.42                0.00                0.00
 184                0.00                0.00                0.00           790320.98                0.00                0.00
 185                0.00                0.00                0.00          1298469.82                0.00                0.00
 186          2779522.82            24377.47          2995075.13          1477461.46                0.00                0.00
 187          5379721.59           313591.29          5796704.18          2784467.30                0.00                0.00
 188          8798518.25          1398700.41          8503540.90          4344250.52                0.00                0.00
 189         10868123.82          1416084.41          8919083.24          4846089.03                0.00                0.00
 190         12751830.17           185281.40         10730155.36          1871354.63                0.00                0.00
 191         10139446.16                0.00          7651065.89          1065796.03                0.00                0.00
 192          6182452.91                0.00          4948850.84           100396.02                0.00                0.00
 193          2829242.41                0.00          3070840.63           141238.83                0.00                0.00
 194           806763.41                0.00           871339.97           958762.53                0.00                0.00
 195                0.00                0.00                0.00           732282.46                0.00                0.00
 196                0.00                0.00                0.00           695046.48                0.00                0.00
 197                0.00                0.00                0.00          1134120.30                0.00                0.00
 198          4606979.36            38607.69          4963144.65          2292259.27                0.00                0.00
 199          6241713.97           359917.25          5888923.92          3025652.80                0.00                0.00
 200          9514762.43          1591843.92          8062678.09          4493023.10                0.00                0.00
 201          9785894.85          1453289.77          8362156.02          2311082.50                0.00                0.00
 202         11277683.58           200309.14          8935553.82           463126.85                0.00                0.00
 203          9958902.37                0.00          5691395.27            71968.53                0.00                0.00
 204          5387573.02                0.00          3448699.06            78467.98                0.00                0.00
 205          3484841.93                0.00          3848406.76          1858318.54                0.00                0.00
 206          1037599.48                0.00          1127130.80          1124974.14                0.00                0.00
 207                0.00                0.00                0.00           734027.11                0.00                0.00
 208                0.00                0.00                0.00           763119.51                0.00                0.00
 209                0.00                0.00                0.00          1458207.54                0.00                0.00
 210          3676065.28            40842.93          3992801.89          1886855.65                0.00                0.00
 211          5780909.98           401882.24          5779610.42          2823378.94                0.00                0.00
 212          8699762.34          1505073.91          7904027.01          4269490.02                0.00                0.00
 213         10105604.09          1364384.36          8409662.15          3851988.54                0.00                0.00
 214         11288947.57           127983.44          9675868.31          1045530.52                0.00                0.00
 215         10020481.32                0.00          7165996.03                0.00                0.00                0.00
 216          6097834.81                0.00          4170109.08                0.00                0.00                0.00
 217          2940139.81                0.00          3071495.44           358594.54                0.00                0.00
 218          1039106.09                0.00          1127195.29          1166384.83                0.00                0.00
 219                0.00                0.00                0.00           734113.86                0.00                0.00
 220                0.00                0.00                0.00           945723.66                0.00                0.00
 221                0.00                0.00                0.00          1132232.99                0.00                0.00
 222          3681402.97            31133.39          3993210.35          1882462.39                0.00                0.00
 223          6234634.06           362798.29          6262517.98          3027145.28                0.00                0.00
 224          9188536.68          1530432.79          9003538.55          4616785.60                0.00                0.00
 225          9792052.92          1424284.95          8992702.20          5085507.85                0.00                0.00
 226         11866855.96           216524.62          9939991.09           852274.77                0.00                0.00
 227         10196585.19                0.00          5899467.86           293546.47                0.00                0.00
 228          7094852.06                0.00          4031925.34            57415.58                0.00                0.00
 229          3914281.67                0.00          4346909.30          1412463.41                0.00                0.00
 230           942098.50                0.00          1031877.88          1194469.10                0.00                0.00
 231                0.00                0.00                0.00           735969.80                0.00                0.00
