"kstp","kper","storage_in","constant_head_in","wells_in","drno_drains_in","recharge_in","et_segments_in","stream_leakage_in","total_in","storage_out","constant_head_out","wells_out","drno_drains_out","recharge_out","et_segments_out","stream_leakage_out","total_out","difference","discrepancy"
31,1,11237098,0,2284088.75,0,227563.4062,0,12003546,25752296,5757893,0,616969.75,256441.25,0,190192.9844,18942700,25764196,-11900,-0.05
30,2,3944839,0,2210408.75,0,381720.7188,0,15335280,21872248,4200717,0,0,251254.5625,0,19843.2187,17403680,21875496,-3248,0.02
31,3,13224775,0,4568184.25,0,473186.0937,0,29549260,47815408,8997294,0,616969.75,507859.1875,0,190192.9844,37517760,47830072,-14664,-0.05
31,4,5225745,0,4494499.75,0,701567.1563,0,36651476,47073288,7752005,0,0,484343.125,0,19843.2187,38811448,47067640,5648,0.04
28,5,14739397,0,6631224.25,0,995816.5937,0,52430732,74797168,13279747,0,616969.75,710242.5,0,190192.9844,60047936,74845088,-47920,-0.07
31,6,7165093,0,6778579.75,0,3103261.1563,0,64868932,81915872,13599705,0,216765.5,714855.625,0,19843.2187,67471880,82023056,-107184,-0.03
30,7,17572351,0,9869004.25,0,1524040.3437,0,77072892,106038272,14777571,0,4473071,945744.125,0,190394.1719,85714248,106101024,-62752,-0.06
31,8,9069817,0,10124285.75,0,3528503.6563,0,94177636,116900256,16129239,0,5748309,963659,0,23669.2812,94159144,117024032,-123776,-0.02
30,9,25538783,0,10382784.25,0,2574475.3437,0,99389724,137885760,15000455,0,12889641,1185313,0,203648.2813,108724712,138003760,-118000,-0.07
31,10,22244825,0,10655191.75,0,5303827.1563,0,104857588,143061440,16234287,0,19247511,1171815.25,0,40276.4375,106574040,143267952,-206512,-0.05
31,11,30189419,0,10382784.25,0,2688818.8437,0,110252764,153513792,19585145,0,12889641,1226473.5,0,496348.6875,119433144,153630736,-116944,-0.06
30,12,25383741,0,10655191.75,0,5332177.1563,0,115252228,156623328,17415671,0,19247511,1201354.75,0,268974.4375,118697464,156830992,-207664,-0.04
31,13,32737911,0,12666864.25,0,2886474.8437,0,119427212,167718496,21080469,0,13482609,1318296.25,0,579967.5,131378616,167839920,-121424,-0.06
30,14,26435389,0,12865591.75,0,6180850.1563,0,128453108,173934912,21508207,0,19247511,1354616.75,0,284474.0625,131751432,174146288,-211376,-0.04
31,15,33383603,0,14950944.25,0,4298152.8437,0,141340908,193973632,29182673,0,13482609,1501577.25,0,579967.5,149347640,194094416,-120784,-0.05
31,16,26647393,0,15149671.75,0,7901753.1563,0,150293236,199992032,25331355,0,19247511,1548315.75,0,284474.0625,153797800,200209520,-217488,-0.04
29,17,34032719,0,17087664.25,0,4423055.8437,0,168773676,224317152,35540513,0,13482609,1692153,0,579967.5,173175608,224470800,-153648,-0.05
31,18,28015325,0,17433751.75,0,8579227.1563,0,178705300,232733568,27680931,0,19986687,1765122.5,0,284474.0625,183324328,233041584,-308016,-0.05
30,19,37148467,0,20325504.25,0,4798415.8437,0,202450572,264723008,40397117,0,18526093,1912724.5,0,580008.75,203538712,264954608,-231600,-0.06
31,20,35084845,0,20779519.75,0,8730817.1563,0,204304948,268900096,28217099,0,28752691,1993662.5,0,291921.375,210020072,269275504,-375408,-0.05
30,21,47706883,0,20839224.25,0,6730895.8437,0,214032588,289309632,40664629,0,27700289,2115497,0,593508,218469784,289543632,-234000,-0.06
31,22,47750213,0,21310363.75,0,10241260.1563,0,212273108,291574912,28295859,0,42560487,2115359,0,376295.4375,218627368,291975472,-400560,-0.05
31,23,52330091,0,20839224.25,0,6730895.8437,0,221991852,301892096,45367829,0,27700289,2126531,0,902385.0625,226031224,302128144,-236048,-0.06
30,24,50478541,0,21310363.75,0,10287340.1563,0,223903540,305979776,32479707,0,42560487,2132105.5,0,558538.1875,228653512,306384496,-404720,-0.05
31,25,53669883,0,23123304.25,0,7489651.8437,0,236553100,320835968,50538253,0,28169009,2248869.5,0,904154.1875,239216600,321076752,-240784,-0.05
30,26,51286205,0,23520763.75,0,10636060.1563,0,241590772,327033792,38281659,0,42560487,2286813,0,558538.1875,243754440,327442032,-408240,-0.05
31,27,54130339,0,25407384.25,0,10304947.8437,0,259853932,349696576,58122405,0,28169009,2418447.5,0,904154.1875,260335256,349949200,-252624,-0.05
31,28,52547557,0,25804843.75,0,22168804.1563,0,271562036,372083264,53326427,0,42560487,2794056.5,0,558538.1875,273305320,372544880,-461616,-0.05
28,29,56321211,0,27470424.25,0,10726627.8437,0,289295884,383814080,61326117,0,28169009,2730651.5,0,904154.1875,291016024,384145936,-331856,-0.05
31,30,56231757,0,28088923.75,0,22904428.1563,0,316751348,423976512,62220579,0,42838247,3282505.5,0,558538.1875,315551848,424451760,-475248,-0.05
30,31,59436075,0,30708264.25,0,11434867.8437,0,326034380,427613504,63093413,0,30174841,3035771,0,904176.6875,330816664,428024784,-411280,-0.05
31,32,58998685,0,31434691.75,0,25989052.1563,0,362085492,478507968,67689051,0,49412391,3778184.5,0,559098.5625,357537768,478976560,-468592,-0.05
30,33,68910451,0,31221984.25,0,15009667.8437,0,362720332,477862400,64323061,0,40821305,3696764,0,926332.1875,368615064,478382480,-520080,-0.05
31,34,70643917,0,31965535.75,0,28728460.1563,0,382354804,513692736,67921275,0,60737815,4336565.5,0,600431.5625,380601640,514197744,-505008,-0.05
31,35,72739539,0,31221984.25,0,15346699.8437,0,382148620,501456832,67495301,0,40821305,4019300,0,972938.4375,388676056,501984912,-528080,-0.05
30,36,73063485,0,31965535.75,0,28823260.1563,0,399999348,533851648,68624923,0,60737815,4391062,0,1002701.5625,399605992,534362480,-510832,-0.05
31,37,74257123,0,33506064.25,0,15540015.8437,0,399349132,522652288,69146517,0,41276881,4179047,0,1041588.6875,407539608,523183632,-531344,-0.05
30,38,73569901,0,34175935.75,0,29021860.1563,0,418952500,555720192,70714939,0,60737815,4581593,0,1051416.8125,419146600,556232432,-512240,-0.05
31,39,74843539,0,35790144.25,0,16474479.8437,0,422364812,549473024,73056229,0,41276881,4413314,0,1041588.6875,430221848,550009744,-536720,-0.04
31,40,74106029,0,36460015.75,0,30600504.1563,0,444157236,585323776,75341915,0,60737815,4831296,0,1051416.8125,443917608,585880176,-556400,-0.06
28,41,75727827,0,37853184.25,0,16514127.8437,0,444779724,574874880,74417749,0,41276881,4653817,0,1041588.6875,454060696,575450640,-575760,-0.04
31,42,75003981,0,38744095.75,0,30756248.1563,0,471743604,616247936,77390651,0,61516615,5107390,0,1051416.8125,471782568,616848752,-600816,-0.06
30,43,79476179,0,41091024.25,0,16562487.8437,0,469812940,606942592,76218709,0,46557457,4920211,0,1046296.1875,478835608,607578128,-635536,-0.04
31,44,78633677,0,42089863.75,0,31154908.1563,0,500173428,652051968,79331899,0,69684095,5374303,0,1069187.5625,497264232,652723824,-671856,-0.06
30,45,93399651,0,41604864.25,0,16798767.8437,0,481930764,633733888,76259173,0,58819849,5134265,0,1073098.6875,493158040,634444304,-710416,-0.05
31,46,96109325,0,42620831.75,0,31980500.1563,0,506020468,676731264,79371867,0,87604903,5383976,0,1399364.0625,503646760,677406960,-675696,-0.06
31,47,98282195,0,41604864.25,0,16798767.8437,0,487621196,644306816,81263109,0,58819849,5143380,0,1282961.6875,498510680,645019920,-713104,-0.05
30,48,99315245,0,42620831.75,0,32030300.1563,0,512072884,686039424,82526875,0,87604903,5399491,0,1571430.5625,509615336,686718064,-678640,-0.05
31,49,101008963,0,43888944.25,0,16803851.8437,0,493840844,655542400,84449957,0,59518713,5189086,0,1395507.6875,505697944,656251152,-708752,-0.05
30,50,100362925,0,44831231.75,0,33427700.1563,0,520941108,699563136,87292651,0,87604903,5526666,0,1571430.5625,518245288,700241008,-677872,-0.05
31,51,101664787,0,46173024.25,0,17985819.8437,0,508290444,674113920,90420069,0,59518713,5345775,0,1395507.6875,518145304,674825360,-711440,-0.05
31,52,102961997,0,47115311.75,0,62087076.1563,0,567012212,779176832,129999611,0,87604903,6916297,0,1571430.5625,553801128,779893360,-716528,-0.05
28,53,110670227,0,48236064.25,0,18147995.8437,0,546813068,723867136,95994949,0,59518713,6099688,0,1395507.6875,561635416,724644240,-777104,-0.05
31,54,106691485,0,49399391.75,0,79087476.1563,0,612566004,847744512,145658731,0,87604903,8368759,0,1571430.5625,605310632,848514416,-769904,-0.05
30,55,116413363,0,51473904.25,0,19348475.8437,0,584933388,772168960,98551285,0,59528793,6719513,0,1395507.6875,606770776,772965904,-796944,-0.05
31,56,110784253,0,52745159.75,0,80010532.1563,0,655450484,898990592,147837707,0,92510759,8866101,0,1572128.0625,648968488,899755120,-764528,-0.04
30,57,124655267,0,51987744.25,0,20654075.8437,0,622722700,820019584,99239893,0,69013785,7225113,0,1431827.6875,643949784,820860432,-840848,-0.05
