"kstp","kper","storage_in","constant_head_in","wells_in","drno_drains_in","recharge_in","et_segments_in","stream_leakage_in","total_in","storage_out","constant_head_out","wells_out","drno_drains_out","recharge_out","et_segments_out","stream_leakage_out","total_out","difference","discrepancy"
31,1,11003911,0,2284088.75,0,227563.4062,0,14456589,27972152,6707949.5,0,1121696.75,169713.4688,0,325142.25,19660326,27984828,-12676,-0.05
30,2,3477162,0,2210408.75,0,381720.7188,0,15729893,21799184,3785717.5,0,0,229806.875,0,18423.3125,17768810,21802756,-3572,0.02
31,3,12865770,0,4568184.25,0,473186.0937,0,32703067,50610208,9414955.5,0,1121696.75,415111.8125,0,325142.25,39349350,50626260,-16052,-0.05
31,4,4734808,0,4494499.75,0,701567.1563,0,37170773,47101648,6883877.5,0,0,461295.375,0,18423.3125,39749282,47112876,-11228,0.02
28,5,14373506,0,6631224.25,0,995816.5937,0,55558899,77559448,13608588.5,0,1121696.75,618653.75,0,325142.25,61935062,77609140,-49692,-0.07
31,6,6671878,0,6778579.75,0,3100230.9063,0,65341661,81892344,12642887.5,0,216763.625,695154.375,0,18423.3125,68441634,82014860,-122516,-0.04
30,7,17132210,0,9869004.25,0,1524040.0937,0,80199507,108724776,14990332.5,0,4977795.875,859097.125,0,325373.0625,87614622,108767220,-42444,-0.05
31,8,8505202,0,10124285.75,0,3525473.4063,0,94647085,116802040,15050679.5,0,5748279.125,948918.125,0,22428.2813,95158370,116928684,-126644,-0.02
30,9,24528398,0,10382784.25,0,2482225.0937,0,103341635,140735048,15160148.5,0,13612828.875,1088873.625,0,339167.5937,110630446,140831460,-96412,-0.07
31,10,20653810,0,10655191.75,0,4871198.9063,0,111255485,147435672,15143433.5,0,20797427.125,1048498.875,0,170688.5001,110490610,147650652,-214980,-0.04
31,11,35825214,0,10382784.25,0,3573936.0937,0,112886819,162668776,15210582.5,0,26668244.875,1100161.375,0,610919.8749,119181822,162771748,-102972,-0.06
30,12,24817086,0,10655191.75,0,5605928.9063,0,118763853,159842040,17275265.5,0,24135495.125,1064888.375,0,332136.8126,117249554,160057308,-215268,-0.04
31,13,37826310,0,12666864.25,0,3987383.0937,0,122412435,176893000,19670678.5,0,27697316.875,1152472.125,0,706046.6249,127770254,176996804,-103804,-0.05
30,14,25633294,0,12865591.75,0,7177958.9063,0,132330333,178007160,24542645.5,0,24135495.125,1188600.625,0,344930.8751,128013698,178225340,-218180,-0.04
31,15,38402910,0,14950944.25,0,6482635.0937,0,145577187,205413704,29154410.5,0,27697316.875,1319731.375,0,706046.6249,146647358,205524900,-111196,-0.05
31,16,25849070,0,15149671.75,0,9827776.9063,0,154255965,205082456,28866877.5,0,24135495.125,1377799.875,0,344930.8751,150581794,205306844,-224388,-0.03
29,17,39151594,0,17087664.25,0,6668496.0937,0,172967779,235875560,35503538.5,0,27697316.875,1513776.875,0,706046.6249,170589598,236010340,-134780,-0.05
31,18,27100998,0,17433751.75,0,10753011.9063,0,182682493,237970232,31589161.5,0,24412135.125,1603538.875,0,344930.8751,180319170,238268892,-298660,-0.04
30,19,42075290,0,20325504.25,0,7156056.0937,0,206554243,276111112,40329070.5,0,32237596.875,1746619.625,0,706244.1249,201306494,276326084,-214972,-0.06
31,20,33962414,0,20779519.75,0,10925433.9063,0,208509373,274176760,32094169.5,0,33240459.125,1841030.125,0,353216.7501,207001954,274530748,-353988,-0.04
30,21,50732538,0,20839224.25,0,8733576.0937,0,226707427,307012744,40523398.5,0,44154484.875,1939580.125,0,720244.3749,220012318,307350084,-337340,-0.08
31,22,45444198,0,21310363.75,0,12222597.9063,0,223990909,302968056,32135313.5,0,48681379.125,1861074.125,0,625457.8751,220031714,303334844,-366788,-0.04
31,23,64615698,0,20839224.25,0,9964958.0937,0,233730563,329150472,40546614.5,0,59565348.875,1943182.375,0,920709.2499,226514974,329490884,-340412,-0.07
30,24,49336382,0,21310363.75,0,13047777.9063,0,231972093,315666552,35266929.5,0,52080475.125,1870840.625,0,749309.6251,226068130,316035644,-369092,-0.04
31,25,65847274,0,23123304.25,0,11397778.0937,0,246208483,346576904,48560006.5,0,60066828.875,2018144.875,0,937927.1249,235338398,346921348,-344444,-0.07
