Stress_Period,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Runoff,Storage,Error
1,4066513,0,1139220,-7721748,-290575,0,2806589,0
2,5971931,0,0,-3020513,-494619,0,-2456799,0
3,3847915,0,0,-709098,-315397,0,-2823421,0
4,4629442,0,0,-947483,-401325,0,-3280635,0
5,4771590,0,0,-1235589,-620132,0,-2915869,0
6,16933489,27254,227853,-13214473,-2731676,0,-1242447,0
7,6318744,2210486,3994738,-13794961,-619879,0,1890873,0
8,5365874,4811348,5746213,-14967983,-497896,0,-457556,0
9,5838298,6185016,9092905,-18573166,-1042382,0,-1500671,0
10,4285536,456271,16027994,-21727453,-1416086,0,2373739,0
11,1465048,0,13953776,-14319835,-1109928,0,10939,0
12,372378,0,3468404,-9819188,-744000,0,6722405,0
13,3438474,0,1035654,-7140998,-474244,0,3141113,0
14,13615465,0,0,-2342355,-1852009,0,-9421101,0
15,10055835,0,0,-699281,-2729602,0,-6626952,0
16,9275055,0,0,-953252,-2868058,0,-5453745,0
17,662721,0,0,-1272687,-194570,0,804536,0
18,7735621,33258,292969,-11965595,-1058039,0,4961787,0
19,6684325,3056813,4728926,-17196096,-583864,0,3309896,0
20,2337380,7334833,9311138,-20088515,-190109,0,1295273,0
21,12947687,165192,12533061,-24497473,-1731013,0,582546,0
22,1389836,730712,16439424,-18834415,-1314273,0,1588717,0
23,0,0,16494375,-15262457,-1245314,0,13397,0
24,858482,134222,3561206,-10751757,-842238,0,7040086,0
25,12384493,1240032,505965,-10321192,-1661580,0,-2147718,0
26,5827405,0,0,-3301064,-727479,0,-1798862,0
27,22447534,0,0,-739706,-6089535,0,-15618294,0
28,26584368,0,0,-741598,-14759965,0,-11082805,0
29,874791,0,0,-1029658,-540818,0,695684,0
30,9874164,0,0,-12034094,-1069031,0,3228962,0
31,9819852,40838,51150,-15259164,-1005008,0,6352331,0
32,19484765,3566048,4165314,-22169967,-1524964,0,-3521197,0
33,4549767,9482569,11311079,-27449173,-2210280,0,4316037,0
34,0,8677883,12317631,-24571312,-2476609,0,6052407,0
35,4894143,2084778,12352335,-19928864,-1847391,0,2444998,0
36,1182363,1130302,3420137,-12844688,-971246,0,8083132,0
37,3719191,1142324,498829,-9214915,-577754,0,4432325,0
38,3452041,0,0,-1814052,-257174,0,-1380815,0
39,12999486,0,0,-717291,-1768291,0,-10513904,0
40,10455993,0,0,-715057,-2959655,0,-6781281,0
41,265088,0,0,-1017380,-68663,0,820955,0
42,3216089,148541,757311,-13131445,-195798,0,9205302,0
43,1114022,3316215,5496444,-14248359,-63329,0,4385007,0
44,7945150,7134950,8605562,-20030666,-544418,0,-3110578,0
45,0,1651279,16199159,-18922459,-460785,0,1532805,0
46,0,0,19990002,-18608547,-1080165,0,-301290,0
47,0,0,15906533,-14674694,-1245049,0,13210,0
48,1028069,0,3804303,-11173196,-874470,0,7215294,0
49,143110,0,1139220,-5456547,-245554,0,4419772,0
50,19999844,0,0,-2691189,-2794694,0,-14513961,0
51,9471551,0,0,-718432,-2668646,0,-6084472,0
52,54559077,0,0,-520209,-35141236,0,-18897632,0
53,304852,0,0,-1625300,-214277,0,1534725,0
54,29760083,0,0,-9597376,-20658412,0,495705,0
55,13849492,2185,9929,-15292229,-1452773,0,2883397,0
56,9268192,4167668,5029280,-23559895,-1086175,0,6180929,0
57,6965293,8357268,9968214,-25963625,-1394029,0,2066880,0
58,8377836,9489358,10457930,-26068457,-4015030,0,1758363,0
59,0,4390214,13741013,-21112317,-1876621,0,4857711,0
60,310946,1231137,3270916,-12643291,-826073,0,8656366,0
61,114488,1437757,643696,-7874966,-241564,0,5920588,0
62,3265349,0,0,-2445232,-197907,0,-622209,0
63,47733147,0,0,-752811,-15618433,0,-31361903,0
64,43721917,0,0,-763898,-40278888,0,-2679131,0
65,2920790,0,0,-1274697,-2206135,0,560043,0
66,6807206,0,0,-10895545,-751889,0,4840228,0
67,9849335,122741,108187,-16475232,-877370,0,7272339,0
68,7416498,5841167,6850812,-23032770,-460443,0,3384735,0
69,1032528,10642976,12644251,-27109896,-811083,0,3601224,0
70,822959,6230793,16397843,-26312036,-1910618,0,4771060,0
71,417674,468111,17122555,-18334087,-1313806,0,1639553,0
72,2171415,22006,3345086,-10993792,-963219,0,6418505,0
73,7737014,1223194,604868,-9218922,-898837,0,552683,0
74,23920798,0,0,-2851920,-4933466,0,-16135412,0
75,51307607,0,0,-774882,-34001625,0,-16531101,0
76,28758681,0,0,-966238,-27290297,0,-502146,0
77,371124,0,0,-1014029,-276430,0,919336,0
78,5305488,0,854,-11875829,-1534536,0,8104024,0
79,4437458,2188290,2467859,-15793380,-290445,0,6990217,0
80,1399788,9703414,11528520,-25944236,-81942,0,3394457,0
81,7069693,6834878,11257009,-23489486,-1959113,0,287018,0
82,2125851,1816914,9398113,-15252941,-1026263,0,2938326,0
83,6603800,182077,1035751,-2244099,-1727101,0,-3850428,0
84,3581591,399723,202384,-2289611,-906992,0,-987094,0
85,8211587,105055,32581,-1197756,-2003214,0,-5148252,0
86,13108212,0,0,-678407,-6913151,0,-5516654,0
87,6196957,0,0,-725398,-3833670,0,-1637889,0
88,31266384,0,0,-799290,-25545527,0,-4921568,0
89,212071,0,0,-1016939,-149037,0,953905,0
90,16716671,0,0,-10861622,-6297298,0,442249,0
91,3540706,183193,147604,-16311951,-254126,0,12694574,0
92,18341374,3732368,4459457,-18885993,-1440392,0,-6206813,0
93,9645572,8783681,10347728,-27599141,-3136536,0,1958697,0
94,2344699,12405275,13540603,-30023072,-3775074,0,5507570,0
95,306842,6064005,14178828,-22407929,-2243851,0,4102106,0
96,3763795,2538749,2741722,-15307793,-1410931,0,7674459,0
97,7519426,1442711,447436,-10049436,-956868,0,1596731,0
98,43554971,0,0,-2725939,-14729615,0,-26099417,0
99,6587372,0,0,-725295,-5095224,0,-766853,0
100,24986579,0,0,-975908,-22159788,0,-1850883,0
101,2465321,0,0,-1658177,-1822922,0,1015777,0
102,4949309,0,262,-9569492,-1105136,0,5725057,0
103,856278,2129852,2319181,-15791063,-32120,0,10517872,0
104,284198,8711899,10328154,-22433020,-43459,0,3152228,0
105,0,10605517,12515735,-22765677,-1519172,0,1163596,0
106,0,9739455,14208957,-22973457,-2388764,0,1413809,0
107,1123400,3090400,13263076,-18228945,-1451903,0,2203972,0
108,0,1888550,3498467,-12951159,-904377,0,8468519,0
109,6013542,1618665,708885,-8618780,-763474,0,1041162,0
110,17795032,0,0,-3349503,-2887455,0,-11558074,0
111,5312665,0,0,-718036,-1453757,0,-3140872,0
112,35180875,0,0,-765607,-16703051,0,-17712217,0
113,3489610,0,0,-1317978,-1986934,0,-184698,0
114,9232849,0,0,-7206317,-5016063,0,2989531,0
115,14482354,20980,33640,-17750289,-1991811,0,5205127,0
116,2587126,5591121,6581851,-22836178,-118552,0,8194631,0
117,2008985,4501017,5284985,-11880626,-218902,0,304541,0
118,3989482,5049374,11727104,-23727031,-1116832,0,4077903,0
119,350077,55631,15576721,-17762571,-888849,0,2668991,0
120,883885,2841,3601998,-10694241,-786369,0,6991886,0
121,11398943,777672,589160,-9935301,-1369959,0,-1460515,0
122,3806065,0,0,-2654114,-342963,0,-808988,0
123,5284851,0,0,-712322,-1024138,0,-3548391,0
124,6741824,0,0,-960462,-1436995,0,-4344367,0
125,3750330,0,0,-1125869,-903489,0,-1720972,0
126,11768463,102605,517855,-11969452,-2419937,0,2000467,0
127,4996716,2746870,4479040,-14893450,-385532,0,3056355,0
128,2210440,9156789,11884777,-22828092,-256732,0,-167181,0
129,493376,75746,17029826,-19291002,-843610,0,2535663,0
130,2408668,0,17830165,-18618973,-1548767,0,-71093,0
131,0,0,17127944,-15995833,-1346974,0,214863,0
132,2585536,0,3763002,-11795741,-1200446,0,6647649,0
133,1313505,0,1186478,-6581670,-320877,0,4402565,0
134,30908691,0,0,-2237743,-5960537,0,-22710411,0
135,24642115,0,0,-773367,-11822505,0,-12046244,0
136,18780782,0,0,-992284,-13998077,0,-3790421,0
137,12265877,0,0,-1417372,-10239902,0,-608604,0
138,2518332,1598,6766,-14275495,-206223,0,11955022,0
139,8206100,2649608,3056338,-15632751,-774305,0,2495010,0
140,1522817,7528920,8917064,-20910567,-106434,0,3048199,0
141,585936,9058637,11234126,-22521045,-1323762,0,2966108,0
142,901875,1281168,16179634,-21883310,-1143423,0,4664056,0
143,0,0,16322467,-15460448,-1282523,0,420505,0
144,687834,0,4042445,-11626565,-905239,0,7801525,0
145,0,0,1138486,-5827354,-239457,0,4928325,0
146,21522996,0,0,-2575215,-3263344,0,-15684437,0
147,72561527,0,0,-765887,-48686128,0,-23109512,0
148,17614457,0,0,-1003649,-16415527,0,-195281,0
149,25944796,0,0,-3343496,-22543904,0,-57396,0
150,18665194,0,0,-14352732,-6601637,0,2289174,0
151,17230283,51,333,-12977750,-3126777,0,-1126141,0
152,1577937,4856204,5773231,-24552441,-59290,0,12404358,0
153,0,11866546,13866106,-29290855,-1492054,0,5050257,0
154,7023777,8858770,13518874,-28442525,-3320596,0,2361700,0
155,14685089,4523987,11329445,-23818682,-5053536,0,-1666304,0
156,419339,1005885,3523059,-12707709,-871092,0,8630518,0
157,0,1334315,727077,-8308756,-261225,0,6508589,0
158,11148719,0,0,-3299281,-861655,0,-6987783,0
159,20201948,0,0,-761886,-5083911,0,-14356151,0
160,16317429,0,0,-1260928,-6772450,0,-8284051,0
161,51095885,0,0,-2017532,-44582875,0,-4495478,0
162,6989847,0,344,-10857637,-2114223,0,5981670,0
163,3278967,2337614,2602221,-18351517,-178972,0,10311686,0
164,5193901,7120272,8375167,-22206913,-302293,0,1819867,0
165,866227,10081602,12582237,-25598559,-1267078,0,3335570,0
166,794738,2479820,18784065,-25171257,-1493614,0,4606248,0
167,1046969,11878,16241088,-16574191,-1302910,0,577166,0
168,0,0,3929902,-10875587,-824165,0,7769850,0
169,15772076,1194647,581471,-9536146,-2647609,0,-5364440,0
170,5996809,0,0,-3312261,-496542,0,-2188006,0
171,27706885,0,0,-1195084,-8271925,0,-18239877,0
172,9753292,0,0,-972391,-5096178,0,-3684723,0
173,71742025,0,0,-1465220,-65034560,0,-5242245,0
174,4920519,0,585,-13079816,-538363,0,8697076,0
175,5797288,1770976,1894021,-14835855,-462173,0,5835743,0
176,14136028,5621615,6607095,-21088346,-1396765,0,-3879626,0
177,1678262,7992740,9259310,-21442184,-1734713,0,4246585,0
178,1780889,6880556,13434091,-25881665,-2300667,0,6086796,0
179,0,323740,17117154,-19218263,-1382360,0,3159730,0
180,0,20201,3498617,-9750959,-719800,0,6951942,0
181,1364229,54108,995536,-6472648,-288181,0,4346956,0
182,25522480,0,0,-2674172,-4748478,0,-18099831,0
183,64441128,0,0,-748122,-46618942,0,-17074064,0
184,33588155,0,0,-790321,-32515161,0,-282673,0
185,10428971,0,0,-1298470,-9425917,0,295417,0
186,11863470,0,0,-7276437,-4291164,0,-295869,0
187,6441019,2442,12119,-14274484,-570973,0,8389878,0
188,3469312,4703382,5371521,-23045010,-163420,0,9664215,0
189,1106884,10231969,11749224,-26049380,-267937,0,3229240,0
190,0,7239935,15104279,-25327665,-1756303,0,4739754,0
191,2919419,1464763,13211709,-17877575,-1125176,0,1406860,0
192,0,768432,3335480,-10736993,-734220,0,7367300,0
