               Stress_Period  Alfalfa_Irrigated             Grain_Irrigated               Pasture_Irrigated             Native_Vegetation             Urban_Barren                  Water                         
   1          3064211.97                0.00          2828502.97           633821.10                0.00                0.00
   2           668451.32                0.00           685434.79          1128860.60                0.00                0.00
   3                0.00                0.00                0.00           709097.51                0.00                0.00
   4                0.00                0.00                0.00           947482.83                0.00                0.00
   5                0.00                0.00                0.00          1235589.16                0.00                0.00
   6          3384351.03           130109.17          4154969.88          2631685.16                0.00                0.00
   7          3572921.27          1198256.52          4133115.51          2709485.34                0.00                0.00
   8          3852187.82          4817077.29          4085191.86          2731801.81                0.00                0.00
   9          5456111.08          7033140.45          5488539.95          1498368.26                0.00                0.00
  10          7528910.39          1760364.36          7338086.78          1099142.90                0.00                0.00
  11          6366866.47                0.00          5372526.40           410062.26                0.00                0.00
  12          4537435.21                0.00          3357834.55           105430.33                0.00                0.00
  13          2714844.56                0.00          2717513.61           549994.26                0.00                0.00
  14           500013.84                0.00           490260.72           947180.91                0.00                0.00
  15                0.00                0.00                0.00           699281.15                0.00                0.00
  16                0.00                0.00                0.00           953251.57                0.00                0.00
  17                0.00                0.00                0.00          1272686.60                0.00                0.00
  18          3025803.28           150948.43          3777387.43          2350163.71                0.00                0.00
  19          4392295.67          1712179.17          5120691.87          3359713.68                0.00                0.00
  20          5402369.83          7357484.58          5479327.98          2913033.15                0.00                0.00
  21          6826475.17          8358076.73          7287097.94          2661677.16                0.00                0.00
  22          7354831.81          1479892.06          7017012.79          1114414.59                0.00                0.00
  23          7050858.10                0.00          5206983.16                0.00                0.00                0.00
  24          4738868.29                0.00          4218051.04           227777.58                0.00                0.00
  25          2861398.85                0.00          3201193.17          1750218.64                0.00                0.00
  26           684071.03                0.00           852981.14          1134851.36                0.00                0.00
  27                0.00                0.00                0.00           739705.94                0.00                0.00
  28                0.00                0.00                0.00           741597.63                0.00                0.00
  29                0.00                0.00                0.00          1029658.04                0.00                0.00
  30          3029456.22           134916.04          3777616.37          2414965.12                0.00                0.00
  31          3811251.95          1397120.14          4716959.17          2963337.41                0.00                0.00
  32          5453021.20          6866666.46          6197315.21          4270674.41                0.00                0.00
  33          7021931.96          8419508.89          7383367.82          5232391.55                0.00                0.00
  34          6808206.94          1609207.74          6500810.64          4619782.50                0.00                0.00
  35          6308980.48                0.00          6362713.20          1738954.98                0.00                0.00
  36          4983314.17                0.00          4873519.97           304661.14                0.00                0.00
  37          2990556.78                0.00          3149964.28           950014.17                0.00                0.00
  38           598339.95                0.00           603971.16           404384.67                0.00                0.00
  39                0.00                0.00                0.00           717290.74                0.00                0.00
  40                0.00                0.00                0.00           715056.54                0.00                0.00
  41                0.00                0.00                0.00          1017380.38                0.00                0.00
  42          3213234.43           171084.43          4138047.12          2538897.99                0.00                0.00
  43          3857709.95          1646550.41          4178419.56          2187687.49                0.00                0.00
  44          5457854.37          7980009.66          5820733.80          2067538.45                0.00                0.00
  45          6424768.53          8429868.91          6284060.21                0.00                0.00                0.00
  46          8232269.96          1688936.78          6862322.57                0.00                0.00                0.00
  47          6637959.46                0.00          4010765.45                0.00                0.00                0.00
  48          4790366.63                0.00          3213008.37           268779.09                0.00                0.00
  49          2185524.74                0.00          2266608.11            40518.17                0.00                0.00
  50           554062.46                0.00           682473.65           974998.56                0.00                0.00
  51                0.00                0.00                0.00           718431.93                0.00                0.00
  52                0.00                0.00                0.00           520209.23                0.00                0.00
  53                0.00                0.00                0.00          1625300.17                0.00                0.00
  54          2453705.19           106752.22          3022227.55          1973713.21                0.00                0.00
  55          3858649.88          1381837.95          4752731.06          3035804.16                0.00                0.00
  56          5827550.43          7168797.96          6696600.83          4469122.02                0.00                0.00
  57          6803243.69          7937967.46          6726469.43          5083133.09                0.00                0.00
  58          7210884.96          1599940.15          7154665.69          5211499.95                0.00                0.00
  59          6870419.35                0.00          6500810.64          1830861.33                0.00                0.00
  60          4758355.97                0.00          4553864.77           401092.54                0.00                0.00
  61          2934480.32                0.00          2868849.82           166423.09                0.00                0.00
  62           705211.06                0.00           736002.10           702115.73                0.00                0.00
  63                0.00                0.00                0.00           752811.15                0.00                0.00
  64                0.00                0.00                0.00           763897.82                0.00                0.00
  65                0.00                0.00                0.00          1274697.45                0.00                0.00
  66          2679652.23           153067.91          3399840.15          2134725.74                0.00                0.00
  67          4033884.19          1718236.75          5000611.02          3189081.20                0.00                0.00
  68          5655172.43          7556987.26          6310843.72          4407207.94                0.00                0.00
  69          7248649.75          8720692.06          6657258.61          5077778.37                0.00                0.00
  70          8209153.64          1511820.47          7865200.63          2156930.08                0.00                0.00
  71          7307689.53                0.00          7013883.44           407728.66                0.00                0.00
  72          4474063.93                0.00          4345280.57           549849.14                0.00                0.00
  73          2865636.92                0.00          3113501.62          1129007.93                0.00                0.00
  74           628912.44                0.00           683311.28          1163374.80                0.00                0.00
  75                0.00                0.00                0.00           774881.77                0.00                0.00
  76                0.00                0.00                0.00           966237.73                0.00                0.00
  77                0.00                0.00                0.00          1014028.95                0.00                0.00
  78          3064355.44           149260.67          3776970.18          2324331.03                0.00                0.00
  79          4151707.37          1580165.93          4631612.13          3114586.82                0.00                0.00
  80          6959962.66          8786619.77          6499808.99          4869604.71                0.00                0.00
  81          6597329.83          7986836.29          6369273.40          3125643.07                0.00                0.00
  82          4777178.38           988442.33          4748490.72          1486700.24                0.00                0.00
  83           592942.04                0.00           683297.14           456695.73                0.00                0.00
  84           593101.05                0.00           731226.02           446863.66                0.00                0.00
  85           300847.87                0.00           377794.47           235308.26                0.00                0.00
  86           135866.78                0.00           170619.74           243750.12                0.00                0.00
  87                0.00                0.00                0.00           725397.89                0.00                0.00
  88                0.00                0.00                0.00           799289.94                0.00                0.00
  89                0.00                0.00                0.00          1016938.97                0.00                0.00
  90          2707626.09           151707.17          3399916.49          2172374.38                0.00                0.00
  91          4075995.37          1702962.05          4954068.24          3150693.71                0.00                0.00
  92          4512709.76          5913349.98          5416479.15          3659025.25                0.00                0.00
  93          6980081.26          8182080.48          7455900.93          5331827.07                0.00                0.00
  94          8358367.09          1551581.72          7983966.06          5779524.48                0.00                0.00
  95          7281999.49                0.00          7044823.15          1403748.31                0.00                0.00
  96          5032013.65                0.00          5074989.92          1165406.72                0.00                0.00
  97          2925156.36                0.00          3145987.78          1438379.94                0.00                0.00
  98           555787.75                0.00           682464.90           991945.79                0.00                0.00
  99                0.00                0.00                0.00           725295.18                0.00                0.00
 100                0.00                0.00                0.00           975907.79                0.00                0.00
 101                0.00                0.00                0.00          1658176.78                0.00                0.00
 102          2461345.76           118976.81          3021928.96          1868030.02                0.00                0.00
 103          4168408.15          1574452.85          4630530.62          3033498.75                0.00                0.00
