Stress_Period,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Runoff,Storage,Error
1,4066513,1162775,423691,-5803536,-316127,0,466684,0
2,5971931,0,0,-2312175,-576592,0,-3083164,0
3,3847915,0,0,-709098,-375221,0,-2763597,0
4,4629442,0,0,-947483,-477185,0,-3204774,0
5,4771590,0,0,-1235589,-660596,0,-2875404,0
6,16933489,15620,119499,-9364809,-3315174,0,-4388625,0
7,6318744,1499320,2075597,-10911048,-953769,0,1971157,0
8,5365874,4970352,5929406,-15705081,-768567,0,208016,0
9,5838298,7636411,9103285,-19918865,-1258919,0,-1400209,0
10,4285536,3899153,9584412,-16259075,-1762398,0,252372,0
11,1465048,1619622,8088645,-10799661,-1012530,0,638875,0
12,372378,1435289,2020550,-7187417,-582666,0,3941866,0
13,3438474,1054549,385174,-5254777,-945927,0,1322506,0
14,13615465,0,0,-1811231,-3910526,0,-7893708,0
15,10055835,0,0,-699281,-3916921,0,-5439633,0
16,9275055,0,0,-953252,-3951636,0,-4370167,0
17,662721,0,0,-1272687,-275203,0,885169,0
18,7735621,54529,204084,-8414882,-2544555,0,2965203,0
19,6684325,2242906,3071286,-13713030,-1218601,0,2933115,0
20,2337380,8038083,9620708,-21590539,-953218,0,2547586,0
21,12947687,6043574,10051589,-25394038,-3057648,0,-591163,0
22,1389836,4405422,9235305,-15294511,-1421906,0,1685854,0
23,0,1105998,9583041,-10713702,-909513,0,934176,0
24,858482,2630676,1652320,-7991090,-766393,0,3616005,0
25,12384493,916126,333817,-6995877,-3773211,0,-2865348,0
26,5827405,0,0,-2465139,-1960090,0,-1402176,0
27,22447534,0,0,-739706,-10163155,0,-11544674,0
28,26584368,0,0,-741598,-17203986,0,-8638784,0
29,874791,0,0,-1029658,-561456,0,716323,0
30,9874164,0,0,-8477151,-3188071,0,1791059,0
31,9819852,27521,20583,-12109889,-2670946,0,4912878,0
32,19484765,3440468,3937932,-22995183,-1691682,0,-2176300,0
33,4549767,9641309,11478207,-28311560,-2416043,0,5058319,0
34,0,7036524,7842538,-18174647,-1907194,0,5202779,0
35,4894143,4857307,5841741,-12711829,-2795121,0,-86242,0
36,1182363,3622207,1464850,-8840686,-1426189,0,3997455,0
37,3719191,890581,324509,-6428434,-1494569,0,2988722,0
38,3452041,0,0,-1476406,-1041336,0,-934299,0
39,12999486,0,0,-717291,-4810185,0,-7472011,0
40,10455993,0,0,-715057,-5419755,0,-4321182,0
41,265088,0,0,-1017380,-130480,0,882772,0
42,3216089,58715,337324,-9323711,-862330,0,6573913,0
43,1114022,2564502,3937644,-11322155,-177490,0,3883477,0
44,7945150,7535579,8985401,-21680573,-1731240,0,-1054317,0
45,0,7952711,13317751,-21525359,-1249746,0,1504643,0
46,0,1612605,12928472,-15564132,-788477,0,1811531,0
47,0,879077,9595755,-9655445,-845421,0,26034,0
48,1028069,730558,2537920,-7512950,-641787,0,3858190,0
49,143110,1013072,450249,-3958142,-176771,0,2528483,0
