"kstp","kper","storage_in","constant_head_in","wells_in","drno_drains_in","recharge_in","et_segments_in","stream_leakage_in","total_in","storage_out","constant_head_out","wells_out","drno_drains_out","recharge_out","et_segments_out","stream_leakage_out","total_out","difference","discrepancy"
31,1,11167033,0,2284088.75,0,244282.875,0,12241831,25937236,5900767.5,0,577718.75,288451.5625,0,146841.2344,19038562,25952340,-15104,-0.06
30,2,3885255,0,2210408.75,0,423939.375,0,15361321,21880924,4150318.5,0,0,260366.1875,0,15681.0468,17458038,21884404,-3480,0.02
31,3,13146021,0,4568184.25,0,517766.8125,0,29805579,48037548,9105151.5,0,577718.75,542291,0,146841.2344,37684086,48056092,-18544,-0.05
31,4,5153715,0,4494499.75,0,779617.8125,0,36694741,47122580,7661389.5,0,0,495405.8125,0,15681.0468,38960570,47133044,-10464,0.02
28,5,14658173,0,6631224.25,0,1060571.3125,0,52680475,75030436,13375702.5,0,577718.75,746745.6875,0,146841.2344,60238062,75085068,-54632,-0.07
31,6,7062791,0,6778579.75,0,3443944.1875,0,64867069,82152396,13616571.5,0,175179.0625,728728.4375,0,15681.0468,67739306,82275476,-123080,-0.04
30,7,16913367,0,9869004.25,0,1682651.3125,0,77332275,105797284,14939036.5,0,3256596.1875,985477.8125,0,147081.7501,86541670,105869852,-72568,-0.06
31,8,9265363,0,10124285.75,0,3944997.1875,0,94022525,117357180,15963153.5,0,5766467.8125,980548.0625,0,19677.5624,94774170,117504036,-146856,-0.04
30,9,25071073,0,10382784.25,0,2762381.3125,0,99571091,137787316,15140764.5,0,11750190.1875,1227415.4375,0,160921.172,109614102,137893372,-106056,-0.06
31,10,21266731,0,10655191.75,0,5708508.6875,0,104965741,142596172,16063893.5,0,17797365.8125,1194948.5625,0,37239.2811000001,107774858,142868324,-272152,-0.07
31,11,35678257,0,10382784.25,0,3848404.3125,0,106313939,156223380,15187374.5,0,22535786.1875,1305456.4375,0,355942.5001,116957238,156341788,-118408,-0.06
30,12,26068543,0,10655191.75,0,6394188.6875,0,110486621,153604556,18132515.5,0,20407389.8125,1261873.3125,0,183894.9374,113888314,153873988,-269432,-0.07
31,13,38319597,0,12666864.25,0,4446456.3125,0,113880083,169312980,19840680.5,0,23077742.1875,1416614.1875,0,412627.5001,124683062,169430716,-117736,-0.05
30,14,27312195,0,12865591.75,0,8751798.6875,0,123175693,172105292,25205183.5,0,20407389.8125,1412754.8125,0,194776.4374,125161978,172382084,-276792,-0.07
31,15,38967305,0,14950944.25,0,7413621.3125,0,135123283,196455156,29918528.5,0,23077742.1875,1591951.1875,0,412627.5001,141578774,196579644,-124488,-0.04
31,16,27484727,0,15149671.75,0,11816954.6875,0,144984909,199436268,30396163.5,0,20407389.8125,1597823.3125,0,194776.4374,147109482,199705604,-269336,-0.06
29,17,39758969,0,17087664.25,0,7632919.3125,0,162567219,227046772,36360144.5,0,23077742.1875,1775117.6875,0,412627.5001,165566262,227191932,-145160,-0.04
31,18,28736031,0,17433751.75,0,13272466.6875,0,173379981,232822220,33256343.5,0,20886649.8125,1830087.5625,0,194776.4374,177007242,233175044,-352824,-0.07
30,19,42804857,0,20325504.25,0,8484439.3125,0,196136819,267751636,41348448.5,0,27743970.1875,2021717.6875,0,412639.9376,196440726,267967548,-215912,-0.04
31,20,36088663,0,20779519.75,0,13724570.6875,0,198859149,269451884,33896951.5,0,29762465.8125,2108066.8125,0,202345.8124,203900746,269870532,-418648,-0.08
30,21,53166057,0,20839224.25,0,10960399.3125,0,207687539,292653204,41629488.5,0,37011426.1875,2245342.1875,0,425265.0001,211559894,292871484,-218280,-0.03
31,22,47000023,0,21310363.75,0,15371972.6875,0,207530893,291213292,33973879.5,0,41858805.8125,2255320.8125,0,273550.4374,213306602,291668100,-454808,-0.09
31,23,65728937,0,20839224.25,0,12115521.3125,0,212496691,311180308,41639832.5,0,49935922.1875,2288380.1875,0,643064.1251,216897526,311404796,-224488,-0.02
30,24,51578607,0,21310363.75,0,16172672.6875,0,211261773,300323500,36491887.5,0,44141125.8125,2309360.3125,0,370371.9374,217467466,300780164,-456664,-0.09
31,25,67551041,0,23123304.25,0,14310755.3125,0,223402067,328387092,51098240.5,0,50391626.1875,2414581.1875,0,644300.1876,224067510,328616316,-229224,-0.02
30,26,52530207,0,23520763.75,0,17230412.6875,0,228098797,321380268,46100343.5,0,44141125.8125,2471573.8125,0,370371.9374,228756650,321840004,-459736,-0.09
31,27,67855649,0,25407384.25,0,21271387.3125,0,247343059,361877396,64154912.5,0,50391626.1875,2671178.1875,0,644300.1876,244241302,362103356,-225960,-0.01
31,28,53768607,0,25804843.75,0,32192748.6875,0,257837645,369603948,62614927.5,0,44141125.8125,3094512.3125,0,370371.9374,259895338,370116228,-512280,-0.09
28,29,70508353,0,27470424.25,0,21801931.3125,0,276627987,396408596,67125712.5,0,50391626.1875,2993548.6875,0,644300.1876,275558870,396714108,-305512,-0.02
31,30,57370239,0,28088923.75,0,33914364.6875,0,302812973,422186604,71826575.5,0,44141125.8125,3646108.3125,0,370371.9374,302722730,422706884,-520280,-0.08
30,31,73038617,0,30708264.25,0,23282131.3125,0,313047379,440076308,69246608.5,0,50439626.1875,3363179.6875,0,644321.4376,316760342,440454076,-377768,-0.02
31,32,60079591,0,31434691.75,0,35190820.6875,0,347908717,474613868,76738127.5,0,48051285.8125,4033620.3125,0,370896.8749,345926698,475120644,-506776,-0.08
30,33,83618345,0,31221984.25,0,25458811.3125,0,349608019,489907092,70131040.5,0,61207826.1875,3878724.6875,0,665732.5001,354512214,490395516,-488424,-0.02
31,34,70607319,0,31965535.75,0,37651600.6875,0,368773997,508998508,77053871.5,0,58003477.8125,4534857.3125,0,411354.2499,369553898,509557508,-559000,-0.08
