Stress_Period,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Runoff,Storage,Error
1,4066513,0,0,-6979827,-290531,0,3203845,0
2,5971931,0,0,-2942715,-494619,0,-2534597,0
3,3847915,0,0,-709098,-315397,0,-2823421,0
4,4629442,0,0,-947483,-401325,0,-3280635,0
5,4771590,0,0,-1235589,-620132,0,-2915869,0
6,16933489,0,0,-13214473,-2703774,0,-1015242,0
7,6318744,0,0,-13759425,-529560,0,7970242,0
8,5365874,0,0,-12953784,-350060,0,7937970,0
9,5838298,0,0,-11134697,-372837,0,5669237,0
10,4285536,0,0,-8262879,-274528,0,4251871,0
11,1465048,0,0,-1640750,-59535,0,235236,0
12,372378,0,0,-342312,-13938,0,-16128,0
13,3438474,0,0,-3131667,-255889,0,-50918,0
14,13615465,0,0,-1934303,-1121124,0,-10560039,0
15,10055835,0,0,-699281,-1248258,0,-8108296,0
16,9275055,0,0,-953252,-1545743,0,-6776060,0
17,662721,0,0,-1272687,-105541,0,715507,0
18,7735621,0,0,-11965595,-739716,0,4969690,0
19,6684325,0,0,-17083974,-453161,0,10852810,0
20,2337380,0,0,-11616072,-115830,0,9394521,0
21,12947687,0,0,-12397864,-768589,0,218767,0
22,1389836,0,0,-2325145,-52087,0,987396,0
23,0,0,0,0,0,0,0,0
24,858482,0,0,-773209,-47455,0,-37817,0
25,12384493,0,0,-6743309,-950064,0,-4691120,0
26,5827405,0,0,-3301064,-456692,0,-2069649,0
27,22447534,0,0,-739706,-2920599,0,-18787229,0
28,26584368,0,0,-741598,-11177707,0,-14665063,0
29,874791,0,0,-1029658,-408866,0,563733,0
30,9874164,0,0,-12034094,-883136,0,3043067,0
31,9819852,0,0,-15254946,-865124,0,6300218,0
32,19484765,0,0,-21796487,-1447022,0,3758743,0
33,4549767,0,0,-23507092,-307427,0,19264752,0
34,0,0,0,-6134636,0,0,6134636,0
35,4894143,0,0,-4850543,-310130,0,266530,0
36,1182363,0,0,-1056391,-74409,0,-51562,0
37,3719191,0,0,-3813377,-242391,0,336577,0
38,3452041,0,0,-680693,-257174,0,-2514174,0
39,12999486,0,0,-717291,-1204103,0,-11078092,0
40,10455993,0,0,-715057,-1481727,0,-8259210,0
41,265088,0,0,-1017380,-32971,0,785263,0
42,3216089,0,0,-13131445,-190152,0,10105508,0
43,1114022,0,0,-11241176,-56490,0,10183644,0
44,7945150,0,0,-8871426,-479788,0,1406063,0
45,0,0,0,-64393,0,0,64393,0
46,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0
48,1028069,0,0,-924249,-60824,0,-42996,0
49,143110,0,0,-173615,-5363,0,35869,0
50,19999844,0,0,-2691189,-1804447,0,-15504208,0
51,9471551,0,0,-718432,-1375450,0,-7377669,0
52,54559077,0,0,-520209,-30102225,0,-23936643,0
53,304852,0,0,-1625300,-158447,0,1478895,0
54,29760083,0,0,-9597376,-17627312,0,-2535395,0
55,13849492,0,0,-15291489,-1434270,0,2876267,0
56,9268192,0,0,-23337148,-1084169,0,15153125,0
57,6965293,0,0,-21419986,-416762,0,14871456,0
58,8377836,0,0,-16406124,-582795,0,8611083,0
59,0,0,0,-4173708,0,0,4173708,0
60,310946,0,0,-596864,-11653,0,297571,0
61,114488,0,0,-927253,-4291,0,817056,0
62,3265349,0,0,-1113952,-197907,0,-1953490,0
63,47733147,0,0,-752811,-11144423,0,-35835913,0
64,43721917,0,0,-763898,-32280475,0,-10677544,0
65,2920790,0,0,-1274697,-1873798,0,227706,0
66,6807206,0,0,-10895545,-703394,0,4791733,0
67,9849335,0,0,-16464350,-855737,0,7470752,0
68,7416498,0,0,-22021897,-456755,0,15062153,0
69,1032528,0,0,-16347477,-50276,0,15365226,0
70,822959,0,0,-6534217,-30842,0,5742101,0
71,417674,0,0,-683599,-15653,0,281578,0
72,2171415,0,0,-1946862,-146337,0,-78216,0
73,7737014,0,0,-5512845,-558555,0,-1665614,0
74,23920798,0,0,-2073227,-2540836,0,-19306736,0
75,51307607,0,0,-774882,-26198546,0,-24334179,0
76,28758681,0,0,-966238,-23306765,0,-4485678,0
77,371124,0,0,-1014029,-252468,0,895373,0
78,5305488,0,0,-11875829,-1437187,0,8007528,0
79,4437458,0,0,-15621938,-277496,0,11461976,0
80,1399788,0,0,-19558916,-73471,0,18232598,0
81,7069693,0,0,-12768425,-477747,0,6176479,0
