               Stress_Period  Alfalfa_Irrigated             Grain_Irrigated               Pasture_Irrigated             Native_Vegetation             Urban_Barren                  Water                         
   1          4616518.66                0.00          1729487.54           633821.10                0.00                0.00
   2          1004125.02                0.00           809729.19          1128860.60                0.00                0.00
   3                0.00                0.00                0.00           709097.51                0.00                0.00
   4                0.00                0.00                0.00           947482.83                0.00                0.00
   5                0.00                0.00                0.00          1235589.16                0.00                0.00
   6          5067678.20            25003.08          5490106.84          2631685.16                0.00                0.00
   7          5349473.45           230268.96          5470197.69          2709485.34                0.00                0.00
   8          5630752.78           925697.75          3665531.64          2731801.81                0.00                0.00
   9          6358774.92          1346159.64          1931394.27          1498368.26                0.00                0.00
  10          5395893.24           350132.96          1417709.92          1099142.90                0.00                0.00
  11           746014.85                0.00           484672.67           410062.26                0.00                0.00
  12           113690.46                0.00           123191.56           105430.33                0.00                0.00
  13          1485983.75                0.00          1095689.30           549994.26                0.00                0.00
  14           494467.41                0.00           492654.24           947180.91                0.00                0.00
  15                0.00                0.00                0.00           699281.15                0.00                0.00
  16                0.00                0.00                0.00           953251.57                0.00                0.00
  17                0.00                0.00                0.00          1272686.60                0.00                0.00
  18          4595081.59            29100.59          4991248.86          2350163.71                0.00                0.00
  19          6668931.66           330082.39          6725246.03          3359713.68                0.00                0.00
  20          4160447.14          1418574.03          3124017.24          2913033.15                0.00                0.00
  21          4457469.66          1056970.21          4221747.08          2661677.16                0.00                0.00
  22           586550.34           102833.41           521346.44          1114414.59                0.00                0.00
  23                0.00                0.00                0.00                0.00                0.00                0.00
  24           261425.28                0.00           284006.02           227777.58                0.00                0.00
  25          2445539.17                0.00          2547551.10          1750218.64                0.00                0.00
  26          1039106.09                0.00          1127106.44          1134851.36                0.00                0.00
  27                0.00                0.00                0.00           739705.94                0.00                0.00
  28                0.00                0.00                0.00           741597.63                0.00                0.00
  29                0.00                0.00                0.00          1029658.04                0.00                0.00
  30          4601753.71            25776.02          4991599.37          2414965.12                0.00                0.00
  31          5789303.93           266923.00          6235382.08          2963337.41                0.00                0.00
  32          8279954.09          1311920.45          7933937.60          4270674.41                0.00                0.00
  33         10505282.46          1611620.61          6157797.37          5232391.55                0.00                0.00
  34          1211856.72           302996.64                0.00          4619782.50                0.00                0.00
  35          1492531.20                0.00          1619057.08          1738954.98                0.00                0.00
  36           360576.65                0.00           391153.68           304661.14                0.00                0.00
  37          1632983.29                0.00          1230379.84           950014.17                0.00                0.00
  38           176685.08                0.00            99623.46           404384.67                0.00                0.00
  39                0.00                0.00                0.00           717290.74                0.00                0.00
  40                0.00                0.00                0.00           715056.54                0.00                0.00
  41                0.00                0.00                0.00          1017380.38                0.00                0.00
  42          5091602.29            30390.33          5470554.26          2538897.99                0.00                0.00
  43          4608975.62           292482.53          4152030.70          2187687.49                0.00                0.00
  44          2761238.26          1414282.60          2628366.23          2067538.45                0.00                0.00
  45                0.00            64393.25                0.00                0.00                0.00                0.00
  46                0.00                0.00                0.00                0.00                0.00                0.00
  47                0.00                0.00                0.00                0.00                0.00                0.00
  48           315360.53                0.00           340109.54           268779.09                0.00                0.00
