"kstp","kper","storage_in","constant_head_in","wells_in","drno_drains_in","recharge_in","et_segments_in","stream_leakage_in","total_in","storage_out","constant_head_out","wells_out","drno_drains_out","recharge_out","et_segments_out","stream_leakage_out","total_out","difference","discrepancy"
31,1,11105035,0,2284088.75,0,227519.625,0,12516416,26133060,5922598.5,0,480595.0312,256398.625,0,193262.5156,19299822,26152676,-19616,-0.08
30,2,3884662,0,2210408.75,0,381720.75,0,15423206,21899996,4093516.5,0,0,251926.125,0,19885.7344,17538234,21903564,-3568,0.03
31,3,13088754,0,4568184.25,0,473142.3125,0,30177502,48307588,9101281.5,0,480595.0312,508260.75,0,193262.5156,38048306,48331700,-24112,-0.07
31,4,5171120,0,4494499.75,0,701567.1875,0,36834666,47201852,7528923.5,0,0,485356.8125,0,19885.7344,39172126,47206300,-4448,0.04
28,5,14608364,0,6631224.25,0,995772.8125,0,53052966,75288324,13364640.5,0,480595.0312,710887.0625,0,193262.5156,60596050,75345428,-57104,-0.09
31,6,7106466,0,6778579.75,0,3075625.4375,0,65048826,82009500,13374199.5,0,180648.6563,716100.3125,0,19885.7344,67836086,82126924,-117424,-0.02
30,7,17083136,0,9869004.25,0,1507678.0625,0,77779142,106238948,14916226.5,0,3687214.3437,947233.4375,0,193464.0937,86568058,106312196,-73248,-0.08
31,8,8800882,0,10124285.75,0,3409712.4375,0,94502394,116837292,16036911.5,0,4763892.6563,967107.0625,0,23750.5001,95179350,116971004,-133712,-0.00999999999999998
30,9,24588332,0,10382784.25,0,1822468.0625,0,100630262,137423828,15097174.5,0,10679025.3437,1188207.9375,0,207198.7343,110362906,137534516,-110688,-0.09
31,10,21441676,0,10655191.75,0,3670034.9375,0,105327722,141094636,16081031.5,0,15596016.6563,1118036.3125,0,123408.8282,108402726,141321228,-226592,-0.03
31,11,35478292,0,10382784.25,0,1920087.0625,0,107252070,155033236,15127782.5,0,20744427.3437,1205999.4375,0,498069.9843,117579706,155155956,-122720,-0.09
30,12,26293640,0,10655191.75,0,3718589.9375,0,110611482,151278892,17960003.5,0,17806840.6563,1141907.8125,0,291163.2657,114303174,151503116,-224224,-0.02
31,13,38112036,0,12666864.25,0,2130220.5625,0,114621110,167530228,19595544.5,0,21210015.3437,1283646.1875,0,571861.6093,124992730,167653748,-123520,-0.09
30,14,27620252,0,12865591.75,0,4822619.9375,0,123473098,168781580,24549655.5,0,17806840.6563,1277654.8125,0,305196.2032,125070310,169009708,-228128,-0.00999999999999998
31,15,38807856,0,14950944.25,0,3959884.0625,0,136075430,193794100,29506376.5,0,21210015.3437,1451019.4375,0,571861.6093,141188394,193927636,-133536,-0.09
31,16,27820072,0,15149671.75,0,7087851.9375,0,145410234,195467852,29725939.5,0,17806840.6563,1457958.8125,0,305196.2032,146403446,195699404,-231552,2.77555756156289e-17
29,17,39489808,0,17087664.25,0,4136784.0625,0,163621158,224335412,36205220.5,0,21210015.3437,1630809.1875,0,571861.6093,164862890,224480756,-145344,-0.09
