"kstp","kper","storage_in","constant_head_in","wells_in","drno_drains_in","recharge_in","et_segments_in","stream_leakage_in","total_in","storage_out","constant_head_out","wells_out","drno_drains_out","recharge_out","et_segments_out","stream_leakage_out","total_out","difference","discrepancy"
31,1,11332010,0,2284088.75,0,227618.1094,0,11661109,25504826,5636808,0,715749.9375,255427.5,0,189555.0312,18727818,25525358,-20532,-0.08
30,2,3989123,0,2210408.75,0,381720.7031,0,15251261,21832510,4276604,0,0,250453.7812,0,19789.0938,17288614,21835462,-2952,0.03
31,3,13323681,0,4568184.25,0,473242.7344,0,29142331,47507442,8924676,0,715749.9375,506423.3438,0,189555.0312,37194622,47531026,-23584,-0.07
31,4,5260327,0,4494499.75,0,702343.2656,0,36499089,46956254,7904654,0,0,483241.6562,0,19789.0938,38542474,46950158,6096,0.05
28,5,14836275,0,6631224.25,0,998148.2344,0,52023447,74489098,13226084,0,715749.9375,708600.5938,0,189555.0312,59719454,74559442,-70344,-0.1
31,6,7199569,0,6778579.75,0,3136331.5156,0,64716161,81830646,13757684,0,239442.0625,713587.4062,0,19789.0938,67206586,81937086,-106440,-0.01
30,7,17913885,0,9869004.25,0,1545348.9844,0,76605071,105933306,14689784,0,5010000.4375,943501.3438,0,189755.8593,85184726,106017762,-84456,-0.09
31,8,9214969,0,10124285.75,0,3773691.5156,0,93898081,117011030,16234464,0,6411245.5625,961064.9062,0,23591.3907,93499210,117129582,-118552,1.38777878078145e-17
30,9,25764959,0,10382784.25,0,4652044.4844,0,98530783,139330570,15459400,0,14383580.4375,1334017.8438,0,202894.5312,108066710,139446594,-116024,-0.09
31,10,22611049,0,10655191.75,0,7202446.5156,0,104642129,145110806,16418022,0,21760427.5625,1234704.6562,0,39807.2344,105863802,145316766,-205960,-0.02
31,11,38502303,0,10382784.25,0,6722937.4844,0,104477839,160085866,15502188,0,28319632.4375,1367383.8438,0,483617.9531,114534982,160207810,-121944,-0.09
30,12,27812833,0,10655191.75,0,8456176.5156,0,109216353,156140566,18752552,0,25094291.5625,1258644.9062,0,225656.4844,111014986,156346110,-205544,-0.01
31,13,41440727,0,12666864.25,0,7286362.4844,0,110477039,171870986,20095748,0,29001960.4375,1442358.0938,0,557136.5156,120895078,171992322,-121336,-0.09
30,14,29216257,0,12865591.75,0,10028217.5156,0,121337329,173447414,26763032,0,25094291.5625,1393077.9062,0,239724.6094,120170266,173660350,-212936,-0.01
31,15,42145871,0,14950944.25,0,9815218.4844,0,132393903,199305930,31559596,0,29001960.4375,1609169.0938,0,557136.5156,136706246,199434146,-128216,-0.08
31,16,29416617,0,15149671.75,0,12892431.5156,0,143284849,200743574,32542216,0,25094291.5625,1571802.9062,0,239724.6094,141501562,200949566,-205992,0
29,17,42904623,0,17087664.25,0,10019204.4844,0,159950447,229961930,38306432,0,29001960.4375,1787115.8438,0,557136.5156,160460838,230113506,-151576,-0.08
31,18,30626441,0,17433751.75,0,14005703.5156,0,171754193,233820086,35718024,0,25097391.5625,1776711.6562,0,239724.6094,171287450,234119262,-299176,-0.02
30,19,45574263,0,20325504.25,0,10509824.4844,0,193363503,269773098,43467168,0,32389028.4375,1997833.5938,0,557144.5781,191595878,270007074,-233976,-0.09
31,20,38554561,0,20779519.75,0,15136335.5156,0,196869969,271340374,36489640,0,34881603.5625,2034357.6562,0,246107.9219,198043418,271695070,-354696,-0.02
30,21,55940095,0,20839224.25,0,14416784.4844,0,204914895,296111018,43982280,0,42911444.4375,2275040.8438,0,568518.2656,206616710,296354082,-243064,-0.09
31,22,52002913,0,21310363.75,0,17864025.5156,0,204776849,295954134,36600752,0,50601379.5625,2165285.1562,0,336665.4844,206623610,296327582,-373448,-0.01
31,23,71156087,0,20839224.25,0,16751366.4844,0,208980015,317726698,44010608,0,59646876.4375,2279484.8438,0,835908.0156,211199878,317972834,-246136,-0.09
30,24,56984521,0,21310363.75,0,19211505.5156,0,207794481,305300886,39343216,0,53645107.5625,2177363.6562,0,450010.3594,210059962,305675550,-374664,-0.01
31,25,73241359,0,23123304.25,0,18315006.4844,0,218092975,332772650,52841376,0,60179124.4375,2365302.8438,0,837070.8906,216800198,333023202,-250552,-0.09
30,26,58091673,0,23520763.75,0,19828905.5156,0,222253777,323695126,48799648,0,53645107.5625,2293769.1562,0,450010.3594,218887258,324075678,-380552,-0.01
31,27,73583767,0,25407384.25,0,24383814.4844,0,243296879,366671850,69315384,0,60179124.4375,2502160.8438,0,837070.8906,234077734,366911586,-239736,-0.08
31,28,59275721,0,25804843.75,0,37666553.5156,0,252303409,375050518,68619496,0,53645107.5625,2816003.6562,0,450010.3594,249930586,375461086,-410568,-0.01
28,29,76396695,0,27470424.25,0,25000822.4844,0,272637071,401505002,72503848,0,60179124.4375,2805121.3438,0,837070.8906,265485542,401810850,-305848,-0.08
31,30,63018889,0,28088923.75,0,38585145.5156,0,297447729,427140694,77691656,0,53645107.5625,3290651.1562,0,450010.3594,292474970,427552222,-411528,-0.01
30,31,78975575,0,30708264.25,0,25846822.4844,0,309202511,444733162,74608968,0,60232708.4375,3100129.3438,0,837089.6406,306332646,445111714,-378552,-0.08
31,32,65754537,0,31434691.75,0,39931165.5156,0,342612401,479732822,82636856,0,58143963.5625,3624440.1562,0,450495.8594,335282906,480138462,-405640,-1.38777878078145e-17
30,33,89345927,0,31221984.25,0,30194178.4844,0,345611983,496374058,76136856,0,72127444.4375,3767136.3438,0,858241.5156,343974438,496864290,-490232,-0.09
