Stress_Period,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Runoff,Storage,Error
1,4066513,1796515,733149,-8902607,-290629,0,2597060,0
2,5971931,0,0,-3051393,-494619,0,-2425919,0
3,3847915,0,0,-709098,-315399,0,-2823419,0
4,4629442,0,0,-947483,-402101,0,-3279858,0
5,4771590,0,0,-1235589,-622528,0,-2913473,0
6,16933489,30282,251762,-13214473,-2767840,0,-1233220,0
7,6318744,2533520,4456037,-13794961,-638937,0,1125597,0
8,5365874,5533423,6425669,-14967983,-713032,0,-1643951,0
9,5838298,8530785,9927818,-18573166,-3212634,0,-2511100,0
10,4285536,3922370,16479579,-22881805,-3520586,0,1714905,0
11,1465048,1619622,14971466,-16291875,-2099041,0,334780,0
12,372378,1435289,3488224,-10768844,-1268534,0,6741488,0
13,3438474,1480830,685467,-8215388,-625881,0,3236498,0
14,13615465,0,0,-2374533,-1852009,0,-9388923,0
15,10055835,0,0,-699281,-2763497,0,-6593057,0
16,9275055,0,0,-953252,-3084503,0,-5237301,0
17,662721,0,0,-1272687,-212895,0,822861,0
18,7735621,0,3133,-11965595,-1247220,0,5474060,0
19,6684325,3092535,3506567,-17196096,-586690,0,4499358,0
20,2337380,8858359,10334953,-20088515,-1159971,0,-282207,0
21,12947687,6215763,11238466,-24617835,-4085854,0,-1698226,0
22,1389836,4429450,16851334,-22112840,-2762095,0,2204315,0
23,0,1105998,18025200,-16607144,-2359299,0,-164754,0
24,858482,2646201,3224482,-12356674,-1370312,0,6997821,0
25,12384493,1755819,536993,-10485311,-1793800,0,-2398194,0
26,5827405,0,0,-3301064,-728156,0,-1798185,0
27,22447534,0,0,-739706,-6608229,0,-15099599,0
28,26584368,0,0,-741598,-18706004,0,-7136767,0
29,874791,0,0,-1029658,-633935,0,788801,0
30,9874164,0,0,-12034094,-1069031,0,3228962,0
31,9819852,40651,53703,-15259184,-1005015,0,6349992,0
32,19484765,4064516,4632445,-22169947,-1678759,0,-4333020,0
33,4549767,10906679,12648581,-27449173,-4453575,0,3797721,0
34,0,10761463,13673226,-24571630,-4555859,0,4692799,0
35,4894143,5077188,12594544,-20286289,-4483808,0,2204222,0
36,1182363,4284431,2860867,-14152499,-1661377,0,7486214,0
37,3719191,1706862,522020,-9831290,-752086,0,4635303,0
38,3452041,0,0,-2005291,-257174,0,-1189577,0
39,12999486,0,0,-717291,-1992689,0,-10289506,0
40,10455993,0,0,-715057,-3688397,0,-6052539,0
41,265088,0,0,-1017380,-91788,0,844080,0
42,3216089,50707,261143,-13131445,-305550,0,9909056,0
43,1114022,3669918,5415764,-14248359,-61497,0,4110152,0
44,7945150,8222212,9622507,-20030666,-837450,0,-4921753,0
45,0,8243900,15158684,-20314409,-2731617,0,-356557,0
46,0,1612605,21717129,-21706402,-2714427,0,1091095,0
47,0,879077,17493963,-15183252,-2217319,0,-972469,0
48,1028069,730558,4119142,-11802343,-1431483,0,7356057,0
49,143110,1233951,869362,-7205619,-412355,0,5371551,0
50,19999844,0,0,-2691189,-2800572,0,-14508083,0
51,9471551,0,0,-718432,-2713526,0,-6039592,0
52,54559077,0,0,-520209,-39465972,0,-14572896,0
53,304852,0,0,-1625300,-216019,0,1536467,0
54,29760083,0,0,-9597376,-20713591,0,550884,0
55,13849492,2294,10982,-15292252,-1452782,0,2882266,0
