"kstp","kper","storage_in","constant_head_in","wells_in","drno_drains_in","recharge_in","et_segments_in","stream_leakage_in","total_in","storage_out","constant_head_out","wells_out","drno_drains_out","recharge_out","et_segments_out","stream_leakage_out","total_out","difference","discrepancy"
31,1,11237098,0,2284088.75,0,227563.4062,0,12003546,25752296,5757893,0,616969.75,256441.25,0,190192.9844,18942700,25764196,-11900,-0.05
30,2,3944839,0,2210408.75,0,381720.7188,0,15335280,21872248,4200717,0,0,251254.5625,0,19843.2187,17403680,21875496,-3248,0.02
31,3,13224775,0,4568184.25,0,473186.0937,0,29549260,47815408,8997294,0,616969.75,507859.1875,0,190192.9844,37517760,47830072,-14664,-0.05
31,4,5283175,0,4494499.75,0,2299274.6563,0,35091052,47168000,7779883,0,0,484517.875,0,19843.2187,38890600,47174848,-6848,0.03
28,5,14527789,0,6631224.25,0,2783937.8437,0,51496404,75439360,13355911,0,616969.75,710506.625,0,190192.9844,60608680,75482256,-42896,-0.07
31,6,7043791,0,6778579.75,0,6615540.1563,0,62268244,82706144,13566037,0,206347.625,715507.75,0,19843.2187,68299328,82807072,-100928,-0.02
30,7,17595141,0,9869004.25,0,3313767.8437,0,76077740,106855664,14897305,0,4388575.375,946474.625,0,190394.1719,86498368,106921104,-65440,-0.07
31,8,9009071,0,10124285.75,0,7079734.1563,0,91549524,117762608,16075711,0,5738158.625,964597,0,23669.7031,95077072,117879216,-116608,-0.01
30,9,25581125,0,10382784.25,0,4427637.8437,0,98371708,138763264,15121013,0,12805371.375,1186235.75,0,203650.8125,109567168,138883440,-120176,-0.08
31,10,22177763,0,10655191.75,0,8891591.1563,0,102241396,143965952,16181101,0,19237598.625,1172887.25,0,40279.5313,107534192,144166064,-200112,-0.03
31,11,37657789,0,10382784.25,0,5540816.8437,0,104389836,157971200,15156665,0,25160665.375,1219557.5,0,451027.9375,116110016,158097936,-126736,-0.08
30,12,27238691,0,10655191.75,0,9626321.1563,0,106954244,154474464,18334929,0,22099382.625,1196637.5,0,219811.25,112824448,154675184,-200720,-0.02
31,13,40451981,0,12666864.25,0,5954263.8437,0,110717580,169790688,19695391,0,25753257.375,1293283,0,522871.25,122650464,169915280,-124592,-0.08
30,14,28576707,0,12865591.75,0,11198358.1563,0,119401988,172042656,26209821,0,22099382.625,1327886.75,0,233577.6875,122376480,172247152,-204496,-0.02
31,15,41131909,0,14950944.25,0,8465015.8437,0,132419948,196967808,30634763,0,25753257.375,1456510.5,0,522871.25,138731200,197098608,-130800,-0.07
31,16,28830331,0,15149671.75,0,15702472.1563,0,140083732,199766208,31768193,0,22099382.625,1504052.75,0,233577.6875,144368032,199973232,-207024,-0.02
29,17,41756053,0,17087664.25,0,10436551.8437,0,158950572,228230848,37397375,0,25753257.375,1632895.5,0,522871.25,163072320,228378736,-147888,-0.06
31,18,29982515,0,17433751.75,0,18423528.1563,0,167575188,233414976,34717057,0,22367430.625,1707859.5,0,233577.6875,174669856,233695760,-280784,-0.03
30,19,44958981,0,20325504.25,0,10924231.8437,0,192548972,268757696,42482543,0,30289437.375,1842337.5,0,522880.1875,193836832,268974064,-216368,-0.07
31,20,37224779,0,20779519.75,0,18634204.1563,0,193139508,269777984,35328545,0,31127118.625,1926426.25,0,240009.8125,201510336,270132368,-354384,-0.04
30,21,55353893,0,20839224.25,0,13191451.8437,0,204093516,293478080,42776143,0,39455729.375,2037744.5,0,534467.375,208892736,293696880,-218800,-0.06
31,22,49692323,0,21310363.75,0,20353650.1563,0,201228948,292585280,35402641,0,44922822.625,2044303.5,0,322231.5,210273248,292965200,-379920,-0.04
31,23,69820981,0,20839224.25,0,14435913.8437,0,208291212,313387328,42789823,0,54374649.375,2042642.25,0,793101.625,213610496,313610736,-223408,-0.06
30,24,54512043,0,21310363.75,0,21178890.1563,0,204341684,301342976,37967033,0,47466198.625,2056766.5,0,436153.75,213798016,301724176,-381200,-0.04
31,25,71801453,0,23123304.25,0,15868733.8437,0,217859052,328652544,51627863,0,54841217.375,2130124.75,0,794312.125,219489024,328882544,-230000,-0.06
30,26,55538739,0,23520763.75,0,21795570.1563,0,219215892,320070976,47314105,0,47466198.625,2174420.75,0,436153.75,223066176,320457040,-386064,-0.03
31,27,72147069,0,25407384.25,0,21480601.8437,0,242922156,361957184,66869959,0,54841217.375,2267439.25,0,794312.125,237400288,362173232,-216048,-0.06
31,28,56683283,0,25804843.75,0,37834226.1563,0,248579892,368902272,65052905,0,47466198.625,2647920.75,0,436153.75,253731648,369334800,-432528,-0.03
28,29,74410709,0,27470424.25,0,23802697.8437,0,271522604,397206400,70444407,0,54841217.375,2554877.75,0,794312.125,268872032,397506864,-300464,-0.07
31,30,60239659,0,28088923.75,0,40602402.1563,0,292879700,421810688,74291049,0,47466198.625,3114702.75,0,436153.75,296930976,422239056,-428368,-0.02
30,31,77189173,0,30708264.25,0,24670657.8437,0,308058924,440627008,72615399,0,54891617.375,2844320.25,0,794330.25,309854112,440999792,-372784,-0.07
31,32,62856699,0,31434691.75,0,41797514.1563,0,338081364,474170304,79305577,0,51503854.625,3445548.25,0,436606.25,339901664,474593232,-422928,-0.02
30,33,87582997,0,31221984.25,0,26802341.8437,0,344661612,490268864,73572711,0,65558697.375,3296279.75,0,815345.125,347513312,490756400,-487536,-0.07
31,34,74388299,0,31965535.75,0,44501210.1563,0,358303380,509158464,79637001,0,62828622.625,3930005.25,0,475705.375,362747616,509618896,-460432,-0.02
31,35,97298677,0,31221984.25,0,28982509.8437,0,355984620,513487744,73684983,0,75800993.375,3559096.75,0,835637.625,360141344,514022128,-534384,-0.08
30,36,79504827,0,31965535.75,0,45534890.1563,0,367312532,524317824,81837401,0,64998894.625,4089369.25,0,579402.25,373252896,524757904,-440080,-0.00999999999999997
31,37,99507637,0,33506064.25,0,29609701.8437,0,369833452,532456832,78802775,0,76256193.375,3727581.25,0,901797.625,373306400,532994800,-537968,-0.08
30,38,80382571,0,34175935.75,0,45733610.1563,0,384748948,545041024,86909705,0,64998894.625,4258455.75,0,623868.75,388697568,545488400,-447376,-0.00999999999999997
31,39,99980517,0,35790144.25,0,31371741.8437,0,393038828,560181248,84876823,0,76256193.375,3932863.75,0,901797.625,394753312,560721136,-539888,-0.08
31,40,80818603,0,36460015.75,0,50804218.1563,0,409046036,577128832,93007065,0,64998894.625,4474060.25,0,623868.75,414490272,577594000,-465168,-0.00999999999999997
28,41,100956629,0,37853184.25,0,33217277.8437,0,414622956,586650112,86594503,0,76256193.375,4140120.75,0,901797.625,419324960,587217776,-567664,-0.08
31,42,81668475,0,38744095.75,0,52603458.1563,0,435689044,608705024,95311177,0,65734830.625,4714363.25,0,623868.75,442783584,609167632,-462608,-0.00999999999999997
30,43,104790469,0,41091024.25,0,33272717.8437,0,439693036,618847232,88552519,0,81530273.375,4376308.75,0,905174.75,444119456,619483888,-636656,-0.08
31,44,85202075,0,42089863.75,0,53089290.1563,0,464160212,644541440,97359657,0,73887598.625,4955426.25,0,637667.5,468235488,645075728,-534288,-0.00999999999999997
30,45,118234997,0,41604864.25,0,34118957.8437,0,451856300,645815168,88646775,0,93748177.375,4574156.75,0,927259.125,458618528,646514928,-699760,-0.09
31,46,102295691,0,42620831.75,0,54271258.1563,0,470167636,669355392,97418585,0,91756190.625,4963476.25,0,952892.5,474802592,669893648,-538256,4.16333634234434e-17
31,47,131948917,0,41604864.25,0,35348789.8437,0,455210476,664113024,88702615,0,108106977.375,4577173.75,0,1090779.125,462337824,664815472,-702448,-0.09
30,48,107359531,0,42620831.75,0,55125178.1563,0,472794388,677899904,99428105,0,95123774.625,4970784.25,0,1069651.375,477849248,678441488,-541584,4.16333634234434e-17
31,49,134907925,0,43888944.25,0,35591333.8437,0,458161452,672549632,92979783,0,108799105.375,4603077.75,0,1171962.125,465700320,673254384,-704752,-0.09
30,50,108595819,0,44831231.75,0,57502138.1563,0,477937940,688867200,105959321,0,95123774.625,5054319.25,0,1069651.375,482203552,689410448,-543248,4.16333634234434e-17
31,51,135667045,0,46173024.25,0,38034133.8437,0,469591084,689465216,102278103,0,108799105.375,4714478.75,0,1171962.125,473212320,690176112,-710896,-0.09
31,52,110701915,0,47115311.75,0,92518250.1563,0,525775700,776111232,157464329,0,95123774.625,6302388.25,0,1069651.375,516742688,776702608,-591376,4.16333634234434e-17
28,53,144585333,0,48236064.25,0,40033333.8437,0,507600044,740454784,108280215,0,108799105.375,5438744.75,0,1171962.125,517536736,741226992,-772208,-0.09
31,54,114266011,0,49399391.75,0,113845754.1563,0,570160212,847671424,174239881,0,95123774.625,7721441.25,0,1069651.375,570150304,848304784,-633360,4.16333634234434e-17
30,55,151003253,0,51473904.25,0,41258773.8437,0,545583148,789319040,110863543,0,108809185.375,6039551.75,0,1171962.125,563220576,790105072,-786032,-0.09
