Stress_Period,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Runoff,Storage,Error
1,4066513,1620580,632261,-8797870,-290575,0,2769090,0
2,5971931,0,0,-3031579,-494619,0,-2445733,0
3,3847915,0,0,-709098,-315397,0,-2823421,0
4,4629442,1968835,0,-947523,-2019464,0,-3631290,0
5,4771590,1842097,0,-1235658,-2436764,0,-2941264,0
6,16933489,1995222,217435,-13214576,-4684776,0,-1246794,0
7,6318744,2192444,3908569,-13794961,-621550,0,1996756,0
8,5365874,4811348,5746213,-14984865,-536999,0,-401571,0
9,5838298,7437637,8874455,-18616401,-1200022,0,-2333967,0
10,4285536,3899153,14458805,-22928811,-1887825,0,2173142,0
11,1465048,1619622,13239570,-16409431,-1131504,0,1216695,0
12,372378,1435289,2982006,-10771585,-744012,0,6725925,0
13,3438474,1320889,595260,-8025693,-474244,0,3145313,0
14,13615465,0,0,-2345707,-1852009,0,-9417749,0
15,10055835,0,0,-699281,-2745190,0,-6611364,0
16,9275055,1968835,0,-953290,-4747560,0,-5543040,0
17,662721,1842097,0,-1272760,-2010079,0,778021,0
18,7735621,2001723,284376,-11965701,-2885589,0,4829570,0
19,6684325,3056061,4724829,-17196096,-583975,0,3314855,0
20,2337380,7701746,9242243,-20126654,-228552,0,1073837,0
21,12947687,6031753,9775194,-24652661,-2430466,0,-1671507,0
22,1389836,4405422,14765269,-22165996,-1742724,0,3348193,0
23,0,1105998,15996701,-16752332,-1258457,0,908090,0
24,858482,2630676,2691087,-12351140,-842238,0,7013134,0
25,12384493,1517452,470616,-10468009,-1661595,0,-2242957,0
26,5827405,0,0,-3301064,-727515,0,-1798827,0
27,22447534,0,0,-739706,-6146564,0,-15561265,0
28,26584368,1968835,0,-741619,-16912848,0,-10898736,0
29,874791,1842097,0,-1029715,-2369154,0,681981,0
30,9874164,1968835,0,-12034181,-2952446,0,3143629,0
31,9819852,39933,51150,-15259164,-1028257,0,6376485,0
32,19484765,3548795,4159841,-22169967,-1525105,0,-3498329,0
33,4549767,9482569,11311079,-27449173,-2218014,0,4323771,0
34,0,9787708,12139495,-24572793,-2732417,0,5378007,0
35,4894143,5058107,10931379,-20319882,-2265379,0,1701632,0
36,1182363,4268055,2291329,-14375817,-1059354,0,7693424,0
37,3719191,1475141,457493,-9744507,-680887,0,4773569,0
38,3452041,0,0,-2000224,-257174,0,-1194643,0
39,12999486,0,0,-717291,-2046227,0,-10235968,0
40,10455993,1968835,0,-715085,-5347018,0,-6362724,0
41,265088,1842097,0,-1017441,-1878203,0,788459,0
