"kstp","kper","storage_in","constant_head_in","wells_in","drno_drains_in","recharge_in","et_segments_in","stream_leakage_in","total_in","storage_out","constant_head_out","wells_out","drno_drains_out","recharge_out","et_segments_out","stream_leakage_out","total_out","difference","discrepancy"
31,1,11180398,0,2284088.75,0,204485.5312,0,12926216,26595188,6034743,0,359456,297087.25,0,519414.2188,19400204,26610904,-15716,-0.06
30,2,3812298,0,2210408.75,0,341300.7188,0,15483488,21847496,3965068,0,0,255462,0,59309.2812,17571668,21851508,-4012,0.02
31,3,13160074,0,4568184.25,0,417304.4062,0,30727544,48873104,9173358,0,359456,548036.3125,0,525957.0313,38284100,48890908,-17804,-0.05
31,4,5122030,0,4494499.75,0,609528.2188,0,36951840,47177904,7288265,0,0,486527.75,0,130192.5312,39274300,47179284,-1380,0.03
28,5,14731316,0,6631224.25,0,835816.9062,0,53626392,75824744,13357977,0,359456,746500.125,0,689448.0938,60721340,75874724,-49980,-0.07
31,6,7151580,0,6778579.75,0,2264695.5938,0,65243912,81438776,12844313,0,169584.25,710801.875,0,164085.5312,67652484,81541260,-102484,-0.03
30,7,16753748,0,9869004.25,0,1156276.9062,0,78572488,106351512,14955087,0,2435271.5,967121.375,0,1234481.9688,86838012,106429988,-78476,-0.07
31,8,8760682,0,10124285.75,0,2521724.3438,0,95021000,116427688,15551407,0,3655086.5,940012.375,0,1045088.0312,95368484,116560060,-132372,-0.02
30,9,23847342,0,10382784.25,0,1791520.6562,0,102008616,138030264,15160693,0,7767806.5,1183218.875,0,2871232.2188,111194748,138177716,-147452,-0.09
31,10,20833286,0,10655191.75,0,3834729.3438,0,106088104,141411304,15659249,0,12307129.5,1136880.125,0,3253342.7812,109232852,141589452,-178148,-0.03
31,11,33969002,0,10382784.25,0,2478573.6562,0,109563608,156393976,15180943,0,16034862.5,1224376.625,0,4765235.2188,119346492,156551924,-157948,-0.08
30,12,25595054,0,10655191.75,0,4279119.3438,0,112150248,152679624,17372621,0,13851319.5,1161320.875,0,4581990.7812,115888020,152855244,-175620,-0.03
31,13,36559202,0,12666864.25,0,2790914.1562,0,118162264,170179224,19337219,0,16394454.5,1304993.625,0,5405621.2188,127894012,170336340,-157116,-0.07
30,14,26856662,0,12865591.75,0,5552919.8438,0,124827352,170102536,23113713,0,13851319.5,1290055.375,0,4667950.7812,127358964,170281964,-179428,-0.03
31,15,37242806,0,14950944.25,0,4443958.1562,0,139725128,196362808,28879395,0,16394454.5,1460786.125,0,5407380.2188,144383500,196525556,-162748,-0.06
31,16,27064802,0,15149671.75,0,7216410.8438,0,146840152,196271048,27763097,0,13851319.5,1455625.375,0,4670197.7812,148697172,196437388,-166340,-0.02
29,17,37902450,0,17087664.25,0,4552679.1562,0,167305448,226848248,35586843,0,16394454.5,1624097.625,0,5411960.2188,168030348,227047732,-199484,-0.07
31,18,28365354,0,17433751.75,0,7829807.8438,0,175371064,228999976,30432457,0,14315251.5,1643697.125,0,4682834.7812,178172020,229246220,-246244,-0.03
30,19,40730310,0,20325504.25,0,4882619.1562,0,201310824,267249240,40654743,0,19883660.5,1812012.125,0,6551175.2188,198631756,267533396,-284156,-0.08
31,20,34191954,0,20779519.75,0,7963851.8438,0,201935416,264870760,31036897,0,19833867.5,1835228.375,0,6559311.7812,205952500,265217772,-347012,-0.04
30,21,49349982,0,20839224.25,0,6370529.1562,0,216663304,293223000,40920503,0,25672328.5,1990975.875,0,8103241.2188,216848812,293535892,-312892,-0.08
31,22,44301914,0,21310363.75,0,9216840.8438,0,212102296,286931496,31112217,0,28601335.5,1984119.375,0,8718818.7812,216883348,287299820,-368324,-0.04
31,23,61160934,0,20839224.25,0,7149869.1562,0,222235624,311385560,40928831,0,35692288.5,1998757.125,0,10144891.2188,222941900,311706708,-321148,-0.08
30,24,48786202,0,21310363.75,0,9693240.8438,0,216831800,296621672,33407961,0,29887323.5,1998311.625,0,9911532.7812,221785684,296990764,-369092,-0.03
31,25,63019334,0,23123304.25,0,8189981.1562,0,234098760,328431320,49246655,0,35977524.5,2086707.125,0,10509989.2188,230934252,328755156,-323836,-0.08
30,26,49743522,0,23520763.75,0,10187940.8438,0,234398168,317850472,42140225,0,29887323.5,2113567.875,0,9914306.7812,234168212,318223596,-373124,-0.03
31,27,63407918,0,25407384.25,0,12029517.1562,0,257847176,358691928,59166231,0,35977524.5,2217952.625,0,10511251.2188,251156684,359029652,-337724,-0.08
31,28,51006098,0,25804843.75,0,21522470.8438,0,264615224,362948712,57757601,0,29887323.5,2521346.375,0,9915622.7812,263304980,363386860,-438148,-0.03
28,29,65569270,0,27470424.25,0,12348493.1562,0,287413128,392801240,62753615,0,35977524.5,2462578.625,0,10514849.2188,281514028,393222612,-421372,-0.08
31,30,54694754,0,28088923.75,0,22023554.8438,0,309880504,414687784,66894481,0,29887323.5,2950059.875,0,9923678.7812,305474196,415129708,-441924,-0.03
30,31,68114814,0,30708264.25,0,12855013.1562,0,324087304,435765336,64864303,0,36015204.5,2721084.625,0,10572881.2188,322086316,436259860,-494524,-0.08
31,32,56815274,0,31434691.75,0,23107810.8438,0,355173560,466531368,72222881,0,32177235.5,3255277.875,0,10360112.7812,348956884,466972332,-440964,-0.02
30,33,77906982,0,31221984.25,0,14127373.1562,0,361076104,484332376,65725983,0,42790076.5,3092748.625,0,12347607.2188,360974380,484930836,-598460,-0.09
31,34,67707834,0,31965535.75,0,24907546.8438,0,377155320,501736296,72514177,0,39918699.5,3709062.875,0,12974058.7812,373121492,502237420,-501124,-0.02
31,35,86656454,0,31221984.25,0,15656913.1562,0,373858440,507393752,65797823,0,49497148.5,3374631.125,0,14141747.2188,375190956,508002388,-608636,-0.09
30,36,71898298,0,31965535.75,0,25811506.8438,0,388600120,518275496,74055041,0,41240979.5,3913507.375,0,14438268.7812,385131284,518778988,-503492,-0.02
31,37,88268566,0,33506064.25,0,16157253.1562,0,389650824,527582680,70184191,0,49774356.5,3576761.625,0,14876819.2188,389781292,528193492,-610812,-0.09
30,38,72586378,0,34175935.75,0,25993186.8438,0,407221688,539977256,78168977,0,41240979.5,4103780.875,0,14774938.7812,402194580,540483180,-505924,-0.01
