Stress_Period,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Runoff,Storage,Error
1,4066513,1374628,436800,-9373873,-258243,0,3754176,0
2,5971931,0,0,-4288276,-445711,0,-1237945,0
3,3847915,0,0,-1898755,-274422,0,-1674738,0
4,4629442,0,0,-2017867,-337927,0,-2273648,0
5,4771590,0,0,-2162923,-525134,0,-2083532,0
6,16933489,20956,209643,-15573333,-2052058,0,461303,0
7,6318744,1575028,2719368,-12231273,-399362,0,2017495,0
8,5365874,3583034,4314777,-11886626,-312046,0,-1065013,0
9,5838298,5542389,6674281,-15317969,-798226,0,-1938773,0
10,4285536,3838983,11437626,-19261229,-1480641,0,1179724,0
11,1465048,1615856,10860780,-14215084,-874248,0,1147647,0
12,372378,1422616,2126403,-9248038,-579494,0,5906134,0
13,3438474,1097296,423591,-7593943,-400614,0,3035196,0
14,13615465,0,0,-3134814,-1651344,0,-8829307,0
15,10055835,0,0,-1930453,-1992252,0,-6133130,0
16,9275055,0,0,-2604267,-2008608,0,-4662179,0
17,662721,0,0,-3537331,-124393,0,2999003,0
18,7735621,66551,487194,-14203202,-739518,0,6653354,0
19,6684325,2389690,4349828,-13955785,-404469,0,936410,0
20,2337380,5742757,6915568,-13990427,-173083,0,-832196,0
21,12947687,4803356,7321593,-22093582,-1801220,0,-1177834,0
22,1389836,4343152,11647234,-17784870,-1478400,0,1883049,0
23,0,1105998,13201801,-14265441,-1017575,0,975216,0
24,858482,2590441,1770682,-10548612,-607595,0,5936603,0
25,12384493,1166916,330388,-10366676,-1326783,0,-2188338,0
26,5827405,0,0,-4890667,-635416,0,-301323,0
27,22447534,0,0,-1995084,-4582977,0,-15869474,0
28,26584368,0,0,-1997776,-13232617,0,-11353975,0
29,874791,0,0,-2859558,-381843,0,2366609,0
30,9874164,0,0,-14321328,-623329,0,5070493,0
31,9819852,24563,39236,-17615161,-633619,0,8365128,0
32,19484765,2516240,2902341,-21759528,-1372366,0,-1771453,0
33,4549767,7083980,8530702,-22466833,-1556146,0,3858531,0
34,0,7996161,9903685,-15832164,-2202379,0,134697,0
35,4894143,4889328,8565282,-17083712,-1861804,0,596763,0
36,1182363,3591359,1623615,-12209830,-1000923,0,6813416,0
37,3719191,1134379,321176,-8859280,-590559,0,4275095,0
38,3452041,0,0,-2171915,-228835,0,-1051291,0
39,12999486,0,0,-1959783,-1823136,0,-9216568,0
40,10455993,0,0,-1955606,-2600552,0,-5899836,0
41,265088,0,0,-2839371,-54513,0,2628796,0
42,3216089,107709,694927,-13272749,-166476,0,9420499,0
43,1114022,2470337,4569253,-10094217,-41960,0,1982565,0
44,7945150,5333599,6422850,-16814085,-414957,0,-2472557,0
45,0,6429913,9856883,-15237269,-632534,0,-416992,0
46,0,1612605,15602744,-17796383,-954398,0,1535432,0
47,0,879077,12782545,-12740151,-965675,0,44204,0
48,1028069,730558,2646241,-9956083,-656849,0,6208065,0
49,143110,1013883,498341,-4714147,-187123,0,3245936,0
50,19999844,0,0,-4022312,-2480618,0,-13496913,0
51,9471551,0,0,-1958981,-1964609,0,-5547961,0
52,54559077,0,0,-1374332,-33027647,0,-20157099,0
53,304852,0,0,-4529257,-163667,0,4388072,0
54,29760083,0,0,-11592420,-16514979,0,-1652683,0
55,13849492,803,7751,-18087029,-858288,0,5087271,0
56,9268192,3091757,3721622,-25479642,-517236,0,9915308,0
57,6965293,6239364,7513595,-22672178,-1100157,0,3054083,0
58,8377836,7252901,8734121,-20769102,-3119461,0,-476294,0
59,0,6329439,10245145,-15836016,-1880103,0,1141535,0
60,310946,3536140,1566860,-11135790,-944543,0,6666388,0
61,114488,1459973,413361,-6871149,-289905,0,5173232,0
62,3265349,0,0,-2976050,-167993,0,-121306,0
63,47733147,0,0,-2021493,-15613894,0,-30097761,0
64,43721917,0,0,-2038831,-38458825,0,-3224261,0
65,2920790,0,0,-3549644,-1722913,0,2351767,0
66,6807206,0,0,-12850146,-455756,0,6498696,0
67,9849335,79361,81411,-18817295,-615694,0,9422882,0
