               Stress_Period  Alfalfa_Irrigated             Grain_Irrigated               Pasture_Irrigated             Native_Vegetation             Urban_Barren                  Water                         
   1          3999332.35                0.00          2810931.80          2563609.34                0.00                0.00
   2           875472.89                0.00           685203.00          2727599.67                0.00                0.00
   3                0.00                0.00                0.00          1898755.04                0.00                0.00
   4                0.00                0.00                0.00          2017867.19                0.00                0.00
   5                0.00                0.00                0.00          2162923.32                0.00                0.00
   6          4425068.85                0.00          4193935.87          6954328.46                0.00                0.00
   7          4671626.10                0.00          4205048.44          3354598.61                0.00                0.00
   8          5035323.30                0.00          4208060.04          2643242.98                0.00                0.00
   9          7129022.92                0.00          5656268.61          2532677.28                0.00                0.00
  10          9836486.97                0.00          7600844.67          1823897.45                0.00                0.00
  11          8317777.21                0.00          5247996.15           649310.35                0.00                0.00
  12          5928321.94                0.00          3154677.67           165038.30                0.00                0.00
  13          3586868.21                0.00          2585124.69          1421950.15                0.00                0.00
  14           659674.79                0.00           485383.05          1989756.12                0.00                0.00
  15                0.00                0.00                0.00          1930452.83                0.00                0.00
  16                0.00                0.00                0.00          2604267.44                0.00                0.00
  17                0.00                0.00                0.00          3537330.68                0.00                0.00
  18          4022789.14                0.00          3812853.66          6367559.28                0.00                0.00
  19          5839533.39                0.00          5222492.28          2893759.42                0.00                0.00
  20          7174816.48                0.00          5684649.70          1130960.75                0.00                0.00
  21          9064903.97                0.00          7473629.85          5555048.41                0.00                0.00
  22          9760300.00                0.00          7391154.05           633416.23                0.00                0.00
  23          9356137.99                0.00          4909302.86                0.00                0.00                0.00
  24          6289626.11                0.00          3878506.27           380479.58                0.00                0.00
  25          3812661.71                0.00          3268022.63          3285992.01                0.00                0.00
  26           908372.10                0.00           861009.09          3121285.58                0.00                0.00
  27                0.00                0.00                0.00          1995083.96                0.00                0.00
  28                0.00                0.00                0.00          1997775.86                0.00                0.00
  29                0.00                0.00                0.00          2859557.82                0.00                0.00
  30          4022789.14                0.00          3813168.74          6485369.70                0.00                0.00
  31          5060929.04                0.00          4762192.61          7792039.21                0.00                0.00
  32          7241020.46                0.00          6358039.42          8160467.73                0.00                0.00
  33          9302394.14                0.00          7584569.50          5579869.73                0.00                0.00
  34          9082780.67                0.00          6749383.04                0.00                0.00                0.00
  35          8414193.37                0.00          6569840.71          2099678.32                0.00                0.00
  36          6649868.93                0.00          5046238.08           513723.20                0.00                0.00
  37          4043772.60                0.00          3232414.20          1583093.60                0.00                0.00
  38           803999.57                0.00           569978.61           797936.83                0.00                0.00
  39                0.00                0.00                0.00          1959782.55                0.00                0.00
  40                0.00                0.00                0.00          1955605.68                0.00                0.00
  41                0.00                0.00                0.00          2839371.06                0.00                0.00
  42          4425068.85                0.00          4174981.26          4672698.73                0.00                0.00
  43          5286002.46                0.00          4314631.70           493582.87                0.00                0.00
  44          7420423.71                0.00          5985958.58          3407702.78                0.00                0.00
  45          8706084.42                0.00          6531184.50                0.00                0.00                0.00
  46         11155396.00                0.00          6640986.76                0.00                0.00                0.00
  47          8995319.21                0.00          3744831.37                0.00                0.00                0.00
  48          6476447.93                0.00          3026492.83           453142.72                0.00                0.00
  49          2560055.39                0.00          2090665.09            63426.25                0.00                0.00
  50           726697.39                0.00           688896.01          2606718.64                0.00                0.00
  51                0.00                0.00                0.00          1958981.07                0.00                0.00
  52                0.00                0.00                0.00          1374331.86                0.00                0.00
  53                0.00                0.00                0.00          4529256.93                0.00                0.00
  54          3218231.31                0.00          3050669.44          5323519.64                0.00                0.00
  55          5060929.04                0.00          4797312.47          8228787.90                0.00                0.00
  56          7643300.16                0.00          6835851.11         11000490.86                0.00                0.00
  57          8900256.01                0.00          6957288.29          6814633.80                0.00                0.00
  58          9532065.26                0.00          7367773.34          3869263.49                0.00                0.00
  59          9087585.74                0.00          6748430.23                0.00                0.00                0.00
  60          6277123.19                0.00          4720855.27           137811.48                0.00                0.00
  61          3886287.64                0.00          2934120.30            50741.00                0.00                0.00
  62           942733.71                0.00           632088.39          1401228.00                0.00                0.00
  63                0.00                0.00                0.00          2021492.66                0.00                0.00
  64                0.00                0.00                0.00          2038830.97                0.00                0.00
  65                0.00                0.00                0.00          3549643.75                0.00                0.00
  66          3620511.02                0.00          3431808.68          5797826.12                0.00                0.00
  67          5450230.45                0.00          5061243.52          8305820.87                0.00                0.00
  68          7636411.78                0.00          6518705.95          7224033.19                0.00                0.00
  69          9716605.82                0.00          6907648.99          1922604.14                0.00                0.00
  70         10952380.94                0.00          8159351.00           364735.81                0.00                0.00
  71          9727733.93                0.00          6775796.28           185113.24                0.00                0.00
  72          5954638.13                0.00          3951999.09           915148.52                0.00                0.00
  73          3703955.63                0.00          3185090.60          2868382.43                0.00                0.00
  74           820630.49                0.00           691675.63          2044030.27                0.00                0.00
  75                0.00                0.00                0.00          2053110.27                0.00                0.00
  76                0.00                0.00                0.00          2632805.43                0.00                0.00
  77                0.00                0.00                0.00          2841365.68                0.00                0.00
  78          4022789.14                0.00          3812341.42          6333476.61                0.00                0.00
  79          5450230.45                0.00          4742894.56          6697563.61                0.00                0.00
  80          9120982.30                0.00          6763049.80          3976246.46                0.00                0.00
  81          8722779.65                0.00          6582316.38          1898947.11                0.00                0.00
  82          6286967.26                0.00          4899732.70          1713111.79                0.00                0.00
  83           778509.64                0.00           694329.30           846307.56                0.00                0.00
  84           778604.35                0.00           738107.13          1239486.90                0.00                0.00
  85           402279.71                0.00           381349.72           647783.24                0.00                0.00
  86           181674.71                0.00           172225.34           652712.12                0.00                0.00
  87                0.00                0.00                0.00          1966691.65                0.00                0.00
  88                0.00                0.00                0.00          2085064.98                0.00                0.00
  89                0.00                0.00                0.00          2838354.78                0.00                0.00
  90          3620511.02                0.00          3431913.63          5900486.87                0.00                0.00
  91          5450230.45                0.00          5022140.69          8418849.80                0.00                0.00
  92          6034184.51                0.00          5508525.19          8863563.37                0.00                0.00
  93          9316232.82                0.00          7679729.89          8040545.91                0.00                0.00
  94         11171070.71                0.00          8272327.43          1017863.65                0.00                0.00
  95          9724617.65                0.00          7311209.37           135992.37                0.00                0.00
  96          6722451.28                0.00          5241029.61          1590586.18                0.00                0.00
  97          3787586.56                0.00          3215808.85          2981742.15                0.00                0.00
  98           726697.39                0.00           688887.27          2634180.31                0.00                0.00
  99                0.00                0.00                0.00          1969139.67                0.00                0.00
 100                0.00                0.00                0.00          2646595.34                0.00                0.00
 101                0.00                0.00                0.00          4594676.68                0.00                0.00
 102          3218231.31                0.00          3050299.71          5060186.30                0.00                0.00
 103          5450230.45                0.00          4750685.95          5857967.35                0.00                0.00
 104          7958718.26                0.00          5856173.24          2582252.45                0.00                0.00
 105          8895850.74                0.00          6531661.01                0.00                0.00                0.00
 106         10435693.08                0.00          7829284.24                0.00                0.00                0.00
 107          8668021.79                0.00          6560910.28           497891.39                0.00                0.00
 108          6854267.95                0.00          5188807.83                0.00                0.00                0.00
 109          3527411.12                0.00          3393775.56          1275954.77                0.00                0.00
 110           908372.10                0.00           861053.94          3205218.15                0.00                0.00
 111                0.00                0.00                0.00          1958713.42                0.00                0.00
 112                0.00                0.00                0.00          2040096.46                0.00                0.00
 113                0.00                0.00                0.00          3606009.13                0.00                0.00
 114          2413673.49                0.00          2287899.60          3891274.17                0.00                0.00
 115          5839533.39                0.00          5519940.09          9381042.10                0.00                0.00
 116          7635449.46                0.00          6400435.30          8116761.59                0.00                0.00
 117          4243630.99                0.00          3045571.03          1033792.31                0.00                0.00
 118          8942742.93                0.00          6773881.47          1719674.77                0.00                0.00
 119          9006130.37                0.00          6567987.46           155154.16                0.00                0.00
 120          6275056.93                0.00          3915644.83           391738.21                0.00                0.00
 121          3746250.50                0.00          3271559.40          3285682.44                0.00                0.00
 122           726697.39                0.00           688803.12          2304255.60                0.00                0.00
 123                0.00                0.00                0.00          1948700.15                0.00                0.00
 124                0.00                0.00                0.00          2608607.55                0.00                0.00
 125                0.00                0.00                0.00          2620235.74                0.00                0.00
 126          4022789.14                0.00          3812526.67          4775795.16                0.00                0.00
 127          5060929.04                0.00          4485183.20          2128526.00                0.00                0.00
 128          8788415.27                0.00          6773475.06           973786.83                0.00                0.00
 129          9068199.37                0.00          6824286.52           218664.36                0.00                0.00
 130         10503417.82                0.00          5801113.42          1040196.51                0.00                0.00
 131          9706391.82                0.00          3955927.92                0.00                0.00                0.00
 132          6215683.49                0.00          3255305.03          1078510.47                0.00                0.00
 133          2806752.30                0.00          2204024.75           573596.75                0.00                0.00
 134           567326.38                0.00           454269.82          2226951.65                0.00                0.00
 135                0.00                0.00                0.00          2042560.00                0.00                0.00
 136                0.00                0.00                0.00          2669077.00                0.00                0.00
 137                0.00                0.00                0.00          3670727.41                0.00                0.00
 138          4827346.97                0.00          4510237.60          7559068.66                0.00                0.00
 139          5450206.02                0.00          4546650.19          6295987.46                0.00                0.00
 140          7193779.69                0.00          5589874.94          5384322.91                0.00                0.00
 141          8355305.99                0.00          6052377.66           494707.72                0.00                0.00
 142          9741348.25                0.00          7351936.57           399711.47                0.00                0.00
 143          9356137.99                0.00          5737927.62                0.00                0.00                0.00
 144          6895802.28                0.00          3525632.17           304848.65                0.00                0.00
 145          3345419.41                0.00          2152952.46                0.00                0.00                0.00
 146           730189.20                0.00           619328.24          2504913.43                0.00                0.00
 147                0.00                0.00                0.00          2031000.40                0.00                0.00
