"kstp","kper","storage_in","constant_head_in","wells_in","drno_drains_in","recharge_in","et_segments_in","stream_leakage_in","total_in","storage_out","constant_head_out","wells_out","drno_drains_out","recharge_out","et_segments_out","stream_leakage_out","total_out","difference","discrepancy"
31,1,11018832,0,2284088.75,0,204455.6875,0,14421895,27929272,6859700.5,0,0,181545.4219,0,1089327.125,19812362,27942936,-13664,-0.05
30,2,3630373,0,2210408.75,0,341231.25,0,15717595,21899608,3703081.5,0,0,228690.7343,0,106422.75,17865090,21903284,-3676,0.02
31,3,12895231,0,4568184.25,0,416956.8125,0,32667261,50547632,9546078.5,0,0,424435.1407,0,1103393,39492294,50566204,-18572,-0.05
31,4,4942873,0,4494499.75,0,590366.625,0,37166659,47194400,6733095.5,0,0,438881.2343,0,270618.375,39762562,47205156,-10756,0.02
28,5,14544075,0,6631224.25,0,700180.25,0,55556821,77432296,13561722.5,0,0,582071.7657,0,1479966.25,61860742,77484508,-52212,-0.07
31,6,7066151,0,6778579.75,0,1540800,0,65473859,80859400,11973067.5,0,0,648028.3593,0,343247,67993538,80957876,-98476,-0.03
30,7,15674445,0,9869004.25,0,1020550.25,0,80727869,107291864,15416174.5,0,0,693341.8907,0,2754169.5,88506926,107370620,-78756,-0.06
31,8,7992809,0,10124285.75,0,1795240.25,0,95657219,115569560,15173673.5,0,0,744453.3593,0,2501415.5,97240482,115660020,-90460,-0.02
30,9,21302215,0,10382784.25,0,1289537.75,0,105210925,138185448,15681028.5,0,0,749435.1407,0,6832873.5,115125150,138388492,-203044,-0.1
31,10,15795117,0,10655191.75,0,1991873.25,0,112336291,140778488,15247647.5,0,0,773064.2343,0,8193669.5,116669730,140884116,-105628,-0.01
31,11,27164203,0,10382784.25,0,1341393,0,117634141,156522504,15710622.5,0,0,774418.8907,0,11530518.5,128714974,156730540,-208036,-0.1
30,12,19709373,0,10655191.75,0,2005065.75,0,123190195,155559832,15380645.5,0,0,803904.4843,0,11493391.5,127987874,155665812,-105980,-1.38777878078145e-17
31,13,28992235,0,12666864.25,0,1524099.25,0,129740957,172924136,17709338.5,0,0,843690.8907,0,13148302.5,141433822,173135148,-211012,-0.1
30,14,20510225,0,12865591.75,0,2829606.75,0,137264963,173470392,19119021.5,0,0,941500.8593,0,11689047.5,141832162,173581748,-111356,0.01
