Stress_Period,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Runoff,Storage,Error
1,4066513,0,0,-8408199,-258169,0,4599855,0
2,5971931,0,0,-6361281,-445641,0,834990,0
3,3847915,0,0,-4341955,-274099,0,768138,0
4,4629442,0,0,-4722397,-317629,0,410583,0
5,4771590,0,0,-5269294,-371420,0,869124,0
6,16933489,0,0,-15847257,-1219621,0,133389,0
7,6318744,0,0,-8359051,-399270,0,2439577,0
8,5365874,0,0,-6418841,-309402,0,1362369,0
9,5838298,0,0,-5760662,-323164,0,245529,0
10,4285536,0,0,-4049441,-235758,0,-337,0
11,1465048,0,0,-1410142,-54802,0,-104,0
12,372378,0,0,-358423,-13938,0,-18,0
13,3438474,0,0,-3207573,-230858,0,-44,0
14,13615465,0,0,-4450731,-1079532,0,-8085202,0
15,10055835,0,0,-4418107,-867242,0,-4770486,0
16,9275055,0,0,-5921165,-781228,0,-2572661,0
17,662721,0,0,-8191434,-29316,0,7558030,0
18,7735621,0,0,-14658380,-504268,0,7427027,0
19,6684325,0,0,-6491548,-404351,0,211574,0
20,2337380,0,0,-2476768,-92329,0,231717,0
21,12947687,0,0,-12255922,-651257,0,-40508,0
22,1389836,0,0,-1378256,-52087,0,40508,0
23,0,0,0,0,0,0,0,0
24,858482,0,0,-826308,-32174,0,0,0
25,12384493,0,0,-7344038,-872908,0,-4167547,0
26,5827405,0,0,-7133576,-426606,0,1732776,0
27,22447534,0,0,-4482776,-2009868,0,-15954891,0
28,26584368,0,0,-4485480,-8288643,0,-13810245,0
29,874791,0,0,-6604250,-43891,0,5773349,0
30,9874164,0,0,-14777166,-623297,0,5526300,0
31,9819852,0,0,-18130976,-633566,0,8944690,0
32,19484765,0,0,-21368855,-1329079,0,3213169,0
33,4549767,0,0,-13015416,-276751,0,8742399,0
34,0,0,0,0,0,0,0,0
35,4894143,0,0,-4641290,-252853,0,0,0
36,1182363,0,0,-1127750,-54613,0,0,0
37,3719191,0,0,-3514552,-204639,0,0,0
38,3452041,0,0,-1753849,-228754,0,-1469438,0
39,12999486,0,0,-4447446,-1087432,0,-7464608,0
40,10455993,0,0,-4443287,-890768,0,-5121937,0
41,265088,0,0,-6584036,-9935,0,6328883,0
42,3216089,0,0,-10776721,-166468,0,7727100,0
43,1114022,0,0,-1072119,-41903,0,0,0
44,7945150,0,0,-7533733,-411417,0,0,0
45,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0
48,1028069,0,0,-987042,-41027,0,0,0
49,143110,0,0,-137746,-5363,0,0,0
50,19999844,0,0,-5816690,-1622244,0,-12560909,0
51,9471551,0,0,-4446683,-824863,0,-4200005,0
52,54559077,0,0,-3032817,-26960102,0,-24566158,0
53,304852,0,0,-10520740,-11425,0,10227313,0
54,29760083,0,0,-11957314,-10534142,0,-7268626,0
55,13849492,0,0,-18660710,-858225,0,5669443,0
56,9268192,0,0,-26428053,-517069,0,17676929,0
57,6965293,0,0,-20126628,-363174,0,13524509,0
58,8377836,0,0,-9361212,-514128,0,1497504,0
59,0,0,0,0,0,0,0,0
60,310946,0,0,-299293,-11653,0,0,0
61,114488,0,0,-110197,-4291,0,0,0
62,3265349,0,0,-3096384,-167893,0,-1072,0
63,47733147,0,0,-4509210,-10030216,0,-33193721,0
64,43721917,0,0,-4526548,-31015566,0,-8179803,0
65,2920790,0,0,-8203780,-220607,0,5503598,0
66,6807206,0,0,-13260380,-412383,0,6865556,0
67,9849335,0,0,-19408504,-615653,0,10174822,0
68,7416498,0,0,-20214813,-357051,0,13155366,0
69,1032528,0,0,-6669085,-38696,0,5675254,0
70,822959,0,0,-792116,-30842,0,0,0
71,417674,0,0,-402020,-15653,0,0,0
72,2171415,0,0,-2042806,-128609,0,0,0
73,7737014,0,0,-6416152,-495212,0,-825649,0
74,23920798,0,0,-4569049,-2106907,0,-17244842,0
75,51307607,0,0,-4540834,-23589023,0,-23177750,0
76,28758681,0,0,-5949681,-22682645,0,-126355,0
77,371124,0,0,-6586071,-19652,0,6234600,0
78,5305488,0,0,-14624381,-326440,0,9645333,0
79,4437458,0,0,-17267123,-241517,0,13071182,0
80,1399788,0,0,-13726294,-52460,0,12378966,0
81,7069693,0,0,-4155148,-427717,0,-2486829,0
82,2125851,0,0,-3884858,-116064,0,1875070,0
83,6603800,0,0,-1942765,-566065,0,-4094970,0
84,3581591,0,0,-2844412,-290890,0,-446288,0
85,8211587,0,0,-1477020,-722999,0,-6011569,0
86,13108212,0,0,-1455207,-1516028,0,-10136977,0
87,6196957,0,0,-4454402,-799418,0,-943137,0
88,31266384,0,0,-4572791,-11858267,0,-14835327,0
