               Stress_Period  Alfalfa_Irrigated             Grain_Irrigated               Pasture_Irrigated             Native_Vegetation             Urban_Barren                  Water                         
   1                0.00                0.00                0.00          8408198.69                0.00                0.00
   2                0.00                0.00                0.00          6361280.78                0.00                0.00
   3                0.00                0.00                0.00          4341954.62                0.00                0.00
   4                0.00                0.00                0.00          4722396.94                0.00                0.00
   5                0.00                0.00                0.00          5269294.18                0.00                0.00
   6                0.00                0.00                0.00         15847256.77                0.00                0.00
   7                0.00                0.00                0.00          8359050.84                0.00                0.00
   8                0.00                0.00                0.00          6418841.05                0.00                0.00
   9                0.00                0.00                0.00          5760661.79                0.00                0.00
  10                0.00                0.00                0.00          4049441.06                0.00                0.00
  11                0.00                0.00                0.00          1410142.31                0.00                0.00
  12                0.00                0.00                0.00           358422.58                0.00                0.00
  13                0.00                0.00                0.00          3207572.97                0.00                0.00
  14                0.00                0.00                0.00          4450731.07                0.00                0.00
  15                0.00                0.00                0.00          4418107.30                0.00                0.00
  16                0.00                0.00                0.00          5921165.49                0.00                0.00
  17                0.00                0.00                0.00          8191433.85                0.00                0.00
  18                0.00                0.00                0.00         14658380.43                0.00                0.00
  19                0.00                0.00                0.00          6491547.66                0.00                0.00
  20                0.00                0.00                0.00          2476767.88                0.00                0.00
  21                0.00                0.00                0.00         12255921.92                0.00                0.00
  22                0.00                0.00                0.00          1378256.29                0.00                0.00
  23                0.00                0.00                0.00                0.00                0.00                0.00
  24                0.00                0.00                0.00           826308.02                0.00                0.00
  25                0.00                0.00                0.00          7344038.26                0.00                0.00
  26                0.00                0.00                0.00          7133575.76                0.00                0.00
  27                0.00                0.00                0.00          4482775.80                0.00                0.00
  28                0.00                0.00                0.00          4485479.54                0.00                0.00
  29                0.00                0.00                0.00          6604249.73                0.00                0.00
  30                0.00                0.00                0.00         14777166.15                0.00                0.00
  31                0.00                0.00                0.00         18130976.02                0.00                0.00
  32                0.00                0.00                0.00         21368855.24                0.00                0.00
  33                0.00                0.00                0.00         13015415.63                0.00                0.00
  34                0.00                0.00                0.00                0.00                0.00                0.00
