"kstp","kper","storage_in","constant_head_in","wells_in","drno_drains_in","recharge_in","et_segments_in","stream_leakage_in","total_in","storage_out","constant_head_out","wells_out","drno_drains_out","recharge_out","et_segments_out","stream_leakage_out","total_out","difference","discrepancy"
31,1,10991531,0,2284088.75,0,218138.625,0,12955619,26449378,6083972,0,359456,302259.8438,0,156288.6562,19564102,26466078,-16700,-0.06
30,2,3818660,0,2210408.75,0,355426.9375,0,15494977,21879470,3948193,0,0,260371.3437,0,16982.5313,17657426,21882974,-3504,0.02
31,3,12983060,0,4568184.25,0,446037.0625,0,30756143,48753426,9199170,0,359456,556068.8438,0,156357.6718,38503070,48774122,-20696,-0.05
31,4,5116074,0,4494499.75,0,649706.0625,0,36955937,47216214,7278000,0,0,494513.0312,0,17107.8126,39430514,47220134,-3920,0.02
28,5,14528724,0,6631224.25,0,885178.5625,0,53631903,75677034,13412820,0,359456,758618.5938,0,156615.7968,61044334,75731850,-54816,-0.07
31,6,7034756,0,6778579.75,0,3133642.1875,0,65149041,82096022,13222828,0,169584.4375,723497.7812,0,17561.297,68079330,82212790,-116768,-0.04
30,7,16485640,0,9869004.25,0,1223987.3125,0,78482255,106060874,15025070,0,2435476.5625,990095.0938,0,158002.5468,87526606,106135258,-74384,-0.06
31,8,8542132,0,10124285.75,0,3414874.1875,0,94758609,116839910,15986042,0,3655292.9375,968446.2812,0,48415.9376,96315218,116973414,-133504,-0.03
30,9,23144762,0,10382784.25,0,1888802.3125,0,101709231,137125562,15256820,0,7768648.0625,1221317.4688,0,263012.1562,112760590,137270394,-144832,-0.08
31,10,19798950,0,10655191.75,0,4750974.1875,0,105803985,141009126,16102326,0,12308865.9375,1180473.5312,0,175927.7188,111382690,141150278,-141152,-0.02
31,11,32043426,0,10382784.25,0,2578676.3125,0,110610783,155615642,15283120,0,16037460.0625,1270037.4688,0,524821.4687,122680622,155796058,-180416,-0.09
30,12,24359050,0,10655191.75,0,5195364.1875,0,113723169,153932806,18203794,0,13854619.9375,1211924.7812,0,389251.3438,120407954,154067558,-134752,-0.01
31,13,34601990,0,12666864.25,0,2906144.8125,0,119451615,169626586,18363030,0,16397058.0625,1365726.9688,0,607161.2187,133076702,169809658,-183072,-0.09
30,14,25596898,0,12865591.75,0,6618531.1875,0,126181329,171262374,23158426,0,13854619.9375,1357708.5312,0,402281.3438,132628754,171401798,-139424,1.38777878078145e-17
31,15,35152370,0,14950944.25,0,5643661.8125,0,140829167,196576122,28124654,0,16397058.0625,1541517.7188,0,607226.9687,150096782,196767226,-191104,-0.09
31,16,25715506,0,15149671.75,0,9648068.1875,0,148094449,198607718,28345358,0,13854619.9375,1546005.2812,0,402401.2813,154595410,198743814,-136096,0.01
29,17,35910798,0,17087664.25,0,5756500.8125,0,168197455,226952410,34362442,0,16397058.0625,1729279.9688,0,607538.7812,174093550,227189850,-237440,-0.1
31,18,27073210,0,17433751.75,0,10294480.1875,0,176484177,231285638,30710042,0,14319089.9375,1760515.2812,0,402902.0938,184303314,231495878,-210240,0
30,19,38592066,0,20325504.25,0,6114400.8125,0,201862703,266894650,39433150,0,19888158.0625,1948444.9688,0,622231.6562,205327278,267219258,-324608,-0.11
31,20,32594294,0,20779519.75,0,10442505.1875,0,202688625,266504966,31298266,0,19840717.9375,1986171.5312,0,515199.3438,213194450,266834822,-329856,-0.01
30,21,46884450,0,20839224.25,0,7673804.8125,0,217196431,292593914,39713006,0,25680970.0625,2157498.4688,0,728399.1562,224650254,292930106,-336192,-0.11
31,22,41639214,0,21310363.75,0,11695525.1875,0,213405009,288050118,31373562,0,28613977.9375,2161348.5312,0,629080.4688,225603762,288381766,-331648,0
31,23,57107922,0,20839224.25,0,8453144.8125,0,224635279,311035578,39719950,0,35708650.0625,2170693.4688,0,1038275.4062,232743854,311381370,-345792,-0.11
30,24,45809238,0,21310363.75,0,12181045.1875,0,220091921,299392582,34285306,0,29903521.9375,2184944.0312,0,777173.3438,232571954,299722950,-330368,0
31,25,58913690,0,23123304.25,0,9546452.8125,0,238871279,330454714,47639262,0,35993906.0625,2287007.4688,0,1048609.0312,243836078,330804794,-350080,-0.11
30,26,46774486,0,23520763.75,0,12707125.1875,0,237429329,320431686,40823690,0,29903521.9375,2327247.5312,0,777276.2188,246935538,320767366,-335680,0
31,27,59195378,0,25407384.25,0,16441534.8125,0,262018063,363062394,58674390,0,35993906.0625,2448221.9688,0,1048674.6562,265258414,363423482,-361088,-0.1
31,28,47997110,0,25804843.75,0,30249901.1875,0,266615761,370667590,58780074,0,29903521.9375,2869449.5312,0,777381.2188,278725522,371056070,-388480,0
28,29,62286122,0,27470424.25,0,16766334.8125,0,290982959,397505850,61257278,0,35993906.0625,2775722.4688,0,1048985.6562,296862190,397937978,-432128,-0.11
31,30,51948406,0,28088923.75,0,30789549.1875,0,311520337,422347206,67294258,0,29903521.9375,3376118.0312,0,778335.2188,321391762,422744134,-396928,0.01
30,31,65025226,0,30708264.25,0,17317614.8125,0,327436591,440487738,63064254,0,36031814.0625,3098750.4688,0,1049949.2812,337747694,440992314,-504576,-0.11
31,32,54127702,0,31434691.75,0,32065261.1875,0,356495953,474123590,72507170,0,32197473.9375,3743722.0312,0,805961.2188,365264978,474519430,-395840,0.01
30,33,74549050,0,31221984.25,0,18675414.8125,0,363941935,488388410,63928702,0,42821358.0625,3539462.4688,0,1117868.2812,377589614,488996858,-608448,-0.11
31,34,64373558,0,31965535.75,0,33864997.1875,0,378307729,508511814,72762210,0,39954905.9375,4266917.5312,0,1025566.7188,390958674,508968390,-456576,0
31,35,83090250,0,31221984.25,0,20239054.8125,0,376672943,511224250,63989790,0,49540366.0625,3865439.4688,0,1239391.0312,393205678,511840570,-616320,-0.11
30,36,68516246,0,31965535.75,0,34780837.1875,0,389691217,524953798,74255858,0,41281897.9375,4504220.5312,0,1117366.7188,404253138,525412550,-458752,0.01
