Stress_Period,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Runoff,Storage,Error
1,4066513,1466473,536213,-8990335,-281166,0,3202300,0
2,5971931,0,0,-3298719,-468617,0,-2204595,0
3,3847915,0,0,-938806,-298098,0,-2611011,0
4,4629442,0,0,-1253759,-377552,0,-2998131,0
5,4771590,0,0,-1648374,-594506,0,-2528709,0
6,16933489,24074,229964,-13417398,-2992685,0,-777443,0
7,6318744,1968301,3691532,-13725622,-429837,0,2176883,0
8,5365874,4159134,4949067,-13753854,-391672,0,-328548,0
9,5838298,6433525,7655427,-17053275,-947520,0,-1926455,0
10,4285536,3838983,13356130,-21548445,-1625529,0,1693325,0
11,1465048,1615856,12516200,-15831451,-967896,0,1202242,0
12,372378,1422616,2500889,-10343426,-647457,0,6695000,0
13,3438474,1180792,508703,-7745517,-448471,0,3066018,0
14,13615465,0,0,-2558851,-1895553,0,-9161061,0
15,10055835,0,0,-928990,-3224713,0,-5902132,0
16,9275055,0,0,-1259530,-3498934,0,-4516591,0
17,662721,0,0,-1696718,-148148,0,1182145,0
18,7735621,71212,514691,-12148487,-838664,0,4665627,0
19,6684325,2793028,4960035,-16742640,-451413,0,2756665,0
20,2337380,6666108,7932184,-16739161,-201397,0,4885,0
21,12947687,5289929,8415680,-22523077,-2058102,0,-2072116,0
22,1389836,4343152,13634550,-21013976,-1610377,0,3256816,0
23,0,1105998,15145002,-15994889,-1144040,0,887929,0
24,858482,2590441,2192099,-11833045,-701423,0,6893446,0
25,12384493,1340586,400302,-10470824,-1472522,0,-2182035,0
26,5827405,0,0,-3547771,-707116,0,-1572518,0
27,22447534,0,0,-969415,-7843824,0,-13634296,0
28,26584368,0,0,-971306,-17882809,0,-7730253,0
29,874791,0,0,-1372005,-453936,0,951149,0
30,9874164,0,0,-12212370,-686430,0,3024637,0
31,9819852,34780,43838,-15262043,-707368,0,6070941,0
32,19484765,2939314,3323861,-20704889,-1629239,0,-3413812,0
33,4549767,8222980,9784749,-24968733,-1878239,0,4289475,0
34,0,8805023,11434868,-18829671,-2443416,0,1033196,0
35,4894143,5008659,10062644,-18915902,-1955496,0,905952,0
36,1182363,3877167,1929945,-13728661,-1018400,0,7757587,0
37,3719191,1303206,389140,-9411205,-666706,0,4666374,0
38,3452041,0,0,-2008141,-257189,0,-1186712,0
39,12999486,0,0,-947000,-2203244,0,-9849243,0
40,10455993,0,0,-944765,-4153465,0,-5357762,0
41,265088,0,0,-1358804,-64339,0,1158055,0
42,3216089,126321,764068,-13154804,-189398,0,9237725,0
43,1114022,2888229,5209288,-12596249,-56547,0,3441258,0
44,7945150,6191164,7367035,-18161585,-485276,0,-2856487,0
45,0,7084810,11323886,-17562283,-714774,0,-131639,0
46,0,1612605,17919583,-20004224,-1066193,0,1538228,0
47,0,879077,14637529,-14464360,-1087276,0,35030,0
48,1028069,730558,3041538,-11139653,-760655,0,7100143,0
49,143110,1086692,593365,-5327383,-211933,0,3716150,0
50,19999844,0,0,-2905475,-3440235,0,-13654133,0
51,9471551,0,0,-948141,-3575755,0,-4947655,0
52,54559077,0,0,-673348,-39524740,0,-14360988,0
53,304852,0,0,-2163252,-186552,0,2044953,0
54,29760083,0,0,-9822727,-20218434,0,281079,0
55,13849492,2035,8957,-15375140,-1096350,0,2611005,0
56,9268192,3595369,4267374,-22473946,-1159459,0,6502469,0
57,6965293,7242563,8618124,-22329671,-1284382,0,788074,0
58,8377836,8419061,10018071,-22520116,-3611188,0,-683665,0
59,0,7006166,11766351,-18231665,-2091058,0,1550207,0
60,310946,3833170,1868168,-12709582,-1078806,0,7776103,0
61,114488,1677258,500833,-7670927,-330829,0,5709177,0
62,3265349,0,0,-2637624,-197907,0,-429818,0
63,47733147,0,0,-982520,-21678540,0,-25072087,0
64,43721917,0,0,-993607,-41514898,0,-1213412,0
65,2920790,0,0,-1699827,-1969569,0,748607,0
66,6807206,0,0,-10959422,-521141,0,4673357,0
67,9849335,103136,89785,-16333511,-699003,0,6990258,0
68,7416498,4903159,5646710,-21042032,-459841,0,3535507,0
69,1032528,9297946,10968379,-20359032,-602684,0,-337136,0
70,822959,8755478,13655504,-22303479,-2191531,0,1261069,0
71,417674,3223169,14457660,-18732033,-1359500,0,1993030,0
72,2171415,2783561,1895371,-11989233,-865594,0,6004480,0
73,7737014,1546830,461887,-9417144,-861048,0,532462,0
74,23920798,0,0,-3272398,-6623518,0,-14024882,0
75,51307607,0,0,-1004591,-39052888,0,-11250129,0
76,28758681,0,0,-1272516,-27327201,0,-158964,0
77,371124,0,0,-1357162,-246770,0,1232808,0
78,5305488,0,0,-12105369,-1243679,0,8043560,0
79,4437458,1854390,2148978,-15088798,-277579,0,6925552,0
80,1399788,8386193,9892825,-19757156,-80382,0,158732,0
81,7069693,7886970,9303914,-18948753,-2256612,0,-3055213,0
82,2125851,4864492,7449213,-14294143,-1456938,0,1311526,0
83,6603800,677698,799451,-2309343,-1717136,0,-4054469,0
84,3581591,515610,153962,-2345865,-918405,0,-986892,0
85,8211587,92810,27713,-1216455,-2713992,0,-4401664,0
86,13108212,0,0,-726371,-9330476,0,-3051365,0
87,6196957,0,0,-955107,-4754107,0,-487743,0
88,31266384,0,0,-1028999,-28893407,0,-1343978,0
89,212071,0,0,-1359587,-132143,0,1279660,0
90,16716671,0,0,-10995137,-6035690,0,314157,0
91,3540706,154557,124918,-16179423,-176077,0,12535318,0
92,18341374,2526872,2898389,-17979934,-1321885,0,-4464816,0
93,9645572,7622041,8991388,-25498280,-2042275,0,1281553,0
94,2344699,10933140,12897347,-23972488,-3241507,0,1038811,0
95,306842,7796899,12447389,-19743161,-2317021,0,1509053,0
96,3763795,4085940,1799579,-15035464,-1551503,0,6937654,0
97,7519426,1274556,380585,-9919706,-1110106,0,1855245,0
98,43554971,0,0,-2922414,-19135571,0,-21496986,0
99,6587372,0,0,-955004,-5463992,0,-168376,0
100,24986579,0,0,-1282156,-22968605,0,-735817,0
101,2465321,0,0,-2207569,-1626272,0,1368520,0
102,4949309,0,0,-9692764,-882428,0,5625882,0
103,856278,1767366,1929061,-14493275,-32120,0,9972690,0
104,284198,7525740,8877786,-16735336,-15113,0,62725,0
105,0,9190264,10841352,-17761771,-1250329,0,-1019516,0
106,0,10039991,13193399,-21053297,-2447437,0,267345,0
107,1123400,5962900,11064929,-17939614,-1621574,0,1409959,0
108,0,4328883,2093106,-13447413,-1071110,0,8096535,0
109,6013542,1856195,554264,-8531562,-858106,0,965667,0
110,17795032,0,0,-3597757,-4187034,0,-10010240,0
111,5312665,0,0,-947745,-2329737,0,-2035184,0
112,35180875,0,0,-995316,-21356633,0,-12828926,0
113,3489610,0,0,-1746659,-1651625,0,-91326,0
114,9232849,0,0,-7316019,-4962370,0,3045540,0
115,14482354,20366,28999,-17662898,-1864035,0,4995214,0
116,2587126,4754760,5512455,-20171252,-117928,0,7434839,0
117,2008985,3908926,4611189,-9556745,-200088,0,-772266,0
118,3989482,6943920,10147060,-19566787,-1245832,0,-267844,0
119,350077,2172911,13792600,-17712569,-1035386,0,2432368,0
120,883885,2471380,2231057,-11896036,-682325,0,6992039,0
121,11398943,1283393,383224,-10285865,-1316078,0,-1463618,0
122,3806065,0,0,-2851497,-335052,0,-619516,0
123,5284851,0,0,-942031,-968785,0,-3374035,0
124,6741824,0,0,-1266736,-1344156,0,-4130932,0
125,3750330,0,0,-1471668,-719891,0,-1558772,0
126,11768463,87368,505977,-12142344,-3010401,0,2790937,0
127,4996716,2389142,4173798,-14633640,-320308,0,3394291,0
128,2210440,8606680,10057003,-19421535,-243576,0,-1209013,0
129,493376,4166396,12758179,-18478703,-1087973,0,2148726,0
130,2408668,1120078,15986475,-19098922,-1325418,0,909119,0
131,0,845388,15637497,-15544406,-1170535,0,232057,0
132,2585536,692418,3019343,-11635184,-998931,0,6336818,0
133,1313505,674499,797557,-6092768,-285839,0,3593047,0
134,30908691,0,0,-2321385,-8591486,0,-19995820,0
135,24642115,0,0,-1003076,-15195199,0,-8443841,0
136,18780782,0,0,-1298562,-13973582,0,-3508639,0
137,12265877,0,0,-1832329,-9889357,0,-544191,0
138,2518332,1572,6239,-14415489,-125560,0,12014905,0
139,8206100,2318197,2847339,-14221672,-631616,0,1481653,0
140,1522817,6519087,7617627,-17652001,-95961,0,2088432,0
141,585936,8307540,9707453,-16877588,-1287379,0,-435962,0
142,901875,5221703,13216955,-20012329,-1568807,0,2240603,0
143,0,1794549,14607883,-16946197,-1143078,0,1686843,0
144,687834,1274771,3080315,-11963690,-777764,0,7698535,0
145,0,1206867,570413,-6259171,-210791,0,4692681,0
146,21522996,0,0,-2763140,-4644339,0,-14115517,0
147,72561527,0,0,-995178,-53976145,0,-17590204,0
148,17614457,0,0,-1309927,-16196455,0,-108076,0
149,25944796,0,0,-4311730,-21592592,0,-40474,0
150,18665194,0,0,-14681373,-6313942,0,2330120,0
151,17230283,20,333,-13016513,-2996999,0,-1217124,0
152,1577937,4190166,4902014,-22481317,-59259,0,11870459,0
153,0,10293095,12027597,-21853015,-1333714,0,866036,0
154,7023777,8931145,12867223,-25872219,-3304069,0,354143,0
155,14685089,6048143,10131996,-23717530,-4878632,0,-2269066,0
156,419339,3754117,1981244,-13182379,-1171858,0,8199536,0
157,0,1523759,576701,-8019962,-349402,0,6268904,0
158,11148719,0,0,-3516447,-877336,0,-6754936,0
159,20201948,0,0,-991595,-7509427,0,-11700926,0
160,16317429,0,0,-1643776,-8407997,0,-6265656,0
161,51095885,0,0,-2590569,-46935716,0,-1569600,0
162,6989847,0,0,-10907447,-1980093,0,5897693,0
163,3278967,1837142,2000920,-17651110,-178911,0,10712993,0
164,5193901,6164788,7175164,-18454992,-301352,0,222491,0
165,866227,9336464,10866661,-19236229,-1109028,0,-724096,0
166,794738,6736217,15033128,-22902899,-1941587,0,2280404,0
167,1046969,1735297,14201758,-17603983,-1112720,0,1732680,0
168,0,1650530,2821199,-11107029,-721387,0,7356687,0
169,15772076,1451408,432817,-9668189,-2582728,0,-5405384,0
170,5996809,0,0,-3575052,-506834,0,-1914923,0
171,27706885,0,0,-1577757,-11996875,0,-14132253,0
172,9753292,0,0,-1278669,-5721630,0,-2752993,0
173,71742025,0,0,-1880178,-66476728,0,-3385119,0
174,4920519,0,0,-13334340,-344876,0,8758697,0
175,5797288,1449261,1553899,-14617614,-380710,0,6197877,0
176,14136028,4848069,5635213,-19723693,-1107037,0,-3788580,0
177,1678262,6940260,8067097,-17281640,-1471787,0,2067806,0
178,1780889,7985214,12349721,-21116200,-2348598,0,1348974,0
179,0,2846691,15118305,-19611439,-1339682,0,2986124,0
180,0,1785391,2401859,-10501284,-617003,0,6931037,0
181,1364229,1165672,475534,-6957376,-258591,0,4210531,0
182,25522480,0,0,-2867674,-6016191,0,-16638615,0
183,64441128,0,0,-977831,-51470339,0,-11992958,0
184,33588155,0,0,-1020030,-32487217,0,-80909,0
185,10428971,0,0,-1713427,-9112995,0,397452,0
186,11863470,0,0,-7364252,-4101711,0,-397508,0
187,6441019,2290,11067,-14172738,-456255,0,8174617,0
188,3469312,3904672,4335932,-20641425,-163347,0,9094856,0
189,1106884,8885476,10253381,-19684890,-206694,0,-354158,0
190,0,8488402,13602647,-21966518,-1790170,0,1665640,0
191,2919419,4422542,10962988,-17757175,-1390196,0,842422,0
192,0,3306793,1901473,-11306984,-681785,0,6780504,0
193,489010,1218292,444098,-6161317,-260153,0,4270069,0
194,19743731,0,0,-2826639,-3731012,0,-13186081,0
195,27559644,0,0,-961991,-15007481,0,-11590172,0
196,8608706,0,0,-924736,-5761394,0,-1922575,0
197,19840463,0,0,-1479918,-15110295,0,-3250249,0
198,1317238,528,2399,-12042372,-51076,0,10773284,0
199,841260,2681716,3138735,-13935144,-31589,0,7305022,0
200,2972570,7269427,8388543,-18262424,-157506,0,-210610,0
201,270306,7237889,10351244,-17099679,-676313,0,-83447,0
202,1390857,3288665,13817551,-19631028,-1170565,0,2304520,0
203,254192,1530560,13279983,-15019438,-828640,0,783343,0
204,277148,1164084,2394413,-9363563,-594683,0,6122600,0
205,16379621,918571,273270,-9459664,-2612499,0,-5499299,0
206,4312158,0,0,-3537589,-332948,0,-441621,0
207,15218881,0,0,-963736,-4713222,0,-9541922,0
208,28590677,0,0,-992828,-17400672,0,-10197176,0
209,31484755,0,0,-1887985,-27928786,0,-1667984,0
210,2675321,0,0,-9729324,-131137,0,7185140,0
211,1972196,1649646,1768844,-14130093,-139985,0,8879392,0
212,5722405,6155866,7082512,-18263964,-360846,0,-335973,0
213,775659,8555568,9843442,-18264672,-1155587,0,245590,0
214,0,6951306,12512003,-19587888,-1743805,0,1868385,0
215,0,2082766,12931107,-16281349,-931049,0,2198525,0
216,0,1485818,2649645,-10802977,-628009,0,7295523,0
217,2609839,1314052,408465,-6718016,-356227,0,2741888,0
218,10487240,0,0,-3578941,-1047384,0,-5860915,0
219,7545058,0,0,-962176,-1450481,0,-5132401,0
220,5740828,0,0,-1251987,-1480416,0,-3008425,0
221,21909486,0,0,-1478031,-10019823,0,-10411632,0
222,8183859,12861,79489,-9729768,-2843362,0,4296921,0
223,1156192,2896539,4205934,-15279204,-79982,0,7100522,0
224,13803202,6414940,7380584,-22181211,-2312134,0,-3105380,0
225,10785656,6644787,7645030,-21771141,-3325962,0,21630,0
226,0,3575540,14570773,-20305291,-1652689,0,3811668,0
227,1037759,1573442,12803254,-15558275,-994594,0,1138414,0
228,202791,1268276,2936179,-11252284,-665653,0,7510691,0
229,8602192,1154394,384426,-9991220,-1567488,0,1417696,0
230,8556114,0,0,-3473265,-642753,0,-4440096,0
231,7281414,0,0,-965679,-1116661,0,-5199074,0
232,25942097,0,0,-999744,-11617677,0,-13324676,0
233,17659970,0,0,-1767951,-12703432,0,-3188587,0
234,9075931,0,0,-10994043,-1712121,0,3630233,0
235,15729640,13808,29286,-14179304,-2499995,0,906566,0
236,4222122,2772221,3217483,-18773035,-195616,0,8756825,0
237,2422703,7571728,8711504,-19704752,-234498,0,1233315,0
238,1426371,9854350,11785981,-21102928,-2382492,0,418718,0
239,0,3966312,11967479,-17397242,-1214965,0,2678416,0
240,4380400,2724826,1925380,-14166404,-1121519,0,6257317,0
241,30436565,1505177,447623,-8460402,-9740029,0,-14188934,0
242,8512003,0,0,-2866141,-2853442,0,-2792419,0
243,29362397,0,0,-1000220,-21486761,0,-6875415,0
244,5626776,0,0,-1242869,-4295270,0,-88638,0
245,11230782,0,0,-1422047,-8816937,0,-991798,0
246,26458534,0,0,-8650829,-17782871,0,-24834,0
247,3121613,31127,39078,-12882103,-156252,0,9846537,0
248,10159962,2762788,3005042,-16707502,-729016,0,1508726,0
249,7058115,6460243,7414808,-21046876,-750951,0,864662,0
250,2026901,7452235,8553377,-17584480,-1870618,0,1422586,0
251,953280,6017811,9096284,-15781057,-1598323,0,1312006,0
252,275050,3668706,2356600,-14805306,-1112667,0,9617617,0
253,6515048,814759,242833,-8630584,-1096165,0,2154108,0
254,5373219,0,0,-2687369,-410555,0,-2275295,0
255,4368965,0,0,-1020726,-364323,0,-2983916,0
