               Stress_Period  Alfalfa_Irrigated             Grain_Irrigated               Pasture_Irrigated             Native_Vegetation             Urban_Barren                  Water                         
   1          3999332.35                0.00          2810931.80          1781337.02                0.00                0.00
   2           875472.89                0.00           685203.00          1870932.09                0.00                0.00
   3                0.00                0.00                0.00          1169181.96                0.00                0.00
   4                0.00                0.00                0.00          1560926.22                0.00                0.00
   5                0.00                0.00                0.00          2064536.40                0.00                0.00
   6          4425068.85                0.00          4193935.87          4312685.16                0.00                0.00
   7          4671626.10                0.00          4205048.44          4398786.53                0.00                0.00
   8          5035323.30                0.00          4208060.04          4007371.51                0.00                0.00
   9          7129022.92                0.00          5656268.61          3030223.06                0.00                0.00
  10          9836486.97                0.00          7600844.67          1822078.25                0.00                0.00
  11          8317777.21                0.00          5247996.15           644577.95                0.00                0.00
  12          5928321.94                0.00          3154677.67           165038.30                0.00                0.00
  13          3586868.21                0.00          2585124.69           896294.15                0.00                0.00
  14           659674.79                0.00           485383.05          1540807.27                0.00                0.00
  15                0.00                0.00                0.00          1159365.60                0.00                0.00
  16                0.00                0.00                0.00          1566697.10                0.00                0.00
  17                0.00                0.00                0.00          2127742.63                0.00                0.00
  18          4022789.14                0.00          3812853.66          3871290.96                0.00                0.00
  19          5839533.39                0.00          5222492.28          5095221.89                0.00                0.00
  20          7174816.48                0.00          5684649.70          2727151.72                0.00                0.00
  21          9064903.97                0.00          7473629.85          4238039.37                0.00                0.00
  22          9760300.00                0.00          7391154.05          1831126.48                0.00                0.00
  23          9356137.99                0.00          4909302.86                0.00                0.00                0.00
  24          6289626.11                0.00          3878506.27           365197.89                0.00                0.00
  25          3812661.71                0.00          3268022.63          2856842.10                0.00                0.00
  26           908372.10                0.00           861009.09          1876857.20                0.00                0.00
  27                0.00                0.00                0.00          1199790.39                0.00                0.00
  28                0.00                0.00                0.00          1201682.08                0.00                0.00
  29                0.00                0.00                0.00          1718806.50                0.00                0.00
  30          4022789.14                0.00          3813168.74          3934859.39                0.00                0.00
  31          5060929.04                0.00          4762192.61          4887874.16                0.00                0.00
  32          7241020.46                0.00          6358039.42          6415847.56                0.00                0.00
  33          9302394.14                0.00          7584569.50          7190718.09                0.00                0.00
  34          9082780.67                0.00          6749383.04          1050491.26                0.00                0.00
  35          8414193.37                0.00          6569840.71          2042407.68                0.00                0.00
  36          6649868.93                0.00          5046238.08           493926.35                0.00                0.00
  37          4043772.60                0.00          3232414.20          1545358.77                0.00                0.00
  38           803999.57                0.00           569978.61           650458.19                0.00                0.00
  39                0.00                0.00                0.00          1177375.19                0.00                0.00
  40                0.00                0.00                0.00          1175140.99                0.00                0.00
  41                0.00                0.00                0.00          1705605.82                0.00                0.00
  42          4425068.85                0.00          4174981.26          4063738.72                0.00                0.00
  43          5286002.46                0.00          4314631.70          2192518.96                0.00                0.00
  44          7420423.71                0.00          5985958.58          3338479.62                0.00                0.00
  45          8706084.42                0.00          6531184.50                0.00                0.00                0.00
  46         11155396.00                0.00          6640986.76                0.00                0.00                0.00
  47          8995319.21                0.00          3744831.37                0.00                0.00                0.00
  48          6476447.93                0.00          3026492.83           433345.88                0.00                0.00
  49          2560055.39                0.00          2090665.09            63426.25                0.00                0.00
  50           726697.39                0.00           688896.01          1568655.53                0.00                0.00
  51                0.00                0.00                0.00          1178516.38                0.00                0.00
  52                0.00                0.00                0.00           826931.99                0.00                0.00
  53                0.00                0.00                0.00          2718135.23                0.00                0.00
  54          3218231.31                0.00          3050669.44          3200583.81                0.00                0.00
  55          5060929.04                0.00          4797312.47          4961395.91                0.00                0.00
  56          7643300.16                0.00          6835851.11          7267434.96                0.00                0.00
  57          8900256.01                0.00          6957288.29          5545109.88                0.00                0.00
  58          9532065.26                0.00          7367773.34          3989901.10                0.00                0.00
  59          9087585.74                0.00          6748430.23                0.00                0.00                0.00
  60          6277123.19                0.00          4720855.27           137811.48                0.00                0.00
  61          3886287.64                0.00          2934120.30            50741.00                0.00                0.00
  62           942733.71                0.00           632088.39          1077370.00                0.00                0.00
  63                0.00                0.00                0.00          1212895.59                0.00                0.00
  64                0.00                0.00                0.00          1223982.27                0.00                0.00
  65                0.00                0.00                0.00          2130852.36                0.00                0.00
  66          3620511.02                0.00          3431808.68          3509704.81                0.00                0.00
  67          5450230.45                0.00          5061243.52          5250324.95                0.00                0.00
  68          7636411.78                0.00          6518705.95          6161734.05                0.00                0.00
  69          9716605.82                0.00          6907648.99          1995309.38                0.00                0.00
  70         10952380.94                0.00          8159351.00           364735.81                0.00                0.00
  71          9727733.93                0.00          6775796.28           185113.24                0.00                0.00
  72          5954638.13                0.00          3951999.09           897435.55                0.00                0.00
  73          3703955.63                0.00          3185090.60          1821607.72                0.00                0.00
  74           820630.49                0.00           691675.63          1904881.84                0.00                0.00
  75                0.00                0.00                0.00          1234966.22                0.00                0.00
  76                0.00                0.00                0.00          1579683.26                0.00                0.00
  77                0.00                0.00                0.00          1703963.99                0.00                0.00
  78          4022789.14                0.00          3812341.42          3828685.41                0.00                0.00
  79          5450230.45                0.00          4742894.56          4358093.94                0.00                0.00
  80          9120982.30                0.00          6763049.80          2383806.20                0.00                0.00
  81          8722779.65                0.00          6582316.38          1636574.83                0.00                0.00
  82          6286967.26                0.00          4899732.70          1750760.19                0.00                0.00
  83           778509.64                0.00           694329.30           763418.49                0.00                0.00
  84           778604.35                0.00           738107.13           743692.14                0.00                0.00
  85           402279.71                0.00           381349.72           388669.95                0.00                0.00
  86           181674.71                0.00           172225.34           392164.65                0.00                0.00
  87                0.00                0.00                0.00          1185482.34                0.00                0.00
  88                0.00                0.00                0.00          1259374.38                0.00                0.00
  89                0.00                0.00                0.00          1706388.99                0.00                0.00
  90          3620511.02                0.00          3431913.63          3545314.84                0.00                0.00
  91          5450230.45                0.00          5022140.69          5148037.06                0.00                0.00
  92          6034184.51                0.00          5508525.19          5822687.20                0.00                0.00
  93          9316232.82                0.00          7679729.89          7647251.46                0.00                0.00
  94         11171070.71                0.00          8272327.43          2372304.02                0.00                0.00
  95          9724617.65                0.00          7311209.37           135992.37                0.00                0.00
  96          6722451.28                0.00          5241029.61          1562449.29                0.00                0.00
  97          3787586.56                0.00          3215808.85          2287674.11                0.00                0.00
  98           726697.39                0.00           688887.27          1585602.75                0.00                0.00
