"kstp","kper","storage_in","constant_head_in","wells_in","drno_drains_in","recharge_in","et_segments_in","stream_leakage_in","total_in","storage_out","constant_head_out","wells_out","drno_drains_out","recharge_out","et_segments_out","stream_leakage_out","total_out","difference","discrepancy"
31,1,10639032,0,2284088.75,0,218163.0156,0,14479587,27620872,6978350,0,0,259391.4062,0,257690.0156,20140744,27636176,-15304,-0.06
30,2,3670679,0,2210408.75,0,355406.1719,0,15726949,21963440,3645326,0,0,265213.7813,0,145.281299999973,18056368,21967052,-3612,0.02
31,3,12561779,0,4568184.25,0,445768.8906,0,32720751,50296488,9629500,0,0,514014.7187,0,257773.0156,39913160,50314452,-17964,-0.05
31,4,4961807,0,4494499.75,0,630670.6094,0,37163265,47250240,6696357,0,0,500567.4063,0,290.109399999987,40064256,47261468,-11228,0.02
28,5,14149635,0,6631224.25,0,749845.3906,0,55574511,77105216,13698737,0,0,718272.0937,0,258075.1094,62487096,77162180,-56964,-0.07
31,6,6898885,0,6778579.75,0,2752868.6094,0,65330857,81761184,12441909,0,0,730816.0313,0,825.546799999982,68699592,81873148,-111964,-0.04
30,7,15099409,0,9869004.25,0,1088612.8906,0,80593831,106650864,15674909,0,0,953798.9687,0,260497.9063,89836664,106725860,-74996,-0.06
31,8,7659621,0,10124285.75,0,3031566.3594,0,95153433,115968896,15912943,0,0,975843.0313,0,60496.9374999999,99164200,116113500,-144604,-0.04
30,9,19835531,0,10382784.25,0,1387234.6406,0,104621383,136226944,16067789,0,0,1091935.9687,0,621726.5625,118667032,136448468,-221524,-0.11
31,10,13946181,0,10655191.75,0,3251340.8594,0,111576889,139429600,16025007,0,0,1062704.0313,0,595112.6875,121915704,139598540,-168940,-0.03
31,11,25013715,0,10382784.25,0,1441918.6406,0,116813079,153651488,16113047,0,0,1172134.4687,0,1039269.9375,135553048,153877492,-226004,-0.1
30,12,17755153,0,10655191.75,0,3264525.8594,0,122298073,153972960,16121107,0,0,1151088.5313,0,883743.1875,135986056,154141996,-169036,-0.03
31,13,26866711,0,12666864.25,0,1639791.6406,0,128894807,170068160,17528337,0,0,1308477.2187,0,1186200.8125,150273464,170296468,-228308,-0.09
30,14,18502501,0,12865591.75,0,4270305.8594,0,136273001,171911424,19048315,0,0,1347597.7813,0,883824.6875,150803496,172083244,-171820,-0.03
31,15,27358211,0,14950944.25,0,3786665.6406,0,151028439,197124224,23949033,0,0,1525456.4687,0,1186314.3125,170703800,197364596,-240372,-0.08
31,16,18636889,0,15149671.75,0,7073046.3594,0,158004329,198863968,22618419,0,0,1576154.2813,0,883969.3125,173964424,199042988,-179020,-0.03
29,17,28195251,0,17087664.25,0,3816970.6406,0,178111863,227211712,29343477,0,0,1750816.4687,0,1186682.3125,195210584,227491540,-279828,-0.08
31,18,20026981,0,17433751.75,0,7508224.3594,0,186254409,231223392,24543923,0,0,1829014.2813,0,884581.4375,204214120,231471660,-248268,-0.04
30,19,30048291,0,20325504.25,0,4173730.6406,0,211523575,266071072,34952009,0,0,2010393.4687,0,1207241.6875,228244760,266414388,-343316,-0.08
31,20,23599373,0,20779519.75,0,7607951.3594,0,212865001,264851872,25205555,0,0,2045941.7813,0,1189864.0625,236815176,265256556,-404684,-0.06
30,21,35895571,0,20839224.25,0,4803490.6406,0,230116055,291654304,35169397,0,0,2153447.2187,0,1618095.6875,253135832,292076756,-422452,-0.09
31,22,27999261,0,21310363.75,0,7657241.3594,0,229981481,286948384,25315607,0,0,2140031.7813,0,1699318.5625,258198472,287353452,-405068,-0.05
31,23,41097707,0,20839224.25,0,4803490.6406,0,241048183,307788576,35184493,0,0,2221310.2187,0,2095455.9375,268714008,308215252,-426676,-0.09
30,24,31166893,0,21310363.75,0,7696781.3594,0,242475849,302649952,26299027,0,0,2223913.7813,0,1984496.5625,272549416,303056876,-406924,-0.05
31,25,42164371,0,23123304.25,0,5539616.6406,0,258113879,328941088,39495169,0,0,2389986.7187,0,2150062.1875,285337304,329372500,-431412,-0.08
30,26,32137045,0,23520763.75,0,8059421.3594,0,261338985,325056288,29209383,0,0,2426500.7813,0,1984666.0625,291854888,325475436,-419148,-0.05
31,27,42606571,0,25407384.25,0,11761688.6406,0,281168727,360944288,47456489,0,0,2618464.2187,0,2150151.9375,309179992,361405076,-460788,-0.08
31,28,33350901,0,25804843.75,0,29310499.3594,0,289665577,378131936,47615799,0,0,3121612.7813,0,1984790.8125,325866600,378588844,-456908,-0.04
28,29,46749027,0,27470424.25,0,11805144.6406,0,309686295,395710752,49070193,0,0,3026994.7187,0,2150521.6875,341995736,396243412,-532660,-0.09
31,30,37635093,0,28088923.75,0,29850271.3594,0,334323113,429897568,55464871,0,0,3713884.7813,0,1986039.0625,369190504,430355308,-457740,-0.03
30,31,49714475,0,30708264.25,0,12356424.6406,0,346015959,438794912,50456065,0,0,3419702.7187,0,2151826.6875,383374424,439402004,-607092,-0.09
31,32,39447973,0,31434691.75,0,31122139.3594,0,379136745,481141728,61002463,0,0,4158117.2813,0,2029239.5625,414398056,481587884,-446156,-0.02
30,33,57373883,0,31221984.25,0,12687744.6406,0,382328599,483612064,51468449,0,0,3857772.7187,0,2231692.4375,426759640,484317524,-705460,-0.1
31,34,47163101,0,31965535.75,0,31122139.3594,0,402503209,512754144,61008439,0,0,4355697.2813,0,2743576.0625,445301800,513409516,-655372,-0.04
