Stress_Period,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Runoff,Storage,Error
1,4066513,0,0,-5401899,-281146,0,1616532,0
2,5971931,0,0,-4278314,-468595,0,-1225022,0
3,3847915,0,0,-2661777,-297802,0,-888337,0
4,4629442,0,0,-3551028,-356999,0,-721415,0
5,4771590,0,0,-4760728,-400526,0,389665,0
6,16933489,0,0,-9785444,-2486713,0,-4661331,0
7,6318744,0,0,-10153741,-429793,0,4264790,0
8,5365874,0,0,-9888492,-350095,0,4872713,0
9,5838298,0,0,-7495443,-372882,0,2030027,0
10,4285536,0,0,-4147564,-274579,0,136606,0
11,1465048,0,0,-1405410,-59535,0,-104,0
12,372378,0,0,-358423,-13938,0,-18,0
13,3438474,0,0,-2019748,-256198,0,-1162529,0
14,13615465,0,0,-3466753,-1287173,0,-8861540,0
15,10055835,0,0,-2651949,-2469862,0,-4934024,0
16,9275055,0,0,-3556847,-3155317,0,-2562891,0
17,662721,0,0,-4920213,-36245,0,4293737,0
18,7735621,0,0,-8846375,-559622,0,1670376,0
19,6684325,0,0,-12180227,-451364,0,5947266,0
20,2337380,0,0,-7831103,-115837,0,5609559,0
21,12947687,0,0,-9352113,-770664,0,-2824910,0
22,1389836,0,0,-4162658,-52087,0,2824910,0
23,0,0,0,0,0,0,0,0
24,858482,0,0,-811026,-47455,0,0,0
25,12384493,0,0,-6451004,-958601,0,-4974888,0
26,5827405,0,0,-4284238,-471429,0,-1071738,0
27,22447534,0,0,-2692410,-7052037,0,-12703087,0
28,26584368,0,0,-2694301,-22713439,0,-1176629,0
29,874791,0,0,-3965637,-53580,0,3144425,0
30,9874164,0,0,-8910012,-686469,0,-277682,0
31,9819852,0,0,-11147002,-707420,0,2034569,0
32,19484765,0,0,-15199231,-1608226,0,-2677308,0
33,4549767,0,0,-17866336,-400028,0,13716597,0
34,0,0,0,-3985740,0,0,3985740,0
35,4894143,0,0,-4583981,-310162,0,0,0
36,1182363,0,0,-1107945,-74418,0,0,0
37,3719191,0,0,-3476769,-242421,0,0,0
38,3452041,0,0,-1448786,-257140,0,-1746115,0
39,12999486,0,0,-2669970,-1460622,0,-8868894,0
40,10455993,0,0,-2667745,-2950191,0,-4838057,0
41,265088,0,0,-3952409,-12175,0,3699495,0
42,3216089,0,0,-9492492,-189415,0,6465819,0
43,1114022,0,0,-6345284,-56490,0,5287752,0
44,7945150,0,0,-7464458,-480692,0,0,0
45,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0
48,1028069,0,0,-967243,-60826,0,0,0
49,143110,0,0,-137746,-5363,0,0,0
50,19999844,0,0,-3494638,-2753745,0,-13751460,0
51,9471551,0,0,-2671136,-3406798,0,-3393617,0
52,54559077,0,0,-1822020,-49194836,0,-3542221,0
53,304852,0,0,-6312983,-11425,0,6019557,0
54,29760083,0,0,-7180850,-18363378,0,-4215854,0
55,13849492,0,0,-11220592,-1299605,0,-1329295,0
56,9268192,0,0,-16691733,-2278256,0,9701797,0
57,6965293,0,0,-14890689,-417666,0,8343062,0
58,8377836,0,0,-9962285,-583583,0,2168032,0
59,0,0,0,0,0,0,0,0
60,310946,0,0,-299293,-11653,0,0,0
61,114488,0,0,-110197,-4291,0,0,0
62,3265349,0,0,-2383732,-197835,0,-683782,0
63,47733147,0,0,-2705522,-25024108,0,-20003516,0
64,43721917,0,0,-2716609,-41005308,0,0,0
65,2920790,0,0,-4923339,-233177,0,2235726,0
66,6807206,0,0,-7987420,-471101,0,1651314,0
67,9849335,0,0,-11990696,-699046,0,2840407,0
68,7416498,0,0,-15168104,-456842,0,8208447,0
69,1032528,0,0,-6733655,-50276,0,5751404,0
70,822959,0,0,-792116,-30842,0,0,0
71,417674,0,0,-402020,-15653,0,0,0
72,2171415,0,0,-2025061,-146354,0,0,0
73,7737014,0,0,-4068557,-561444,0,-3107013,0
74,23920798,0,0,-4312266,-5535364,0,-14073168,0
75,51307607,0,0,-2727597,-45072892,0,-3507118,0
76,28758681,0,0,-3569813,-25188868,0,0,0
77,371124,0,0,-3950790,-24862,0,3604528,0
78,5305488,0,0,-8803462,-370418,0,3868392,0
79,4437458,0,0,-10840650,-277531,0,6680723,0
80,1399788,0,0,-7859971,-73471,0,6533654,0
81,7069693,0,0,-3609649,-479058,0,-2980987,0
82,2125851,0,0,-3997366,-133806,0,2005321,0
83,6603800,0,0,-1758477,-582755,0,-4262568,0
84,3581591,0,0,-1706642,-320493,0,-1554456,0
85,8211587,0,0,-886208,-1339646,0,-5985732,0
86,13108212,0,0,-873661,-5979463,0,-6255088,0
87,6196957,0,0,-2678108,-2881135,0,-637714,0
88,31266384,0,0,-2752011,-27540741,0,-973632,0
89,212071,0,0,-3953206,-7948,0,3749083,0
90,16716671,0,0,-8023047,-5993204,0,-2700420,0
91,3540706,0,0,-11875886,-176082,0,8511261,0
92,18341374,0,0,-13237279,-1313582,0,-3790513,0
93,9645572,0,0,-18658075,-678602,0,9691105,0
94,2344699,0,0,-7388571,-140467,0,5184339,0
95,306842,0,0,-295342,-11500,0,0,0
96,3763795,0,0,-3517005,-246790,0,0,0
97,7519426,0,0,-5181568,-563407,0,-1774451,0
98,43554971,0,0,-3511581,-21130543,0,-18912847,0
99,6587372,0,0,-2677994,-4352338,0,442960,0
100,24986579,0,0,-3579451,-20964167,0,-442960,0
101,2465321,0,0,-6357402,-168872,0,4060953,0
102,4949309,0,0,-7050811,-350055,0,2451557,0
103,856278,0,0,-9827288,-32091,0,9003101,0
104,284198,0,0,-5445234,-10651,0,5171687,0
105,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0
107,1123400,0,0,-1081298,-42102,0,0,0
108,0,0,0,0,0,0,0,0
109,6013542,0,0,-1728533,-498523,0,-3786486,0
110,17795032,0,0,-4334236,-2788855,0,-10671941,0
111,5312665,0,0,-2670703,-2047187,0,-594775,0
112,35180875,0,0,-2718329,-26828450,0,-5634096,0
113,3489610,0,0,-4970225,-239908,0,1720522,0
114,9232849,0,0,-5334659,-5234861,0,1336671,0
115,14482354,0,0,-12884537,-3390728,0,1792911,0
116,2587126,0,0,-13959938,-117762,0,11490574,0
117,2008985,0,0,-5321301,-159750,0,3472067,0
118,3989482,0,0,-4625239,-238797,0,874553,0
119,350077,0,0,-336957,-13120,0,0,0
120,883885,0,0,-850759,-33126,0,0,0
121,11398943,0,0,-6151814,-875352,0,-4371778,0
122,3806065,0,0,-3440673,-276526,0,-88866,0
123,5284851,0,0,-2665007,-448245,0,-2171599,0
124,6741824,0,0,-3564013,-575936,0,-2601875,0
125,3750330,0,0,-4065427,-213257,0,528353,0
126,11768463,0,0,-8840654,-2295336,0,-632474,0
127,4996716,0,0,-10792206,-320282,0,6115771,0
128,2210440,0,0,-5313288,-119619,0,3222467,0
129,493376,0,0,-474885,-18490,0,0,0
130,2408668,0,0,-2260823,-147845,0,0,0
131,0,0,0,0,0,0,0,0
132,2585536,0,0,-2401380,-184156,0,0,0
133,1313505,0,0,-1077842,-71327,0,-164335,0
134,30908691,0,0,-3107793,-8574803,0,-19226095,0
135,24642115,0,0,-2726089,-20619159,0,-1296868,0
136,18780782,0,0,-3595897,-15487636,0,302751,0
137,12265877,0,0,-4944866,-7208060,0,-112950,0
138,2518332,0,0,-10532502,-125560,0,8139730,0
139,8206100,0,0,-9746564,-631564,0,2172029,0
140,1522817,0,0,-10898246,-86289,0,9461718,0
141,585936,0,0,-1287997,-21959,0,724020,0
142,901875,0,0,-868075,-33800,0,0,0
143,0,0,0,0,0,0,0,0
144,687834,0,0,-658530,-29304,0,0,0
145,0,0,0,0,0,0,0,0
146,21522996,0,0,-3428480,-4396027,0,-13698489,0
147,72561527,0,0,-2718177,-62854541,0,-6988809,0
148,17614457,0,0,-3607258,-14119936,0,112737,0
149,25944796,0,0,-11574314,-14257745,0,-112737,0
150,18665194,0,0,-10718643,-9637532,0,1690981,0
151,17230283,0,0,-9501059,-6219759,0,-1509466,0
152,1577937,0,0,-16051051,-59137,0,14532250,0
153,0,0,0,-5973533,0,0,5973533,0
154,7023777,0,0,-6547412,-476364,0,0,0
155,14685089,0,0,-13311481,-1373608,0,0,0
156,419339,0,0,-403624,-15716,0,0,0
157,0,0,0,0,0,0,0,0
158,11148719,0,0,-4207105,-877328,0,-6064286,0
159,20201948,0,0,-2714608,-5789480,0,-11697860,0
160,16317429,0,0,-4515439,-9028245,0,-2773744,0
161,51095885,0,0,-6888835,-44281114,0,74065,0
162,6989847,0,0,-7935943,-2030672,0,2976768,0
163,3278967,0,0,-12917990,-178916,0,9817939,0
164,5193901,0,0,-11369277,-298294,0,6473670,0
165,866227,0,0,-2027211,-32464,0,1193448,0
166,794738,0,0,-764953,-29785,0,0,0
167,1046969,0,0,-1007732,-39238,0,0,0
168,0,0,0,0,0,0,0,0
169,15772076,0,0,-4754231,-1494617,0,-9523229,0
170,5996809,0,0,-4311493,-481592,0,-1203724,0
171,27706885,0,0,-4449329,-13320338,0,-9937219,0
172,9753292,0,0,-3575988,-6492390,0,315085,0
173,71742025,0,0,-4992716,-66411098,0,-338211,0
174,4920519,0,0,-9702659,-386607,0,5168748,0
175,5797288,0,0,-10805368,-380712,0,5388791,0
176,14136028,0,0,-14469274,-1023202,0,1356449,0
177,1678262,0,0,-9955654,-87092,0,8364483,0
178,1780889,0,0,-1241748,-113065,0,-426077,0
179,0,0,0,-834904,0,0,834904,0
180,0,0,0,0,0,0,0,0
181,1364229,0,0,-1283238,-80991,0,0,0
182,25522480,0,0,-3469579,-5291387,0,-16761514,0
183,64441128,0,0,-2700826,-57814518,0,-3925784,0
184,33588155,0,0,-2743043,-30845112,0,0,0
185,10428971,0,0,-4825896,-6763147,0,1160072,0
186,11863470,0,0,-5382846,-5320552,0,-1160072,0
187,6441019,0,0,-10337773,-621605,0,4518360,0
188,3469312,0,0,-14506611,-163271,0,11200569,0
189,1106884,0,0,-6032145,-43108,0,4968369,0
190,0,0,0,0,0,0,0,0
191,2919419,0,0,-2737362,-182057,0,0,0
192,0,0,0,0,0,0,0,0
193,489010,0,0,-461583,-27427,0,0,0
