               Stress_Period  Alfalfa_Irrigated             Grain_Irrigated               Pasture_Irrigated             Native_Vegetation             Urban_Barren                  Water                         
   1                0.00                0.00                0.00          5401899.26                0.00                0.00
   2                0.00                0.00                0.00          4278313.61                0.00                0.00
   3                0.00                0.00                0.00          2661776.97                0.00                0.00
   4                0.00                0.00                0.00          3551028.06                0.00                0.00
   5                0.00                0.00                0.00          4760728.41                0.00                0.00
   6                0.00                0.00                0.00          9785444.50                0.00                0.00
   7                0.00                0.00                0.00         10153740.95                0.00                0.00
   8                0.00                0.00                0.00          9888491.96                0.00                0.00
   9                0.00                0.00                0.00          7495443.36                0.00                0.00
  10                0.00                0.00                0.00          4147563.56                0.00                0.00
  11                0.00                0.00                0.00          1405409.91                0.00                0.00
  12                0.00                0.00                0.00           358422.58                0.00                0.00
  13                0.00                0.00                0.00          2019747.78                0.00                0.00
  14                0.00                0.00                0.00          3466752.54                0.00                0.00
  15                0.00                0.00                0.00          2651948.84                0.00                0.00
  16                0.00                0.00                0.00          3556847.14                0.00                0.00
  17                0.00                0.00                0.00          4920212.76                0.00                0.00
  18                0.00                0.00                0.00          8846374.87                0.00                0.00
  19                0.00                0.00                0.00         12180227.32                0.00                0.00
  20                0.00                0.00                0.00          7831102.70                0.00                0.00
  21                0.00                0.00                0.00          9352113.05                0.00                0.00
  22                0.00                0.00                0.00          4162658.18                0.00                0.00
  23                0.00                0.00                0.00                0.00                0.00                0.00
  24                0.00                0.00                0.00           811026.34                0.00                0.00
  25                0.00                0.00                0.00          6451003.88                0.00                0.00
  26                0.00                0.00                0.00          4284238.25                0.00                0.00
  27                0.00                0.00                0.00          2692409.96                0.00                0.00
  28                0.00                0.00                0.00          2694300.82                0.00                0.00
  29                0.00                0.00                0.00          3965636.62                0.00                0.00
  30                0.00                0.00                0.00          8910012.20                0.00                0.00
  31                0.00                0.00                0.00         11147001.76                0.00                0.00
  32                0.00                0.00                0.00         15199230.92                0.00                0.00
  33                0.00                0.00                0.00         17866336.46                0.00                0.00
  34                0.00                0.00                0.00          3985739.92                0.00                0.00
  35                0.00                0.00                0.00          4583981.49                0.00                0.00
  36                0.00                0.00                0.00          1107945.06                0.00                0.00
  37                0.00                0.00                0.00          3476769.31                0.00                0.00
  38                0.00                0.00                0.00          1448786.25                0.00                0.00
  39                0.00                0.00                0.00          2669969.79                0.00                0.00
  40                0.00                0.00                0.00          2667744.63                0.00                0.00
  41                0.00                0.00                0.00          3952409.22                0.00                0.00
  42                0.00                0.00                0.00          9492492.42                0.00                0.00
  43                0.00                0.00                0.00          6345283.51                0.00                0.00
  44                0.00                0.00                0.00          7464458.16                0.00                0.00
  45                0.00                0.00                0.00                0.00                0.00                0.00
  46                0.00                0.00                0.00                0.00                0.00                0.00
  47                0.00                0.00                0.00                0.00                0.00                0.00
  48                0.00                0.00                0.00           967242.95                0.00                0.00
  49                0.00                0.00                0.00           137746.21                0.00                0.00
  50                0.00                0.00                0.00          3494638.35                0.00                0.00
  51                0.00                0.00                0.00          2671135.86                0.00                0.00
  52                0.00                0.00                0.00          1822020.29                0.00                0.00
  53                0.00                0.00                0.00          6312983.21                0.00                0.00
  54                0.00                0.00                0.00          7180849.98                0.00                0.00
  55                0.00                0.00                0.00         11220591.84                0.00                0.00
  56                0.00                0.00                0.00         16691732.77                0.00                0.00
  57                0.00                0.00                0.00         14890689.18                0.00                0.00
  58                0.00                0.00                0.00          9962285.17                0.00                0.00
  59                0.00                0.00                0.00                0.00                0.00                0.00
  60                0.00                0.00                0.00           299292.63                0.00                0.00
  61                0.00                0.00                0.00           110196.97                0.00                0.00
  62                0.00                0.00                0.00          2383732.17                0.00                0.00
  63                0.00                0.00                0.00          2705522.39                0.00                0.00
  64                0.00                0.00                0.00          2716609.06                0.00                0.00
  65                0.00                0.00                0.00          4923338.87                0.00                0.00
  66                0.00                0.00                0.00          7987419.65                0.00                0.00
  67                0.00                0.00                0.00         11990696.08                0.00                0.00
  68                0.00                0.00                0.00         15168103.91                0.00                0.00
  69                0.00                0.00                0.00          6733655.15                0.00                0.00
  70                0.00                0.00                0.00           792116.43                0.00                0.00
  71                0.00                0.00                0.00           402020.42                0.00                0.00
  72                0.00                0.00                0.00          2025060.89                0.00                0.00
  73                0.00                0.00                0.00          4068557.16                0.00                0.00
  74                0.00                0.00                0.00          4312266.44                0.00                0.00
  75                0.00                0.00                0.00          2727597.03                0.00                0.00
  76                0.00                0.00                0.00          3569813.06                0.00                0.00
  77                0.00                0.00                0.00          3950789.79                0.00                0.00
  78                0.00                0.00                0.00          8803461.83                0.00                0.00
  79                0.00                0.00                0.00         10840650.42                0.00                0.00
  80                0.00                0.00                0.00          7859971.26                0.00                0.00
  81                0.00                0.00                0.00          3609648.72                0.00                0.00
  82                0.00                0.00                0.00          3997366.45                0.00                0.00
  83                0.00                0.00                0.00          1758477.14                0.00                0.00
  84                0.00                0.00                0.00          1706641.83                0.00                0.00
