"kstp","kper","storage_in","constant_head_in","wells_in","drno_drains_in","recharge_in","et_segments_in","stream_leakage_in","total_in","storage_out","constant_head_out","wells_out","drno_drains_out","recharge_out","et_segments_out","stream_leakage_out","total_out","difference","discrepancy"
31,1,11237791,0,2284088.75,0,227563.4062,0,11998313,25747756,5759039.5,0,616969.75,256441.8438,0,190193.2031,18946116,25768760,-21004,-0.08
30,2,3944480,0,2210408.75,0,381720.7188,0,15335741,21872348,4201022.5,0,0,251257.0937,0,19843.25,17403352,21875476,-3128,0.03
31,3,13225466,0,4568184.25,0,473186.0937,0,29544023,47810860,8997796.5,0,616969.75,507865.4063,0,190193.2031,37521360,47834188,-23328,-0.07
31,4,5227256,0,4494499.75,0,701567.1563,0,36647921,47071244,7757888.5,0,0,484349.5312,0,19843.25,38812512,47074588,-3344,0.04
28,5,14606540,0,6631224.25,0,995816.5937,0,52422879,74656460,13237717.5,0,616969.75,710238.3438,0,190193.2031,59969104,74724228,-67768,-0.1
31,6,6847430,0,6778579.75,0,3103261.1563,0,64025409,80754676,12873730.5,0,216765.5,714791.2812,0,19843.25,67040656,80865788,-111112,-0.02
30,7,17281062,0,9869004.25,0,1524040.3437,0,77081295,105755404,14789915.5,0,4473070.5,945618.8438,0,190394.3906,85439008,105838004,-82600,-0.08
31,8,8730650,0,10124285.75,0,3528503.6563,0,93344721,115728148,15450234.5,0,5748297.5,963491.9062,0,23659.7344,93670496,115856188,-128040,-0.02
30,9,25228974,0,10382784.25,0,2574475.3437,0,99400767,137587020,15013961.5,0,12889630.5,1185117.8438,0,203608.5,108432544,137724852,-137832,-0.08
31,10,21901166,0,10655191.75,0,5303827.1563,0,104022561,141882740,15555334.5,0,19247485.5,1171605.4062,0,40226.9688,106079056,142093708,-210968,-0.04
31,11,37304930,0,10382784.25,0,3687591.8437,0,105398191,156773516,15049639.5,0,25244742.5,1218419.3438,0,450744.3437,114954336,156917876,-144360,-0.08
30,12,27041342,0,10655191.75,0,6038557.1563,0,109507505,153242580,18617368.5,0,21837929.5,1195348.4062,0,219622.5313,111583952,153454220,-211640,-0.03
31,13,40148794,0,12666864.25,0,4101069.8437,0,112095327,169012076,19603159.5,0,25837330.5,1292527.0938,0,522855.5937,121899056,169154932,-142856,-0.08
30,14,28374542,0,12865591.75,0,7612747.1563,0,122242897,171095764,26319560.5,0,21837929.5,1327347.6562,0,233473.2813,121596848,171315148,-219384,-0.03
31,15,40839234,0,14950944.25,0,6614487.8437,0,133674639,196079308,30245467.5,0,25837330.5,1456323.8438,0,522855.5937,138164800,196226804,-147496,-0.07
31,16,28578654,0,15149671.75,0,10300600.1563,0,144159985,198188916,31701316.5,0,21837929.5,1503976.6562,0,233473.2813,143126240,198402924,-214008,-0.02
29,17,41553754,0,17087664.25,0,6801943.8437,0,160089839,225533196,35907227.5,0,25837330.5,1632819.8438,0,522855.5937,161800352,225700596,-167400,-0.07
31,18,29538726,0,17433751.75,0,11229732.1563,0,171638385,229840596,34332316.5,0,22114577.5,1707641.9062,0,233473.2813,171753600,230141612,-301016,-0.03
30,19,44430402,0,20325504.25,0,7289503.8437,0,193948207,265993612,41567195.5,0,30377766.5,1841995.8438,0,522864.5937,191929536,266239348,-245736,-0.08
31,20,36617038,0,20779519.75,0,11402154.1563,0,197237745,266036468,34949324.5,0,30874297.5,1926039.6562,0,239946.0313,198421504,266411116,-374648,-0.04
30,21,54776642,0,20839224.25,0,9513103.8437,0,205519567,290648524,41861067.5,0,39544094.5,2037283.5938,0,534489.3437,206919840,290896788,-248264,-0.07
31,22,49074294,0,21310363.75,0,13121600.1563,0,205298481,288804788,35023428.5,0,44669977.5,2043846.1562,0,322111.4688,207149760,289209068,-404280,-0.04
31,23,69242898,0,20839224.25,0,10757567.8437,0,209709103,310548748,41874747.5,0,54462838.5,2042186.8438,0,792904.2812,211629024,310801748,-253000,-0.07
30,24,53747758,0,21310363.75,0,13946780.1563,0,210268113,299273076,39288980.5,0,47039313.5,2056303.6562,0,435943.8438,210859392,299679916,-406840,-0.04
31,25,71479250,0,23123304.25,0,12191565.8437,0,220192719,326986764,50960923.5,0,54929390.5,2129901.8438,0,794126.1562,218432000,327246356,-259592,-0.07
30,26,54846070,0,23520763.75,0,14564360.1563,0,226226705,319158004,48707396.5,0,47039313.5,2176111.6562,0,435943.8438,221209152,319567916,-409912,-0.03
31,27,71818162,0,25407384.25,0,17818623.8437,0,245039183,360083212,65114003.5,0,54929390.5,2269018.3438,0,794126.1562,237238688,360345236,-262024,-0.07
31,28,55974702,0,25804843.75,0,28588636.1563,0,255005457,365373812,64710484.5,0,47039313.5,2655678.6562,0,435943.8438,250979712,365821100,-447288,-0.03
28,29,74176146,0,27470424.25,0,18342783.8437,0,272731695,392720908,68063547.5,0,54929390.5,2556872.3438,0,794126.1562,266728448,393072404,-351496,-0.08
31,30,59354414,0,28088923.75,0,29507228.1563,0,299232017,416182708,74521924.5,0,47039313.5,3117991.6562,0,435943.8438,291530880,416645996,-463288,-0.02
30,31,76426962,0,30708264.25,0,19188783.8437,0,309495983,435819852,70463019.5,0,54979790.5,2845773.8438,0,794144.4062,307160768,436243540,-423688,-0.08
31,32,61876494,0,31434691.75,0,30702216.1563,0,344478481,468492020,79589796.5,0,51082457.5,3448567.1562,0,436397.5938,334393152,468950316,-458296,-0.02
30,33,86775474,0,31221984.25,0,21312903.8437,0,346115183,485425420,71422859.5,0,65646966.5,3297498.3438,0,815082.7812,344781184,485963604,-538184,-0.08
31,34,73384558,0,31965535.75,0,33405292.1563,0,364707153,503462644,79921316.5,0,62407329.5,3932960.6562,0,475405.2188,357221568,503958572,-495928,-0.02
31,35,96479122,0,31221984.25,0,23493071.8437,0,357439343,508633420,71535115.5,0,75889294.5,3560325.8438,0,835341.1562,357399232,509219284,-585864,-0.09
30,36,78180270,0,31965535.75,0,34441372.1563,0,375375441,519962676,83306532.5,0,64542609.5,4092368.6562,0,579096.5938,367912320,520432940,-470264,-0.01
31,37,98642674,0,33506064.25,0,24126587.8437,0,372813807,529089100,77241083.5,0,76344494.5,3729067.3438,0,901572.2812,371461632,529677844,-588744,-0.09
30,38,79047870,0,34175935.75,0,34639972.1563,0,394173841,542037684,88381988.5,0,64542609.5,4262020.1562,0,623680.7188,384703232,542513516,-475832,-0.01
31,39,99058866,0,35790144.25,0,25888751.8437,0,396703983,557441612,82608443.5,0,76344494.5,3935170.3438,0,901572.2812,394239936,558029588,-587976,-0.09
31,40,79457822,0,36460015.75,0,37924732.1563,0,419610129,573452852,93501108.5,0,64542609.5,4478332.6562,0,623680.7188,410813504,573959276,-506424,-0.01
28,41,100112674,0,37853184.25,0,25967823.8437,0,419381679,583315148,84034747.5,0,76344494.5,4142816.3438,0,901572.2812,418530368,583953940,-638792,-0.09
31,42,80272350,0,38744095.75,0,38086180.1563,0,446581265,603684148,95084532.5,0,65279377.5,4718865.6562,0,623680.7188,438519232,604225772,-541624,-0.01
30,43,103647874,0,41091024.25,0,26022903.8437,0,444485103,615246668,86037723.5,0,81618654.5,4379081.3438,0,905023.1562,443014016,615954452,-707784,-0.09
31,44,83730638,0,42089863.75,0,38540640.1563,0,475082257,639443636,97166772.5,0,73432225.5,4959987.6562,0,637748.5938,463859712,640056556,-612920,-0.02
30,45,117083346,0,41604864.25,0,26816703.8437,0,456652655,642157388,86131787.5,0,93836654.5,4576954.3438,0,927348.2812,457460096,642932756,-775368,-0.09
31,46,100856174,0,42620831.75,0,39689500.1563,0,481069137,664235828,97225732.5,0,91300497.5,4968053.6562,0,952956.8438,470405440,664852716,-616888,-0.02
31,47,130796082,0,41604864.25,0,28046531.8437,0,460005807,660453068,86187531.5,0,108194878.5,4579981.3438,0,1090728.6562,461177792,661230868,-777800,-0.09
30,48,105688542,0,42620831.75,0,40543420.1563,0,485389265,674242356,101005748.5,0,94309393.5,4975360.6562,0,1069571.5938,473502336,674862444,-620088,-0.01
31,49,134054946,0,43888944.25,0,28289323.8437,0,465111855,671344716,92141067.5,0,108860398.5,4605886.3438,0,1171864.4062,465346240,672125460,-780744,-0.09
30,50,107357886,0,44831231.75,0,42921820.1563,0,491552465,686663732,107679332.5,0,94309393.5,5059649.6562,0,1069571.5938,479166528,687284460,-620728,-0.01
31,51,134828546,0,46173024.25,0,30743779.8437,0,478279279,690024268,101468347.5,0,108860398.5,4721694.3438,0,1171864.4062,474590656,690812948,-788680,-0.09
31,52,109411950,0,47115311.75,0,75879284.1563,0,536288017,768694964,154803028.5,0,94309393.5,6348081.6562,0,1069571.5938,512831488,769361516,-666552,-0.01
28,53,143484274,0,48236064.25,0,30954787.8437,0,517598383,740273100,108140363.5,0,108860398.5,5447644.3438,0,1171864.4062,517503232,741123476,-850376,-0.09
31,54,113038942,0,49399391.75,0,95301900.1563,0,581606865,839347508,171670420.5,0,94309393.5,7772886.6562,0,1069571.5938,565235584,840057836,-710328,-0.01
30,55,149630514,0,51473904.25,0,32173747.8437,0,555649071,788926796,110738027.5,0,108870478.5,6049971.3438,0,1171864.4062,562961536,789791892,-865096,-0.09
31,56,117124062,0,52745159.75,0,96226692.1563,0,624518993,890615348,173884148.5,0,99212529.5,8257761.6562,0,1070269.0938,608895744,891320428,-705080,1.38777878078145e-17
30,57,157803234,0,51987744.25,0,33479347.8437,0,593472047,836741964,111432747.5,0,118347342.5,6543992.3438,0,1208502.9062,600112512,837645076,-903112,-0.09
31,58,125110430,0,53276127.75,0,100082348.1563,0,652545361,931014708,174539668.5,0,109017633.5,9040679.6562,0,1118050.0938,638084480,931800556,-785848,-0.01
31,59,171026370,0,51987744.25,0,35743587.8437,0,605578927,864336204,111508203.5,0,129798494.5,6995174.3438,0,1245244.4062,615774592,865321748,-985544,-0.09
30,60,130306526,0,53276127.75,0,101146988.1563,0,663402961,948133044,177494900.5,0,111078865.5,9321337.6562,0,1173910.5938,649845632,948914668,-781624,-0.01
31,61,173581858,0,54271824.25,0,36091283.8437,0,620984751,884929356,116465483.5,0,130384526.5,7210780.3438,0,1349649.1562,630509568,885920020,-990664,-0.09
30,62,131367326,0,55486527.75,0,101307788.1563,0,682906833,971068852,182642484.5,0,111078865.5,9531427.6562,0,1235073.8438,667366784,971854572,-785720,-0.01
31,63,175947874,0,56555904.25,0,51688995.8437,0,656870319,941062732,137811275.5,0,130384526.5,7886018.3438,0,1349649.1562,664686592,942118164,-1055432,-0.09
31,64,133303774,0,57770607.75,0,139412988.1563,0,718467409,1048955188,204842260.5,0,111078865.5,12167165.6562,0,1235073.8438,720482560,1049805804,-850616,-0.01
29,65,183974626,0,58692624.25,0,53811795.8437,0,702074799,998553420,142483595.5,0,130384526.5,9181540.3438,0,1349649.1562,716242944,999642388,-1088968,-0.08
31,66,139093374,0,60054687.75,0,140061260.1563,0,757147857,1096357556,205672180.5,0,111078865.5,12848065.6562,0,1235073.8438,766430336,1097264364,-906808,-0.02
30,67,187645186,0,61930464.25,0,54535155.8437,0,740820143,1044930636,146066987.5,0,130492526.5,9759690.3438,0,1349836.6562,758406656,1046075924,-1145288,-0.08
31,68,145950718,0,63400455.75,0,140434252.1563,0,797437905,1147223476,208159668.5,0,117725313.5,13339109.6562,0,1236201.3438,807742080,1148202220,-978744,-0.02
30,69,200399586,0,62444304.25,0,55343955.8437,0,768208815,1086396492,146104331.5,0,142408254.5,10191442.3438,0,1414763.4062,787528576,1087647508,-1251016,-0.08
