"kstp","kper","storage_in","constant_head_in","wells_in","drno_drains_in","recharge_in","et_segments_in","stream_leakage_in","total_in","storage_out","constant_head_out","wells_out","drno_drains_out","recharge_out","et_segments_out","stream_leakage_out","total_out","difference","discrepancy"
31,1,11239619,0,2284088.75,0,227563.4062,0,12002822,25754092,5760447.5,0,616969.75,256441.4062,0,190193.0156,18943748,25767800,-13708,-0.05
30,2,3944826,0,2210408.75,0,381720.7188,0,15335294,21872252,4200687.5,0,0,251254.5626,0,19843.2188,17403688,21875472,-3220,0.01
31,3,13227230,0,4568184.25,0,473186.0937,0,29548142,47816740,8999749.5,0,616969.75,507859.3749,0,190193.0156,37519036,47833808,-17068,-0.04
31,4,5224696,0,4494499.75,0,701567.1563,0,36651714,47072476,7751244.5,0,0,484343.5626,0,19843.2188,38811868,47067296,5180,0.03
28,5,14715234,0,6631224.25,0,995816.5937,0,52428334,74770612,13265633.5,0,616969.75,710244.0624,0,190193.0156,60046044,74829088,-58476,-0.07
31,6,7124054,0,6778579.75,0,3103261.1563,0,64817834,81823724,13543690.5,0,216765.5,714857.3126,0,19843.2188,67436844,81932000,-108276,-0.04
30,7,17546146,0,9869004.25,0,1524040.3437,0,77071542,106010740,14763963.5,0,4473071,945746.3124,0,190394.2031,85710868,106084048,-73308,-0.06
31,8,9028362,0,10124285.75,0,3528503.6563,0,94126922,116808076,16073648.5,0,5748309,963661.6876,0,23669.3438,94123660,116932944,-124868,-0.03
30,9,25512382,0,10382784.25,0,2574475.3437,0,99388358,137858004,14987043.5,0,12889641,1185316.0624,0,203648.5937,108720948,137986608,-128604,-0.07
31,10,22203258,0,10655191.75,0,5303827.1563,0,104806762,142969036,16178810.5,0,19247511,1171818.1876,0,40276.8282,106538188,143176592,-207556,-0.05
31,11,37588502,0,10382784.25,0,3687591.8437,0,105388342,157047220,15022725.5,0,25244785,1218624.0624,0,450842.1093,115245220,157182192,-134972,-0.06
30,12,27168802,0,10655191.75,0,6038557.1563,0,110639882,154502444,19119402.5,0,22109103,1195557.9376,0,219672.3282,112067100,154710832,-208388,-0.05
31,13,40489966,0,12666864.25,0,4101038.8437,0,111745414,169003284,19557509.5,0,25837373,1292287.3124,0,522621.7968,121927524,169137328,-134044,-0.06
30,14,28509410,0,12865591.75,0,7610587.1563,0,123105370,172090956,26933226.5,0,22109103,1326702.9376,0,233426.8907,121704204,172306640,-215684,-0.04
31,15,41134430,0,14950944.25,0,6624655.8437,0,133471958,196182004,30276729.5,0,25837373,1455430.5624,0,522621.7968,138230180,196322352,-140348,-0.06
31,16,28699450,0,15149671.75,0,10309104.1563,0,145056010,199214220,32273250.5,0,22109103,1502678.1876,0,233426.8907,143306204,199424656,-210436,-0.03
29,17,41861966,0,17087664.25,0,6813387.8437,0,160909526,226672564,36861053.5,0,25837373,1631485.3124,0,522621.7968,161978180,226830736,-158172,-0.06
31,18,29924210,0,17433751.75,0,11242824.1563,0,173488394,232089164,35148090.5,0,22385751,1706045.9376,0,233426.8907,172920156,232393456,-304292,-0.04
30,19,44841566,0,20325504.25,0,7300947.8437,0,194548502,267016532,41876749.5,0,30377793,1840565.5624,0,522630.7343,192640004,267257744,-241212,-0.07
