Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
1991,NA,282,NA,NA,NA,NA,NA,NA,0.045620530477906214,0.1547690925036547,45,376.500150474458,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6076.718556242922,2107.42951111275,3725.179967131362,NA,NA,NA,141.72529241917104,dry year
1992,211,264,11.078795249180299,140.17204537724461,67,116.073530138574,68,69.14951819082731,0.048587790001099626,0.1396715171380687,51,531.410037119901,213,21,464.3797013983514,599.758263886969,192,NA,NA,NA,NA,NA,NA,6076.718556242922,2107.42951111275,3725.179967131362,NA,NA,NA,144.61282938931058,dry year
1993,500,306,45.018879684909194,50.475941102634515,20,140.360154018059,72,129.0580580816735,0.05374127296511324,0.24151761228117474,62,2389.22318065113,244,134,511.2182551224116,979.57960345122,110,NA,205.5,NA,NA,5,NA,6076.718556242922,2107.42951111275,3725.179967131362,NA,2,NA,479.91130284344536,mod year
1994,NA,259,NA,NA,71,184.163906702788,73,134.08440461584883,0.05987001804496985,0.21590718160088296,37,353.780896959372,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6076.718556242922,2107.42951111275,3725.179967131362,NA,NA,NA,129.17170160148436,dry year
1995,117,337,60.7168539876025,590.0581505713867,NA,NA,NA,0,0.04061004725337811,0.13665346187579183,147,1644.89321079528,190,114,13.89765981290924,971.529453494394,76,NA,103.5,124,NA,17,2,6076.718556242922,2107.42951111275,3725.179967131362,NA,6,1,666.1115979371823,wet year
1996,277,291,581.9473689285956,1593.0421447716333,3,2044.94727938614,74,1984.1009137630042,0.060099126079044496,0.17092191518715596,83,1915.5410973716,208,119,936.4069737271374,1235.47119112368,89,NA,92,NA,NA,12,NA,6076.718556242922,2107.42951111275,3725.179967131362,NA,3,NA,652.8012218715761,wet year
1997,304,162,167.924816878887,637.1017500793314,49,1638.86858586859,50,1020.3734388571779,0.02638601992823173,0.0803811034816292,38,1784.81633763747,124,-79,481.8272190628466,736.9724206262,203,92,80,81,4,15,7,6076.718556242922,2107.42951111275,3725.179967131362,1,2,2,699.6834619904038,wet year
1998,175,340,529.6459591568255,1395.268137167445,5,275.589156440534,58,104.8942370728735,0.035551947988620325,0.18654366747365958,120,1815.89058761298,220,119,895.3923685184246,1274.94172792577,101,NA,141,174,NA,9,3,6076.718556242922,2107.42951111275,3725.179967131362,NA,2,1,737.5353456864958,wet year
1999,197,303,74.05655653488219,745.302598723594,53,1520.156412497,55,988.723363620864,0.06201548243300702,0.26305136353439906,63,1586.74233929637,240,90,765.001271075005,1035.86644094821,150,NA,152,NA,NA,1,NA,6076.718556242922,2107.42951111275,3725.179967131362,NA,1,NA,639.6485116255844,wet year
2000,216,303,59.3169789622344,139.0007404451452,61,274.093621176637,62,195.21917948188968,0.04775216196142977,0.1966380916406476,106,1548.73922090717,197,62,870.6844333072513,966.586462857649,135,NA,NA,NA,NA,NA,NA,6076.718556242922,2107.42951111275,3725.179967131362,NA,NA,NA,457.80782944501146,mod year
2001,302,253,10.6666230180877,685.0054252167495,NA,NA,NA,0,0.08156192323662637,0.16796818511888303,25,278.498529102676,228,74,160.43035710052982,207.181050059107,154,NA,NA,NA,NA,NA,NA,6076.718556242922,2107.42951111275,3725.179967131362,NA,NA,NA,100.94393156202297,dry year
2002,157,284,10.39716802335105,60.73484484839166,67,49.5496574214716,68,38.605449269335196,0.05009565903203583,0.16320483365165733,87,1290.86224593925,197,7,780.2189904338143,879.021743822874,190,NA,NA,NA,NA,NA,NA,6076.718556242922,2107.42951111275,3725.179967131362,NA,NA,NA,297.2595533651196,dry year
2003,153,312,63.02567907853135,408.363838571226,NA,NA,NA,0,0.05188550955114646,0.24665896142299784,70,1502.85876553692,242,166,758.7844264552061,1077.85643807035,76,NA,89,NA,NA,8,NA,6076.718556242922,2107.42951111275,3725.179967131362,NA,5,NA,648.9376494820925,wet year
2004,194,285,15.2381389204078,366.51445268057756,13,528.262413077489,67,465.1427720525631,0.04572840750842283,0.15394674459735205,89,1025.87357558493,196,96,587.806431830766,911.268735023758,100,NA,141,NA,NA,1,NA,6076.718556242922,2107.42951111275,3725.179967131362,NA,1,NA,420.84961605088733,mod year
2005,138,305,35.7810202340574,597.9199883375827,10,1171.3654248155499,70,1155.3685310692445,0.051786095072270236,0.21017802646261993,74,1480.76604898061,231,117,599.792331913295,764.0632456758781,114,NA,NA,NA,NA,NA,NA,6076.718556242922,2107.42951111275,3725.179967131362,NA,NA,NA,409.7558059477451,mod year
2006,276,160,184.27901453211,1346.1626761261782,35,95.6518349460214,36,59.14232852020629,0.04086453801546487,0.11917660584361395,35,3406.1975010856,125,47,1756.7834202797048,2404.8785321129753,78,92,92,89,2,41,6,6076.718556242922,2107.42951111275,3725.179967131362,1,4,1,901.5188450302807,wet year
2007,143,269,10.76980274648235,42.20151644412568,1,379.310020793123,47,192.43224530356449,0.055693949786325504,0.2083576629586697,93,985.252021799801,176,105,386.8219368074525,633.1732141187705,71,NA,74,75,NA,3,1,6076.718556242922,2107.42951111275,3725.179967131362,NA,1,1,360.2745786539297,mod year
2008,216,293,43.6019195545569,228.8962479229146,18,86.105185111716,19,75.25262996439389,0.06750526601017248,0.2308967870527309,52,1169.88997476837,241,194,186.512274002125,477.635159663615,47,NA,NA,NA,NA,NA,NA,6076.718556242922,2107.42951111275,3725.179967131362,NA,NA,NA,357.8599990158608,mod year
2009,170,286,12.0223252811149,69.6718850573546,44,166.915626703952,45,120.8692577974535,0.05876155879114926,0.13905646098617125,50,807.365137707406,236,92,403.4788555445135,559.134625555542,144,NA,NA,NA,NA,NA,NA,6076.718556242922,2107.42951111275,3725.179967131362,NA,NA,NA,249.41081499588094,dry year
2010,153,319,129.8985273269725,869.0294179892225,7,69.8243961870855,72,57.5378534360011,0.048372042705501606,0.26956469997408644,71,2066.12872222086,248,157,413.0549383551328,563.4347175887065,91,NA,NA,NA,NA,NA,NA,6076.718556242922,2107.42951111275,3725.179967131362,NA,NA,NA,397.102129110257,mod year
2011,114,339,78.0269755267284,117.68700249247901,38,382.430864546574,39,218.04217800528002,0.038363457856442025,0.16619326961812686,74,1390.41425066674,265,158,529.0804544438859,1022.70723149925,107,NA,NA,NA,NA,NA,NA,6076.718556242922,2107.42951111275,3725.179967131362,NA,NA,NA,642.3175786220702,wet year
2012,186,295,35.7521819665416,499.8636823678139,NA,NA,NA,39.1546258537132,0.057780732515674144,0.13999783147613393,66,1329.96334800115,229,141,194.87166599410332,487.9767777978965,88,NA,183,NA,NA,1,NA,6076.718556242922,2107.42951111275,3725.179967131362,NA,1,NA,360.3450998561459,mod year
2013,173,268,13.9750489622284,51.78951918098055,51,136.08953992201,52,99.3323434128902,0.05765051004858675,0.1859879033586853,47,656.910351593075,221,105,371.311661593535,482.55487286665505,116,NA,66,NA,NA,1,NA,6076.718556242922,2107.42951111275,3725.179967131362,NA,1,NA,283.25855619001,dry year
2014,243,246,9.359877142429859,623.6242712835341,NA,NA,NA,0,0.04114112724535639,0.1443326486359738,66,589.85184588503,180,104,61.435849975769905,95.9849577071021,76,NA,NA,NA,NA,NA,NA,6076.718556242922,2107.42951111275,3725.179967131362,NA,NA,NA,133.86772054848245,dry year
2015,328,193,21.4929271877158,1022.28856468023,24,106.119040863974,54,96.72004271410874,0.036200560740085874,0.3640905358996213,63,6174.67261317291,130,6,502.8043232244844,871.142935397373,124,130,130,130,1,5,2,6076.718556242922,2107.42951111275,3725.179967131362,1,1,1,326.69050223776617,mod year
2016,143,291,25.556648632729498,497.69712756199004,70,240.716254088455,71,217.80385305278756,0.057176203184957135,0.1344328073855428,96,1863.99762454786,195,39,1250.892501171303,1690.45021406435,156,NA,110,NA,NA,10,NA,6076.718556242922,2107.42951111275,3725.179967131362,NA,5,NA,532.7242710977371,wet year
2017,164,303,57.3731967585523,255.90793215040378,17,202.91248372325,18,174.40860257145576,0.05365092300498432,0.26221280702134,86,2195.54900557803,217,148,785.0794493863862,1445.02057598329,69,133,89.5,132,1,31,3,6076.718556242922,2107.42951111275,3725.179967131362,1,6,1,951.2927353785225,wet year
2018,172,269,10.4143659390763,39.22720575034617,39,116.319281798185,41,58.54573770398851,0.058237349077163277,0.19936350795602625,51,442.783057813752,218,116,252.6317962372144,356.107132099267,102,NA,NA,NA,NA,NA,NA,6076.718556242922,2107.42951111275,3725.179967131362,NA,NA,NA,214.1992129671643,dry year
2019,184,295,48.1222009873874,159.911651678272,NA,NA,NA,0,0.05778153743364782,0.17224482840404312,74,1466.19445722848,221,145,196.781477450287,759.6531631701955,76,NA,191,NA,NA,2,NA,6076.718556242922,2107.42951111275,3725.179967131362,NA,1,NA,470.81925604918854,mod year
2020,171,270,9.96479551675662,23.416987825823337,3,168.302908617249,75,119.87649670851914,0.061953801535443255,0.2463602655123563,39,372.213677477133,231,117,161.4997080992072,237.89791478951997,114,NA,NA,NA,NA,NA,NA,6076.718556242922,2107.42951111275,3725.179967131362,NA,NA,NA,134.5212799959599,dry year
2021,206,256,10.3483593935285,163.79017405950003,NA,NA,NA,0,0.07170380849956347,0.1538853476659044,38,325.425344969566,218,142,71.58659805848936,249.573687517821,76,NA,NA,NA,NA,NA,NA,6076.718556242922,2107.42951111275,3725.179967131362,NA,NA,NA,114.0028565734997,dry year
2022,156,285,15.9605531557757,46.742614728555345,34,52.8324336364693,35,42.376424593299596,0.05187266030514771,0.13577550392064067,54,314.169485700727,231,134,223.6786456961108,264.693392326984,97,NA,NA,NA,NA,NA,NA,6076.718556242922,2107.42951111275,3725.179967131362,NA,NA,NA,152.0015725588023,dry year
2023,145,298,41.91883030265585,79.0073335651663,NA,NA,NA,0,0.06642287522384338,0.20143452501616116,56,1634.45400728265,242,166,354.1106174139,666.549579807259,76,NA,NA,NA,NA,NA,NA,6076.718556242922,2107.42951111275,3725.179967131362,NA,NA,NA,438.390401417505,mod year
2024,152,291,30.1024900774651,292.9642586014391,NA,NA,NA,46.62204293551501,0.0671627509334794,0.1341202827252519,61,1679.56207693786,230,152,380.4488190649494,874.296813078691,78,NA,120,NA,NA,1,NA,6076.718556242922,2107.42951111275,3725.179967131362,NA,1,NA,489.5752729177922,wet year
2025,NA,295,27.5684248538011,42.6748727659537,4,629.78930062202,54,598.7039220304003,0.052180969474552474,0.13326036499750218,96,1833.12528944944,199,121,641.7649864276697,1249.950572357045,78,NA,90,NA,NA,14,NA,6076.718556242922,2107.42951111275,3725.179967131362,NA,3,NA,703.3165279393208,wet year
