Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
1991,NA,292,NA,NA,NA,NA,NA,NA,0.03467532605546321,0.1547690925036547,55,376.500150474458,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6062.894008662546,2099.56157502678,3722.15999089485,NA,NA,NA,150.8461265940496,dry year
1992,211,264,44.8734866676974,171.71985972047773,37,136.450595603537,68,82.78534280232896,0.04992179459964116,0.1393949029857251,51,532.921987164089,213,80,294.292286264268,369.163185117698,133,NA,NA,NA,NA,NA,NA,6062.894008662546,2099.56157502678,3722.15999089485,NA,NA,NA,156.73170309475645,dry year
1993,499,307,92.2598612035697,118.5089668932686,22,221.531095412807,72,176.4581994109316,0.04400648258397523,0.2407472154068084,63,2402.38198136552,244,134,512.0875763278345,948.561145744379,110,NA,205.5,NA,NA,5,NA,6062.894008662546,2099.56157502678,3722.15999089485,NA,2,NA,502.4485319882161,wet year
1994,NA,258,NA,NA,46,208.200626179441,73,118.3872334765837,0.056627870562655586,0.21862730166593172,36,356.256091325593,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6062.894008662546,2099.56157502678,3722.15999089485,NA,NA,NA,137.80258289934272,dry year
1995,110,344,101.713483049971,587.118229087558,NA,NA,NA,0,0.03298389293646445,0.11459271426869422,154,1646.32194248122,190,114,52.514844423948844,1001.94829758851,76,NA,103.5,124,NA,18,2,6062.894008662546,2099.56157502678,3722.15999089485,NA,6,1,696.3675515418366,wet year
1996,138,313,75.5604177219496,1577.522824261704,13,389.712855103804,67,287.42579483315546,0.04240710101089883,0.16992550448877533,105,1916.12211356144,208,119,921.1604385812138,1220.05118902667,89,NA,92,NA,NA,12,NA,6062.894008662546,2099.56157502678,3722.15999089485,NA,3,NA,666.8721604327317,wet year
1997,302,162,158.931990123539,640.7413597477579,32,1875.48040916206,50,1799.4553787681823,0.026064715181967298,0.07920508930631188,38,1758.68164492833,124,38,1121.718562138874,1508.35910663195,86,92,80,81,4,15,7,6062.894008662546,2099.56157502678,3722.15999089485,1,2,2,705.5900233522909,wet year
1998,142,331,173.157207939866,875.7251932529018,5,258.422071563829,58,97.79417427230499,0.03312838673602978,0.12642321859636607,111,1815.39274890794,220,121,885.6392464165891,1263.65523808833,99,NA,141,174,NA,10,3,6062.894008662546,2099.56157502678,3722.15999089485,NA,2,1,756.5642085630699,wet year
1999,158,308,113.626755086934,235.58816881960766,45,1480.51917330094,55,1298.8790125001526,0.04187805087071114,0.12470706232754991,68,1584.48743242611,240,132,789.5734124003191,1056.12169124957,108,NA,152,NA,NA,1,NA,6062.894008662546,2099.56157502678,3722.15999089485,NA,1,NA,652.2964742440554,wet year
2000,196,307,84.8859053683148,130.2538566371868,2,187.079855904145,52,72.871467438178,0.03688875253940674,0.13225956331146516,110,1531.54927550602,197,96,699.3860807023209,940.539034978986,101,NA,NA,NA,NA,NA,NA,6062.894008662546,2099.56157502678,3722.15999089485,NA,NA,NA,469.4714396910286,mod year
2001,255,252,27.151078247432302,570.1182226406236,NA,NA,NA,0,0.0844327507351257,0.14476452020498973,24,279.249909948214,228,90,157.049706123109,199.10947832352,138,NA,NA,NA,NA,NA,NA,6062.894008662546,2099.56157502678,3722.15999089485,NA,NA,NA,107.58526077640781,dry year
2002,145,296,55.275628173284,83.6320752917961,66,136.533172248512,68,109.1272193858884,0.04233645253165863,0.1630037090142113,99,1293.47630787529,197,55,481.931123477632,612.9845058052399,142,NA,NA,NA,NA,NA,NA,6062.894008662546,2099.56157502678,3722.15999089485,NA,NA,NA,321.84139977474575,dry year
2003,138,327,113.016015719243,401.7759504319728,NA,NA,NA,21.3053098458535,0.035811122836150414,0.16733340199519964,85,1504.19553194483,242,166,771.6138361551264,1080.44233819458,76,NA,89,NA,NA,8,NA,6062.894008662546,2099.56157502678,3722.15999089485,NA,5,NA,672.1320660915354,wet year
2004,180,299,64.5831151492304,364.419517980872,4,530.86155620176,67,416.766021393967,0.03736927821085159,0.15345234699103213,103,1023.32299012745,196,96,576.0520185713898,907.549005205117,100,NA,141,NA,NA,1,NA,6062.894008662546,2099.56157502678,3722.15999089485,NA,1,NA,429.0782273479171,mod year
