Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
1991,NA,283,NA,NA,NA,NA,NA,NA,0.036656674863363596,0.1657895755787317,46,368.322189217906,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6092.262650155075,2118.25627674371,3733.8303438027597,NA,NA,NA,143.18013380846006,dry year
1992,209,266,13.020344331544699,142.19035011121946,24,102.672386610882,68,89.5240822002279,0.04255049269702538,0.19799802892232476,53,541.391253547967,213,80,294.576152422439,373.051759099447,133,NA,NA,NA,NA,NA,NA,6092.262650155075,2118.25627674371,3733.8303438027597,NA,NA,NA,146.86128889834654,dry year
1993,497,309,16.0988333740178,30.09302958887792,20,146.772623089926,73,133.6980388636059,0.053393959985520004,0.2542121258430841,66,2412.68250123889,243,133,520.4444488799292,1005.73861586722,110,NA,205.5,NA,NA,5,NA,6092.262650155075,2118.25627674371,3733.8303438027597,NA,2,NA,482.8916765938393,mod year
1994,NA,264,NA,NA,72,202.563604244534,73,164.5878485910582,0.05407221233905317,0.17676370491367535,42,328.749865246095,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6092.262650155075,2118.25627674371,3733.8303438027597,NA,NA,NA,132.16549388605415,dry year
1995,131,323,57.172393639494004,564.5496187852222,NA,NA,NA,0,0.04949338685175167,0.1487271302272008,133,1656.35523169338,190,114,14.12030938594608,984.844717801793,76,NA,103.5,124,NA,17,2,6092.262650155075,2118.25627674371,3733.8303438027597,NA,6,1,665.9581808523183,wet year
1996,278,290,570.056544594162,1642.2451748418662,13,390.507050895445,67,332.7001622351095,0.057304384445203034,0.1941701152073392,82,1916.37123728124,208,119,955.918184055823,1239.26976584068,89,NA,92,NA,NA,12,NA,6092.262650155075,2118.25627674371,3733.8303438027597,NA,3,NA,658.2346692749637,wet year
1997,304,162,167.677683696432,640.0275538711476,49,1833.14204756676,50,1212.5061532502111,0.026399932887109706,0.08045086162960381,38,1791.2238651084,124,-79,485.5604289475734,739.8436379163265,203,92,80,81,4,15,7,6092.262650155075,2118.25627674371,3733.8303438027597,1,2,2,703.2158091782496,wet year
1998,191,324,540.2396438998101,1391.7742863336691,5,275.493332708177,58,106.03224812191996,0.048897711820876544,0.2158790413417268,104,1811.61379345025,220,119,894.4104695506617,1275.2983079637702,101,NA,141,174,NA,9,2,6092.262650155075,2118.25627674371,3733.8303438027597,NA,2,1,732.8284622241499,wet year
1999,195,306,105.1735008797965,749.1364635832825,54,1527.20217899742,55,986.8224208873571,0.05320588668570987,0.280674628809461,66,1578.31308802679,240,90,769.76229308163,1035.39762239757,150,NA,115,NA,NA,1,NA,6092.262650155075,2118.25627674371,3733.8303438027597,NA,1,NA,641.0216364717317,wet year
2000,216,303,56.5662974965067,139.4886436302836,51,182.657270207997,52,68.67971867721799,0.0481122268078861,0.1920758803948588,106,1550.61829634123,197,61,880.6372263333894,971.1673964131735,136,NA,NA,NA,NA,NA,NA,6092.262650155075,2118.25627674371,3733.8303438027597,NA,NA,NA,458.7260949376973,mod year
2001,298,257,11.7447442344119,695.3456168673846,NA,NA,NA,0,0.0657092934614998,0.15588695529704852,29,234.666753575896,228,74,170.6067426503556,210.16269516774,154,NA,NA,NA,NA,NA,NA,6092.262650155075,2118.25627674371,3733.8303438027597,NA,NA,NA,101.26731989052999,dry year
