Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
1991,NA,285,NA,NA,NA,NA,NA,NA,0.045302710470646525,0.15554784238616168,48,379.523715400487,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6113.53736621844,2133.56624749474,3780.0462885072498,NA,NA,NA,146.7578931594414,dry year
1992,257,267,32.150278879574955,570.089517211843,67,139.903470796769,68,72.9708696416856,0.04440289272106726,0.15011160447253097,54,563.74543760806,213,21,494.88179246213804,634.275652998278,192,NA,NA,NA,NA,NA,NA,6113.53736621844,2133.56624749474,3780.0462885072498,NA,NA,NA,155.98555380489705,dry year
1993,476,330,51.93839829533135,52.927570694749704,40,194.863106274759,72,161.162409501402,0.038996373498843606,0.242184235562609,87,2424.90959150324,243,84,915.8095390192979,1144.93550312721,159,NA,205.5,NA,NA,5,NA,6113.53736621844,2133.56624749474,3780.0462885072498,NA,2,NA,506.5291162465186,mod year
1994,NA,260,NA,NA,71,210.922696225338,73,150.25839937229028,0.06222628215863658,0.21080942056053273,38,362.012986934896,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6113.53736621844,2133.56624749474,3780.0462885072498,NA,NA,NA,140.39470855386347,dry year
1995,114,340,69.777596078935,663.5566372751393,NA,NA,NA,0,0.04199964024105425,0.13230858560116018,169,2758.77216215382,171,95,54.9193219874496,894.3885491157265,76,NA,103.5,124,NA,18,2,6113.53736621844,2133.56624749474,3780.0462885072498,NA,6,1,691.6302989778338,wet year
1996,268,300,639.755026009921,1662.929457470926,9,419.239292664041,67,347.2285609616645,0.04860813379935437,0.16879655633657412,92,1931.33235307763,208,119,981.8441850687275,1258.85117633159,89,NA,92,NA,NA,12,NA,6113.53736621844,2133.56624749474,3780.0462885072498,NA,3,NA,673.2380036089497,wet year
1997,304,162,179.009927281525,649.927840854552,49,1781.05761454095,50,1133.612492856035,0.02636993663936237,0.08063241598657077,38,1806.23280284937,124,-79,495.10996444793665,748.2410896364311,203,92,66,81,4,16,7,6113.53736621844,2133.56624749474,3780.0462885072498,1,3,2,721.9896949435602,wet year
1998,172,343,561.058171310713,1422.7087368245461,5,292.025955262806,58,108.686850396186,0.039396038307339405,0.20889716095947772,123,1838.38406841419,220,119,910.5109411328318,1281.924855853495,101,NA,141,174,NA,9,2,6113.53736621844,2133.56624749474,3780.0462885072498,NA,2,1,751.9747935076799,wet year
1999,146,320,67.8911838593578,258.68872999664484,54,1606.61493229423,55,1043.1254647100059,0.04410757721996958,0.19785887850346284,80,1587.24230342117,240,90,775.770609499017,1046.09502353743,150,NA,115,NA,NA,1,NA,6113.53736621844,2133.56624749474,3780.0462885072498,NA,1,NA,661.4875080694015,wet year
2000,202,314,76.1384542367751,149.10856158849,7,308.798762512215,62,238.27552217741743,0.04226577935024693,0.17175314857085525,117,1572.69781077096,197,96,742.1848490908294,958.431390736961,101,NA,NA,NA,NA,NA,NA,6113.53736621844,2133.56624749474,3780.0462885072498,NA,NA,NA,475.67165949792263,mod year
