Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
1991,NA,297,NA,NA,NA,NA,NA,NA,0.023623480904005532,0.05621120093944906,50,430.275657381981,247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6056.7406732200825,2312.50308894798,3730.1078345890514,NA,NA,NA,190.32981242418126,dry year
1992,211,264,90.3549006092512,191.63042497727284,3,162.5281799187,68,84.4756830054832,0.030267478099892456,0.059812834467296946,43,516.677199580296,221,88,307.7773912296548,410.77889582031,133,NA,NA,NA,NA,NA,NA,6056.7406732200825,2312.50308894798,3730.1078345890514,NA,NA,NA,206.95204708019352,dry year
1993,150,327,104.360448118815,184.381660044423,20,259.079700961276,72,167.54220453619138,0.029858857995992676,0.23665968066779983,83,2749.47079393437,244,134,521.782130853279,1012.13837738134,110,NA,205.5,NA,NA,5,NA,6056.7406732200825,2312.50308894798,3730.1078345890514,NA,2,NA,556.181347880197,mod year
1994,160,281,59.1240031101725,90.7005837836373,NA,NA,NA,38.075300914083016,0.02780478439707926,0.07437796075759119,58,568.920098998514,223,111,232.2719544382546,287.5207561355715,112,NA,NA,NA,NA,NA,NA,6056.7406732200825,2312.50308894798,3730.1078345890514,NA,NA,NA,191.41330987186814,dry year
1995,109,345,113.9561747128195,587.6775782578886,NA,NA,NA,0,0.03412262631091261,0.13340284382628761,174,2724.50651266356,171,95,66.63052587186395,888.474854751064,76,NA,103.5,124,NA,14,2,6056.7406732200825,2312.50308894798,3730.1078345890514,NA,6,1,744.5354609140596,wet year
1996,279,287,557.6375125762086,1623.985967546174,13,397.601432285504,67,283.393011120771,0.03614747545731759,0.06577788885422946,52,1676.10602178968,235,146,913.6155908226597,1222.07180924198,89,NA,135.5,NA,NA,9,NA,6056.7406732200825,2312.50308894798,3730.1078345890514,NA,2,NA,717.9796258286898,wet year
1997,293,162,220.66761911172,704.5048476404636,45,1930.14845339853,50,1339.7118922758168,0.02599447917864904,0.07912357958990902,38,1763.05817032589,124,-77,513.084782405207,734.9826598708515,201,92,80,81,4,13,7,6056.7406732200825,2312.50308894798,3730.1078345890514,1,2,2,759.2576999214979,wet year
1998,142,331,178.451060417986,870.5966452965222,NA,NA,NA,65.61581982392002,0.03182496223514188,0.0810734959838234,77,1655.07989809118,254,164,773.6417645445287,1213.45601151511,90,NA,141,174,NA,9,2,6056.7406732200825,2312.50308894798,3730.1078345890514,NA,2,1,781.2053420663862,wet year
1999,151,315,137.6148678486415,244.1802685248958,46,1475.72573864299,55,1290.2351531014506,0.03315506841944558,0.0990912894121233,75,1852.2559065842,240,132,866.1251463345011,1086.97350787263,108,NA,NA,NA,NA,NA,NA,6056.7406732200825,2312.50308894798,3730.1078345890514,NA,NA,NA,712.4085789418638,wet year
2000,202,317,108.274040743533,141.8563620590562,3,210.111934421616,59,71.472234126084,0.02643081368426722,0.07691579721673668,80,1205.4542148578,237,136,708.6383517253406,945.320003232579,101,NA,NA,NA,NA,NA,NA,6056.7406732200825,2312.50308894798,3730.1078345890514,NA,NA,NA,509.6774616177686,mod year
2001,182,274,66.7174167102148,151.61117305213108,NA,NA,NA,0,0.03365430519868001,0.11235968596256304,46,610.733318419559,228,74,207.8971783655386,308.104653554485,154,NA,NA,NA,NA,NA,NA,6056.7406732200825,2312.50308894798,3730.1078345890514,NA,NA,NA,160.8829721474606,dry year
2002,138,303,80.3881125114707,120.02866409247703,9,159.773922025494,68,92.07662549628704,0.03063123391190654,0.16120022621691665,106,1396.02589018491,197,106,491.17596370618776,600.009880887646,91,NA,NA,NA,NA,NA,NA,6056.7406732200825,2312.50308894798,3730.1078345890514,NA,NA,NA,383.07563026086353,dry year
2003,130,335,123.913721321995,406.540710724967,NA,NA,NA,15.621959891223483,0.03349827746897353,0.08665178012922825,93,1646.87814848271,242,166,790.5800030233952,1099.75717199959,76,NA,97.5,NA,NA,3,NA,6056.7406732200825,2312.50308894798,3730.1078345890514,NA,2,NA,726.0986276642676,wet year
2004,167,312,97.72992732907684,368.2559881147033,9,544.387196191824,67,419.80724365337755,0.025749430537118503,0.06821349911549127,95,1128.31014278622,217,117,595.609223801124,921.964133364238,100,NA,141,NA,NA,1,NA,6056.7406732200825,2312.50308894798,3730.1078345890514,NA,1,NA,484.05384180245653,mod year
2005,107,317,91.0469475010807,194.9855521157986,10,1313.10059462249,70,1214.2732599364508,0.032283029883655986,0.07896662266264236,86,1634.63397311338,231,117,620.6864139092781,763.6593341747925,114,NA,NA,NA,NA,NA,NA,6056.7406732200825,2312.50308894798,3730.1078345890514,NA,NA,NA,476.1965355372755,mod year
2006,127,309,107.4979743737,240.33933664450927,1,177.931955253319,38,85.85062930948848,0.03501425641435081,0.10301362535488626,77,2329.75679694189,232,173,790.3160953742289,1327.800447282375,59,92,85,89,2,32,6,6056.7406732200825,2312.50308894798,3730.1078345890514,1,6,1,963.9524565671396,wet year
2007,132,296,90.225928503349,152.02541082336822,4,250.586911902952,45,141.976772810676,0.027439819822737903,0.13030580430650773,107,919.367810508493,189,118,397.1902085229788,663.370524076491,71,NA,74,75,NA,3,1,6056.7406732200825,2312.50308894798,3730.1078345890514,NA,1,1,425.2685387773625,mod year
2008,144,308,100.697708161129,169.2489345868292,13,347.461271944852,18,255.71392914837,0.03245309683022216,0.0919816339595903,67,1338.40441169977,241,178,245.4592141144762,515.108639798302,63,NA,230,NA,NA,1,NA,6056.7406732200825,2312.50308894798,3730.1078345890514,NA,1,NA,431.0830854974215,mod year
2009,149,292,74.84824065259684,106.3414321167632,8,268.953195393682,44,165.91056474816298,0.03668735158184323,0.0922730304298274,56,990.335331014084,236,149,221.6818003444769,469.138998545096,87,NA,NA,NA,NA,NA,NA,6056.7406732200825,2312.50308894798,3730.1078345890514,NA,NA,NA,315.4245613762481,dry year
2010,97,333,99.65517137638204,342.59690058498586,NA,NA,NA,26.374378747752203,0.03125137884040788,0.16465936487680738,85,2353.23021887228,248,172,247.83586911586522,540.240747483146,76,NA,248,NA,NA,1,NA,6056.7406732200825,2312.50308894798,3730.1078345890514,NA,1,NA,462.2977394523429,mod year
2011,112,341,113.636613764739,134.2761522205304,24,204.760552552909,25,102.58438197083,0.0328597414939287,0.10079464673379222,69,1589.54838385946,272,207,524.9405945364607,1011.20891497143,65,NA,NA,NA,NA,NA,NA,6056.7406732200825,2312.50308894798,3730.1078345890514,NA,NA,NA,696.7053191076884,wet year
2012,171,310,90.02767384432835,525.8914255896344,NA,NA,NA,35.096962468113006,0.03318656709529142,0.12618281973723763,81,1491.25017242238,229,141,189.981219821142,463.337236142154,88,NA,183,NA,NA,1,NA,6056.7406732200825,2312.50308894798,3730.1078345890514,NA,1,NA,412.13859024971106,mod year
2013,170,290,75.7158758279231,95.1431647749009,40,169.724475186194,52,77.8093448054646,0.027896460650268014,0.08124881913290369,69,875.762535243125,221,105,375.9852736689075,508.139858453951,116,NA,66,NA,NA,1,NA,6056.7406732200825,2312.50308894798,3730.1078345890514,NA,1,NA,339.8709810657189,dry year
2014,228,218,82.2154380617533,281.18061673303407,NA,NA,NA,0,0.021852393352964107,0.04291833407963006,26,418.35842879439,192,97,86.17535707125647,352.9608834486795,95,NA,NA,NA,NA,NA,NA,6056.7406732200825,2312.50308894798,3730.1078345890514,NA,NA,NA,184.2544428095972,dry year
2015,278,193,94.0096293693845,311.27927941999485,14,338.559261923391,54,255.38765269132034,0.03504485824248793,0.36515066271837787,63,6156.38214994473,130,49,417.06147722084114,557.8383238699585,81,130,130,130,1,4,2,6056.7406732200825,2312.50308894798,3730.1078345890514,1,1,1,385.67306245582324,mod year
2016,135,299,114.842605547302,536.7709179799915,13,287.207665455717,71,192.1840718916314,0.03267417113685319,0.10967109730792099,104,1915.7007082208,195,89,932.6775242004452,1329.18084610553,106,NA,140,NA,NA,7,NA,6056.7406732200825,2312.50308894798,3730.1078345890514,NA,4,NA,602.7065480800799,wet year
2017,86,328,101.053863115173,154.0668773191646,17,262.385268215841,18,144.7161425472065,0.03620523156341053,0.14063418788991747,111,2323.89983493541,217,148,788.0794712012412,1445.28523161672,69,133,77,132,1,25,3,6056.7406732200825,2312.50308894798,3730.1078345890514,1,5,1,1011.4101923345717,wet year
2018,160,281,71.0981970346456,103.080119780188,1,182.049391982289,44,80.098460715476,0.030136754489540882,0.06602828342148634,63,580.302498402569,218,169,204.0245867229057,334.41074706146696,49,NA,NA,NA,NA,NA,NA,6056.7406732200825,2312.50308894798,3730.1078345890514,NA,NA,NA,270.77724627458025,dry year
2019,165,315,86.67882364257905,167.713552198535,NA,NA,NA,28.2624299929508,0.02880083394995491,0.16517755414990926,94,1621.9244943107,221,145,245.818219992139,764.3062383771485,76,NA,191,NA,NA,1,NA,6056.7406732200825,2312.50308894798,3730.1078345890514,NA,1,NA,542.8847539408104,mod year
2020,178,290,65.3847662594101,100.50683238728283,22,194.042493967924,69,106.812577593308,0.03034987450644315,0.0639458936201784,46,480.808002628934,244,129,215.4809756673763,273.3210862734795,115,NA,NA,NA,NA,NA,NA,6056.7406732200825,2312.50308894798,3730.1078345890514,NA,NA,NA,199.70378934227278,dry year
2021,185,276,87.95908045265645,208.697890612413,NA,NA,NA,1.7962780724214014,0.025889313419733846,0.0654909134584301,49,480.299414204727,227,124,239.797101599317,304.441218748032,103,NA,NA,NA,NA,NA,NA,6056.7406732200825,2312.50308894798,3730.1078345890514,NA,NA,NA,183.92560802128975,dry year
2022,146,295,66.3234946819954,100.22654265659081,16,142.38825407598,28,52.808440917269195,0.028545415082169227,0.07946180958409423,47,464.433564439854,248,152,249.1196618886992,289.376333419263,96,NA,NA,NA,NA,NA,NA,6056.7406732200825,2312.50308894798,3730.1078345890514,NA,NA,NA,220.547575728491,dry year
2023,131,323,94.4068662349586,182.6208172154607,NA,NA,NA,0,0.030942630563233375,0.09964928563075358,81,1813.70120089413,242,166,351.52690320213935,657.007099065558,76,NA,NA,NA,NA,NA,NA,6056.7406732200825,2312.50308894798,3730.1078345890514,NA,NA,NA,503.1086341178232,mod year
2024,139,308,90.3244580585521,363.2081533823995,5,201.379843535179,68,105.9012057754257,0.032725092424560544,0.10452532058534593,78,1930.22222998823,230,141,516.4622501578048,901.488064211972,89,NA,NA,NA,NA,NA,NA,6056.7406732200825,2312.50308894798,3730.1078345890514,NA,NA,NA,558.8493820065444,wet year
2025,NA,305,107.756239442141,143.162066274665,4,902.785530791077,54,811.5854324906649,0.03186504593087373,0.11760397241054286,83,1825.98755767099,222,140,747.672478540767,1463.76522506454,82,NA,90,NA,NA,10,NA,6056.7406732200825,2312.50308894798,3730.1078345890514,NA,3,NA,775.6532480864527,wet year
