Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
1991,NA,282,NA,NA,NA,NA,NA,NA,0.043750106592126255,0.16304110414023582,45,359.988295723281,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6098.3598254677645,2122.22120643029,3743.386639772898,NA,NA,NA,138.81464595870108,dry year
1992,211,264,10.160319624489,105.49445029920862,67,84.0025850039032,68,72.58183383087156,0.04544271280266753,0.16719775284670557,51,550.35529312762,213,70,317.055123146447,403.559147363248,143,NA,NA,NA,NA,NA,NA,6098.3598254677645,2122.22120643029,3743.386639772898,NA,NA,NA,141.3375044914964,dry year
1993,499,307,28.0872112055044,36.4288607655643,20,74.2478810992855,72,64.04005568641259,0.05455522495208579,0.2544660262429896,64,2401.50728938786,243,133,527.5246471804439,1001.9354428863151,110,NA,205.5,NA,NA,5,NA,6098.3598254677645,2122.22120643029,3743.386639772898,NA,2,NA,478.7969147678283,mod year
1994,NA,257,NA,NA,72,179.43782332712,73,137.95398674584948,0.053513989740984765,0.19760956646872377,35,332.764174155961,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6098.3598254677645,2122.22120643029,3743.386639772898,NA,NA,NA,126.87798777695552,dry year
1995,128,326,56.3443301014655,582.297564532624,NA,NA,NA,0,0.049961036440969726,0.1495001550537274,136,1656.29322665926,190,114,12.64732711460362,985.169580037234,76,NA,103.5,124,NA,17,2,6098.3598254677645,2122.22120643029,3743.386639772898,NA,6,1,663.3914739762314,wet year
1996,278,290,565.049055642429,1599.3649620031401,3,2051.07502804459,74,1994.3510714064557,0.05980304568864112,0.18696929580211874,82,1917.10348526161,208,119,966.2054936279219,1240.2442094899002,89,NA,92,NA,NA,12,NA,6098.3598254677645,2122.22120643029,3743.386639772898,NA,3,NA,654.6144350098921,wet year
1997,301,165,165.0940173066165,623.9077287071349,49,1592.11155834166,50,975.6130388263559,0.025430458780781547,0.08041605075758892,41,1794.00796062514,124,-79,479.13030662967094,739.90885151681,203,92,80,81,4,15,7,6098.3598254677645,2122.22120643029,3743.386639772898,1,2,2,699.855649435433,wet year
1998,188,327,544.337984549716,1399.9233132700822,5,286.741246176994,58,116.95576735637704,0.05007861495037115,0.19946708093002496,107,1803.93694077529,220,119,896.927056466686,1276.2635142117351,101,NA,141,174,NA,9,2,6098.3598254677645,2122.22120643029,3743.386639772898,NA,2,1,734.814684550897,wet year
1999,197,303,67.8732404117787,764.234538159055,53,1542.03666882433,55,997.4557733202575,0.05855066688699135,0.2775254336523833,63,1555.92027854993,240,90,759.359507819098,1033.43639131513,150,NA,115,NA,NA,1,NA,6098.3598254677645,2122.22120643029,3743.386639772898,NA,1,NA,637.6864599049209,wet year
2000,215,304,46.71580051462525,138.612507184657,61,270.986367847605,62,196.97733079371469,0.04651879125201424,0.2019299473056485,107,1553.93137613717,197,62,882.6591953727753,978.742392433537,135,NA,NA,NA,NA,NA,NA,6098.3598254677645,2122.22120643029,3743.386639772898,NA,NA,NA,458.0080286207743,mod year
2001,303,252,10.567067947850951,696.8257918861788,NA,NA,NA,0,0.08757221542990584,0.1216963512973319,24,252.54390849525,228,74,158.57510271714781,210.949954733745,154,NA,NA,NA,NA,NA,NA,6098.3598254677645,2122.22120643029,3743.386639772898,NA,NA,NA,96.67945848114948,dry year
2002,157,284,9.688612342279619,26.724403582476732,67,48.1277924762913,68,37.400149065663,0.05035196561247024,0.162332058307314,87,1291.20088252966,197,7,782.4759164528442,881.048944664743,190,NA,NA,NA,NA,NA,NA,6098.3598254677645,2122.22120643029,3743.386639772898,NA,NA,NA,295.0397612725006,dry year
2003,154,311,59.4655335413375,408.99741966157103,NA,NA,NA,0,0.04800865557535419,0.2553863349914339,134,2152.69809083321,177,101,709.7211876949186,1144.13466948617,76,NA,89,NA,NA,8,NA,6098.3598254677645,2122.22120643029,3743.386639772898,NA,5,NA,648.25658929821,wet year
2004,194,285,14.4755661049011,368.28949126985503,9,520.545054806743,67,461.0676700065774,0.04596119719410356,0.16365482258033312,102,1046.8539210117,183,83,589.1013233820865,886.0136186703735,100,NA,141,NA,NA,2,NA,6098.3598254677645,2122.22120643029,3743.386639772898,NA,1,NA,420.81643134351845,mod year
2005,139,304,14.602127903049901,643.1277238300992,14,1143.48993157703,70,1128.7052276642917,0.0517559778231245,0.21439446594986103,73,1468.06584845265,231,117,601.6745873023059,779.7061511700899,114,NA,NA,NA,NA,NA,NA,6098.3598254677645,2122.22120643029,3743.386639772898,NA,NA,NA,408.15835458356963,mod year
2006,276,160,174.629849980553,1335.4155810374123,35,73.0146962058469,36,58.2899262691648,0.04083613532149539,0.11904522419837406,35,3412.96880232293,125,47,1777.713920525786,2452.070412347855,78,92,92,86.5,2,41,7,6098.3598254677645,2122.22120643029,3743.386639772898,1,4,2,899.4311053154281,wet year
2007,137,270,10.50964258021205,22.43223985549398,1,373.180588148251,47,198.303938103917,0.053496280460375696,0.20109223008244714,93,991.452729578816,177,106,402.5171905728542,639.571831176095,71,NA,74,75,NA,3,1,6098.3598254677645,2122.22120643029,3743.386639772898,NA,1,1,360.39466049852166,mod year
2008,216,293,22.359637805447,229.9819540266352,19,36.7872769209908,20,26.220888698728096,0.06770908745790669,0.2294752820964813,52,1153.52048226758,241,199,69.89614340965494,497.442171199885,42,NA,NA,NA,NA,NA,NA,6098.3598254677645,2122.22120643029,3743.386639772898,NA,NA,NA,357.5996077515118,mod year
2009,256,287,15.9360769035803,516.5429057503054,44,126.23311015786,45,101.24392305481959,0.05969807236308423,0.13098865433243093,51,796.002234942292,236,92,417.58341082872585,567.801596850446,144,NA,NA,NA,NA,NA,NA,6098.3598254677645,2122.22120643029,3743.386639772898,NA,NA,NA,246.5140210202791,dry year
2010,159,313,97.3286909957452,897.3963941102315,71,55.7628643036061,72,39.5707636275937,0.058140256767048926,0.2847933183781042,65,2036.51222408569,248,70,580.66639478935,927.346391042287,178,NA,NA,NA,NA,NA,NA,6098.3598254677645,2122.22120643029,3743.386639772898,NA,NA,NA,392.53530449646667,mod year
2011,114,337,75.5548793685397,113.0078745440978,38,379.630726197997,39,261.197060474375,0.04735772942205335,0.17657385618809288,72,1376.60576635493,265,158,549.3475989212072,1024.57862272342,107,NA,NA,NA,NA,NA,NA,6098.3598254677645,2122.22120643029,3743.386639772898,NA,NA,NA,645.5807974489713,wet year
2012,186,295,16.2956995617075,524.6841953413268,NA,NA,NA,36.2917712728688,0.0584216061246396,0.14492912771119834,66,1330.82880257755,229,143,186.6076260547895,466.7357005895615,86,NA,183,NA,NA,1,NA,6098.3598254677645,2122.22120643029,3743.386639772898,NA,1,NA,359.7476962165162,mod year
2013,172,269,11.1475969260782,42.59492918907217,51,123.191348368819,52,102.5427997681879,0.055834321465676434,0.17941764544051353,48,635.238468149014,221,105,379.0937000661525,490.72130780836096,116,NA,66,NA,NA,1,NA,6098.3598254677645,2122.22120643029,3743.386639772898,NA,1,NA,284.15767812983563,dry year
2014,245,244,8.873592750551635,630.900016376549,NA,NA,NA,0,0.04293439329519246,0.1252345921576248,64,606.546527608921,180,104,57.74733031134821,96.6120260208248,76,NA,NA,NA,NA,NA,NA,6098.3598254677645,2122.22120643029,3743.386639772898,NA,NA,NA,135.2035092980223,dry year
2015,328,193,12.652227760339,1031.904290656696,53,103.992153748072,54,95.09402997489269,0.03653746512797641,0.3627205147681216,63,6209.84708397734,130,6,519.9640222675272,895.892304031806,124,130,130,130,1,5,2,6098.3598254677645,2122.22120643029,3743.386639772898,1,1,1,327.57850769809875,mod year
2016,144,290,13.86052112726,499.12618623558416,70,167.33335343347,71,154.29083606902626,0.057151536671435424,0.14838592973451845,95,1859.30024251363,195,39,1248.7151925589749,1692.76945575577,156,NA,110,NA,NA,10,NA,6098.3598254677645,2122.22120643029,3743.386639772898,NA,5,NA,531.4634799342464,wet year
2017,160,307,54.2448077649574,257.058610701213,17,159.768686135665,18,145.55799270224762,0.052438037071052795,0.2767347010843677,90,2180.61220948849,217,148,816.6174332545006,1455.98864115475,69,133,89.5,132,1,31,3,6098.3598254677645,2122.22120643029,3743.386639772898,1,6,1,948.2766494182865,wet year
2018,174,267,9.64321541990449,20.826360073195602,40,112.195787622902,41,57.371937856079406,0.061940690798084605,0.19059258003371843,58,651.839059175122,209,107,253.4933269617528,351.2822514472535,102,NA,NA,NA,NA,NA,NA,6098.3598254677645,2122.22120643029,3743.386639772898,NA,NA,NA,216.77050094254,dry year
2019,182,297,44.2703027585142,159.44241621836804,NA,NA,NA,0,0.05453642752082302,0.17266713490581181,76,1453.73132275053,221,145,178.388761094979,777.978246216371,76,NA,191,NA,NA,2,NA,6098.3598254677645,2122.22120643029,3743.386639772898,NA,1,NA,466.7789644158066,mod year
2020,171,270,9.3782248284977,12.75028069016126,3,152.704551103712,75,107.85964315707909,0.05716226641221957,0.24783269420822995,39,358.725665591491,231,117,170.6691229028075,242.03163754739148,114,NA,NA,NA,NA,NA,NA,6098.3598254677645,2122.22120643029,3743.386639772898,NA,NA,NA,133.8028992192078,dry year
2021,208,254,10.8089815898593,173.8011406419061,NA,NA,NA,0,0.07225427024747089,0.12746809823165614,36,310.593744896053,218,142,38.19673677200194,261.314228325925,76,NA,NA,NA,NA,NA,NA,6098.3598254677645,2122.22120643029,3743.386639772898,NA,NA,NA,111.8156308712716,dry year
2022,152,289,23.9285719883066,51.18261496975024,35,52.0034913191174,36,41.10614846829525,0.045129313509429704,0.14796997417056107,58,311.695668770003,231,134,239.2844830522602,277.260165542248,97,NA,NA,NA,NA,NA,NA,6098.3598254677645,2122.22120643029,3743.386639772898,NA,NA,NA,156.75530142156833,dry year
2023,145,298,34.49557392552465,75.0299109064803,NA,NA,NA,0,0.06268778791857342,0.21299843583648745,56,1615.47903627176,242,166,350.94593851286163,662.228274449963,76,NA,NA,NA,NA,NA,NA,6098.3598254677645,2122.22120643029,3743.386639772898,NA,NA,NA,435.38910486479267,mod year
2024,197,291,31.8772233420199,1099.3418895028008,NA,NA,NA,49.918564894067984,0.06575087124929033,0.13102175065826624,61,1658.63098402665,230,152,383.8353680822016,888.680019067973,78,NA,120,NA,NA,1,NA,6098.3598254677645,2122.22120643029,3743.386639772898,NA,1,NA,490.4798569901294,wet year
2025,NA,294,12.70589930969625,28.428430221801346,53,623.147077761572,54,590.164593023479,0.05333711914167846,0.15031523398748933,95,1834.86547687695,199,76,1098.380259682308,1338.97398332167,123,NA,90,NA,NA,14,NA,6098.3598254677645,2122.22120643029,3743.386639772898,NA,3,NA,699.6119655572875,wet year
