Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
1991,NA,282,NA,NA,NA,NA,NA,NA,0.04535511325785127,0.15419617674493005,45,377.784856360319,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6020.72747908006,2092.60225588771,3728.2040307135635,NA,NA,NA,141.22106442573838,dry year
1992,210,265,10.4617934547902,116.471073555074,67,95.6405865706825,68,72.6231991998254,0.047597536023458155,0.14050076211225435,52,539.857763191993,213,21,472.417568881379,609.8228212936544,192,NA,NA,NA,NA,NA,NA,6020.72747908006,2092.60225588771,3728.2040307135635,NA,NA,NA,141.51234056937483,dry year
1993,499,307,25.7110985948885,35.48708816965608,20,75.6909430192141,72,65.12326973546641,0.054116568741411956,0.2427970027108091,64,2417.19758765535,243,133,509.9688679906581,1003.994545461295,110,NA,205.5,NA,NA,5,NA,6020.72747908006,2092.60225588771,3728.2040307135635,NA,2,NA,478.2765206346217,mod year
1994,NA,259,NA,NA,72,181.622726227747,73,140.6511812058784,0.059849150024841126,0.2147864394315553,37,354.29947894379,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6020.72747908006,2092.60225588771,3728.2040307135635,NA,NA,NA,126.8089547467731,dry year
1995,129,325,54.71308065495075,570.3540175261342,NA,NA,NA,0,0.05053914478441396,0.13661736337834726,135,1660.29134559285,190,114,12.96157140690518,981.804223089916,76,NA,103.5,124,NA,17,2,6020.72747908006,2092.60225588771,3728.2040307135635,NA,6,1,662.9287877397562,wet year
1996,277,291,587.497044286107,1601.938436596476,3,2041.4229655649399,74,1986.293255632789,0.05993811395850408,0.17043160157211623,83,1918.26204339744,208,119,955.3420522440883,1236.5174494366802,89,NA,92,NA,NA,13,NA,6020.72747908006,2092.60225588771,3728.2040307135635,NA,3,NA,654.882488873694,wet year
1997,302,162,164.558515754714,641.3840458093619,49,1615.99048583795,50,993.2252887841951,0.025871741457144385,0.08174780754522619,38,1779.33704637274,124,-79,485.73872305391745,737.387674511576,203,92,66,81,4,16,7,6020.72747908006,2092.60225588771,3728.2040307135635,1,3,2,698.7088496189089,wet year
1998,189,326,541.7065309577655,1388.4601847012998,5,278.222633268601,58,108.22938240452399,0.05289824743210888,0.2078550782192627,106,1832.31967361394,220,121,889.7109375725964,1265.138903700345,99,NA,141,174,NA,10,2,6020.72747908006,2092.60225588771,3728.2040307135635,NA,2,1,734.5568599426662,wet year
1999,197,303,70.0987000000143,748.5270893890522,54,1523.37437975873,55,977.1704401546149,0.0616145358426189,0.26266862536795416,63,1587.85573226232,240,90,767.857671737004,1036.24112792761,150,NA,152,NA,NA,1,NA,6020.72747908006,2092.60225588771,3728.2040307135635,NA,1,NA,638.9662104619605,wet year
2000,213,303,47.29033621786725,131.67837672212744,61,272.175225477035,62,196.87572346720648,0.048458292348340495,0.1966019731561906,106,1553.65372274445,197,62,873.8325069576896,967.617700175236,135,NA,NA,NA,NA,NA,NA,6020.72747908006,2092.60225588771,3728.2040307135635,NA,NA,NA,456.3345483165564,mod year
2001,302,253,10.3725450354453,684.7822806661495,NA,NA,NA,0,0.0811311952819742,0.16542253598924156,25,278.973732087286,228,77,159.8941136953851,205.293644614527,151,NA,NA,NA,NA,NA,NA,6020.72747908006,2092.60225588771,3728.2040307135635,NA,NA,NA,96.42125915066482,dry year
2002,157,284,9.588333198753876,29.207659870210904,67,47.8165206652694,68,37.124017596109,0.04991020813202057,0.16234718142853874,87,1304.10066814768,197,7,791.6164353573541,890.8673825507051,190,NA,NA,NA,NA,NA,NA,6020.72747908006,2092.60225588771,3728.2040307135635,NA,NA,NA,296.1535080794131,dry year
2003,124,305,50.2201006476566,88.10241099523313,NA,NA,NA,0,0.05270186346603718,0.2465431489877517,63,1503.17541220752,242,166,776.2591127065025,1081.02658338751,76,NA,89,NA,NA,8,NA,6020.72747908006,2092.60225588771,3728.2040307135635,NA,5,NA,645.6975445737917,wet year
2004,194,285,14.4300498320318,360.1087767772468,2,94.9870077328144,55,44.621007237080356,0.04647000845507866,0.15455082480478985,89,1031.48345754445,196,132,384.6126741439828,689.002595886136,64,NA,141,NA,NA,1,NA,6020.72747908006,2092.60225588771,3728.2040307135635,NA,1,NA,422.34483414010896,mod year
2005,138,305,14.3254027465344,624.5389988122272,21,1153.96592120087,70,1139.0776145194582,0.05277688871142694,0.20995816894357913,74,1482.52516081868,231,117,603.2373716648406,769.1572024256825,114,NA,NA,NA,NA,NA,NA,6020.72747908006,2092.60225588771,3728.2040307135635,NA,NA,NA,407.2396739734528,mod year
2006,276,160,181.126587858512,1347.012533391424,35,74.2633108292652,36,59.793078710489596,0.04078751948159909,0.11824351261884153,35,3387.17458550977,125,47,1777.143735802033,2428.500426875545,78,92,92,89,2,42,6,6020.72747908006,2092.60225588771,3728.2040307135635,1,4,1,899.1079638592414,wet year
2007,137,270,10.192648893958651,23.255148310517832,1,375.021479598878,47,191.1857172701205,0.055223327126778354,0.2073100568211591,94,984.115862318352,176,105,397.53699323702847,630.888469624975,71,NA,74,75,NA,3,1,6020.72747908006,2092.60225588771,3728.2040307135635,NA,1,1,360.31611813877066,mod year
2008,216,293,26.1155524867474,231.86159678428078,18,45.8072101354852,19,35.562594115322,0.06701255314815986,0.2302953322657377,52,1171.18648082124,241,199,84.12190606916224,484.0209628922005,42,NA,NA,NA,NA,NA,NA,6020.72747908006,2092.60225588771,3728.2040307135635,NA,NA,NA,357.37006392518896,mod year
2009,257,286,16.268525865724,501.712748509822,44,141.004180729049,45,111.82433577761351,0.05882336517306315,0.13493315123394276,50,809.983654850248,236,92,413.1225062667338,560.602595760105,144,NA,NA,NA,NA,NA,NA,6020.72747908006,2092.60225588771,3728.2040307135635,NA,NA,NA,246.41067223254777,dry year
2010,158,314,102.38460477554,879.1739157029132,71,55.7469563541807,72,37.621099937831104,0.05848732423998068,0.2692884141072465,66,2069.1145282474,248,70,580.873745836204,926.802774065517,178,NA,NA,NA,NA,NA,NA,6020.72747908006,2092.60225588771,3728.2040307135635,NA,NA,NA,392.7216276458258,mod year
2011,116,337,75.0234549439629,114.2765008120144,38,378.809987183445,39,259.3828736968135,0.04829165289988842,0.16612306467710242,72,1391.25420020604,265,158,541.8864191289284,1027.36966672784,107,NA,NA,NA,NA,NA,NA,6020.72747908006,2092.60225588771,3728.2040307135635,NA,NA,NA,643.7696398380144,wet year
2012,186,295,21.312989968405,505.914122969881,NA,NA,NA,0,0.05868101611956972,0.13942444399646445,66,1348.53346742144,229,141,197.17236421559662,477.675747006316,88,NA,183,NA,NA,1,NA,6020.72747908006,2092.60225588771,3728.2040307135635,NA,1,NA,360.13797732653586,mod year
2013,173,268,11.008632690534899,43.68821200549877,51,124.031694380646,52,100.8665637688053,0.058243917954385264,0.18581387585204875,47,660.04976007065,221,105,375.694573468743,488.951344067492,116,NA,66,NA,NA,1,NA,6020.72747908006,2092.60225588771,3728.2040307135635,NA,1,NA,282.61066190710767,dry year
2014,226,248,8.77821903495574,557.0940672679577,NA,NA,NA,0,0.04201635553153701,0.1536100867482191,68,602.64576924967,180,104,57.93937997087684,116.961951510406,76,NA,NA,NA,NA,NA,NA,6020.72747908006,2092.60225588771,3728.2040307135635,NA,NA,NA,134.22216718575683,dry year
2015,328,193,13.6250295227998,1026.400140155476,24,105.228943680409,54,96.40401384580609,0.036004273428020366,0.36194236267296387,63,6117.02060221546,130,21,442.09759767950214,565.3483106571225,109,130,130,130,1,5,2,6020.72747908006,2092.60225588771,3728.2040307135635,1,1,1,326.89744262843845,mod year
2016,144,290,13.4928631562408,486.41656028845534,70,195.884509438616,71,180.59515260246866,0.05717288086037833,0.1365763732031856,95,1905.8620584104,195,39,1277.90369246491,1690.6034895277248,156,NA,110,NA,NA,10,NA,6020.72747908006,2092.60225588771,3728.2040307135635,NA,5,NA,534.050164058289,wet year
