Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
1991,NA,283,NA,NA,NA,NA,NA,NA,0.04364346014274292,0.1432369896844424,46,387.230430223056,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6068.741365406662,2106.40154367171,3725.2850119155955,NA,NA,NA,142.63890763888512,dry year
1992,209,266,9.817679478969175,114.39616848418828,67,83.1029929162998,68,60.027612241120096,0.046110260672416525,0.12123694785917599,53,530.974203448976,213,21,463.53850113127515,599.585348727554,192,NA,NA,NA,NA,NA,NA,6068.741365406662,2106.40154367171,3725.2850119155955,NA,NA,NA,140.29235921968484,dry year
1993,499,307,24.878834900429,34.0712235296956,20,76.0429738414567,72,65.97641792709629,0.05750226034399801,0.24241964777774125,63,2446.36897384488,244,134,504.1032489860012,1000.66200989987,110,NA,205.5,NA,NA,5,NA,6068.741365406662,2106.40154367171,3725.2850119155955,NA,2,NA,478.7098047436051,mod year
1994,NA,260,NA,NA,72,185.880767648452,73,146.5428979127652,0.06310559672436554,0.20448813684363484,38,367.401183526233,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6068.741365406662,2106.40154367171,3725.2850119155955,NA,NA,NA,127.46530382517584,dry year
1995,130,324,51.2446674170776,553.650265982157,NA,NA,NA,0,0.052226614586524486,0.13059675977140445,134,1641.41189585074,190,114,13.2212292792637,962.152918987706,76,NA,103.5,124,NA,17,2,6068.741365406662,2106.40154367171,3725.2850119155955,NA,6,1,660.814032741561,wet year
1996,275,291,558.9288072633215,1598.26636522858,3,2028.98558136484,74,1977.3557122715727,0.06001345565402434,0.16636149325507046,83,1912.87471741073,208,119,939.9498032243156,1235.1366010054949,89,NA,92,NA,NA,12,NA,6068.741365406662,2106.40154367171,3725.2850119155955,NA,3,NA,654.2267504722128,wet year
1997,304,162,166.511298293605,635.9924689831402,49,1670.75466444505,50,1063.8523129570854,0.026408645279031622,0.0793790852708566,38,1782.24846270773,124,-77,480.1857778198542,729.3089335716486,201,92,80,81,4,15,7,6068.741365406662,2106.40154367171,3725.2850119155955,1,2,2,699.4858074365973,wet year
1998,147,324,122.7958016206875,860.5498269701318,5,268.900419586133,58,99.54387090957002,0.054521629127227245,0.2006815439932354,104,1843.52410998665,220,119,885.8885377175682,1267.99796113704,101,NA,141,174,NA,9,2,6068.741365406662,2106.40154367171,3725.2850119155955,NA,2,1,732.7137775426098,wet year
1999,197,304,66.78588179419515,732.6229575444465,25,1496.80471172126,55,1355.075591185941,0.06493652958423549,0.24960446792334007,64,1613.48347148553,240,134,787.8373450172569,1062.47804515246,106,NA,NA,NA,NA,NA,NA,6068.741365406662,2106.40154367171,3725.2850119155955,NA,NA,NA,638.4301767533265,wet year
2000,200,303,41.3980718066572,126.064061627467,51,163.379700733644,52,93.4949548874456,0.05034111468686287,0.1876681181256105,106,1542.10247508994,197,61,872.0434103516454,959.468432085428,136,NA,NA,NA,NA,NA,NA,6068.741365406662,2106.40154367171,3725.2850119155955,NA,NA,NA,453.24526330202343,mod year
