Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
1991,NA,308,NA,NA,NA,NA,NA,NA,0.033366933911643734,0.06421332503682976,61,397.044196272895,247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6010.13512272442,2266.72604342369,3690.535461569096,NA,NA,NA,170.27753734248162,dry year
1992,203,272,47.62970035581655,176.96489662028713,8,147.830632521783,68,101.53212547803265,0.029629842602384292,0.06423538803586643,51,470.150698350285,221,88,296.97219533937346,404.270496745098,133,NA,NA,NA,NA,NA,NA,6010.13512272442,2266.72604342369,3690.535461569096,NA,NA,NA,177.7218376251131,dry year
1993,116,340,70.8588747698047,151.6376369805356,20,246.830947764769,72,198.34019694753286,0.03772116886786594,0.23955414818747453,96,2729.3475648988,244,134,498.2561620067024,1004.29925708249,110,NA,205.5,NA,NA,5,NA,6010.13512272442,2266.72604342369,3690.535461569096,NA,2,NA,527.6186414191094,wet year
1994,155,286,20.3622478150004,48.870536760386756,NA,NA,NA,27.46218492968802,0.04085436491567157,0.08271209513273935,64,520.996338644376,222,131,176.6246099684157,259.228365898713,91,NA,NA,NA,NA,NA,NA,6010.13512272442,2266.72604342369,3690.535461569096,NA,NA,NA,158.4791285682304,dry year
1995,151,340,94.44835279371205,1298.4941296369282,NA,NA,NA,0,0.04202452862968764,0.13639462291531268,169,2664.72887758002,171,95,55.385015762312605,873.4282929930225,76,NA,103.5,124,NA,14,2,6010.13512272442,2266.72604342369,3690.535461569096,NA,6,1,710.1601449478944,wet year
1996,237,329,688.7769948407765,1695.0875284663211,46,367.511926070358,67,272.62046821773873,0.037860572532585714,0.06811814404800312,94,1662.01416180118,235,109,931.6341679028872,1204.381307050905,126,NA,135.5,NA,NA,9,NA,6010.13512272442,2266.72604342369,3690.535461569096,NA,2,NA,683.228671014372,wet year
1997,301,162,185.4173546124845,675.0271189788144,49,1882.53189794645,50,1190.5576586865845,0.02621778894177583,0.07865281062117034,38,1751.87825802732,124,-77,501.8224733048699,723.4680757071819,201,92,80,81,4,14,7,6010.13512272442,2266.72604342369,3690.535461569096,1,2,2,732.732433750489,wet year
1998,175,340,486.8180152947815,1322.34942001309,NA,NA,NA,44.549627875623,0.03945505683142421,0.08211134160947539,86,1636.21311912071,254,156,877.6617612914404,1214.31504895878,98,NA,141,174,NA,9,2,6010.13512272442,2266.72604342369,3690.535461569096,NA,2,1,753.3992091245436,wet year
1999,128,338,110.991091528923,231.3017170764796,54,1456.85037624657,55,960.574181714943,0.036428510671923126,0.10624904649800856,98,1813.48232353243,240,90,802.436044046008,1034.97335591494,150,NA,NA,NA,NA,NA,NA,6010.13512272442,2266.72604342369,3690.535461569096,NA,NA,NA,671.3483003102385,wet year
2000,174,329,88.6867076887174,128.00575683244017,2,284.481303696845,62,169.46674760371099,0.03698019685520178,0.08059867221531822,92,1188.69740547942,237,136,672.3592185253458,916.279289484759,101,NA,NA,NA,NA,NA,NA,6010.13512272442,2266.72604342369,3690.535461569096,NA,NA,NA,477.5133558507754,mod year
2001,228,280,31.570734951659,576.0767960609634,NA,NA,NA,-33.415714565445896,0.04493155603701967,0.11827264407772613,52,540.651157863879,228,90,154.893336982744,228.520432018633,138,NA,NA,NA,NA,NA,NA,6010.13512272442,2266.72604342369,3690.535461569096,NA,NA,NA,128.4868662275415,dry year
2002,129,312,29.43191135577045,109.35240474819133,27,129.192618202236,68,96.21752583755794,0.03737170949435246,0.16264061879540254,115,1377.42724109171,197,54,469.9676261368296,600.803847787928,143,NA,NA,NA,NA,NA,NA,6010.13512272442,2266.72604342369,3690.535461569096,NA,NA,NA,343.56418483725986,dry year
2003,113,352,109.8603028197105,397.9762655918821,NA,NA,NA,0,0.03692259780395664,0.09198395377269011,110,1629.74399535023,242,166,683.4231319532364,1057.79901530038,76,NA,97.5,NA,NA,3,NA,6010.13512272442,2266.72604342369,3690.535461569096,NA,2,NA,676.5991238971445,wet year
2004,116,316,40.9680421666123,86.93917121364925,9,526.137238559431,67,414.497305426294,0.03599162500609827,0.07677586563345265,99,1109.29826304376,217,117,522.1210658199305,881.186708651225,100,NA,141,NA,NA,1,NA,6010.13512272442,2266.72604342369,3690.535461569096,NA,1,NA,438.5964552533021,mod year
2005,115,329,42.599683998313296,579.6345239331805,23,63.0141793314326,24,21.423242031047103,0.038584217189567546,0.07945226647988378,98,1620.33451683729,231,164,306.60857876095724,660.641812093847,67,NA,NA,NA,NA,NA,NA,6010.13512272442,2266.72604342369,3690.535461569096,NA,NA,NA,435.37617034177543,mod year
2006,127,309,59.4754106121974,221.837737078631,27,88.093098386813,36,45.211696130489294,0.04249332651669963,0.10366796046844183,77,2315.27533116222,232,153,834.4793015009739,1486.0364360071299,79,92,85,89,2,32,6,6010.13512272442,2266.72604342369,3690.535461569096,1,6,1,924.9517526717099,wet year
2007,127,301,38.6328489955354,136.2722303773782,16,223.049699655778,45,163.0979436458495,0.0337059871983789,0.1356601483541141,112,901.161423981156,189,118,370.5401056096712,629.098416580039,71,NA,74,75,NA,3,1,6010.13512272442,2266.72604342369,3690.535461569096,NA,1,1,387.6026527513728,mod year
2008,128,324,40.0659539369959,153.84124357503921,17,291.530977699747,18,252.0757402413064,0.0372622247707408,0.09865888505094336,83,1320.41530846931,241,178,233.82433609727337,476.653910583816,63,NA,230,NA,NA,1,NA,6010.13512272442,2266.72604342369,3690.535461569096,NA,1,NA,392.53667746307167,mod year
2009,139,306,37.9609516961212,82.96549624222641,34,96.7992918509578,35,56.538013881801,0.04373270341426084,0.09677075106910596,70,946.773463359943,236,149,201.90163776457507,448.75005116621196,87,NA,NA,NA,NA,NA,NA,6010.13512272442,2266.72604342369,3690.535461569096,NA,NA,NA,282.624669948514,dry year
