Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
1991,NA,294,NA,NA,NA,NA,NA,NA,0.04129258738743558,0.10446114662047977,57,427.288788645557,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6102.655871028696,2177.93765483624,3792.753682763636,NA,NA,NA,156.35212880060118,dry year
1992,242,282,45.149466292359,568.7601693363556,67,127.59615002387,68,70.1384841792881,0.03876821577445124,0.09055879294170509,69,565.441972183609,213,21,495.40431873514723,635.1764835516251,192,NA,NA,NA,NA,NA,NA,6102.655871028696,2177.93765483624,3792.753682763636,NA,NA,NA,161.42172644937366,dry year
1993,149,330,69.17366009814485,183.5694198477633,71,201.106040422097,72,154.60301281838332,0.035341623113479645,0.23985369340613932,86,2546.77932116727,244,85,900.7345620340204,1139.683529593035,159,NA,205.5,NA,NA,5,NA,6102.655871028696,2177.93765483624,3792.753682763636,NA,2,NA,514.8586195164196,mod year
1994,166,275,9.9218800219499,36.40737318053746,18,205.320899035588,73,135.23409116785882,0.042404725884268746,0.1917317245373062,52,434.437392763539,223,109,222.2309564921266,272.69137957811404,114,NA,NA,NA,NA,NA,NA,6102.655871028696,2177.93765483624,3792.753682763636,NA,NA,NA,145.8768243435577,dry year
1995,112,342,74.7491817861269,633.5743380500961,NA,NA,NA,0,0.04315305045941617,0.13313657027999162,171,2743.18343442673,171,95,54.7266567736601,895.3039306197305,76,NA,103.5,124,NA,17,2,6102.655871028696,2177.93765483624,3792.753682763636,NA,6,1,703.3367716285928,wet year
1996,255,311,653.815086448952,1677.0813237815,3,2092.63761142792,74,2015.763396137161,0.0446061607167934,0.16520296028824547,103,1921.00424362086,208,119,971.1981455147996,1243.7218662600549,89,NA,92,NA,NA,12,NA,6102.655871028696,2177.93765483624,3792.753682763636,NA,3,NA,684.7853621864208,wet year
1997,279,162,166.02610992347348,668.2552904738815,49,1793.13081624007,50,1134.506558852264,0.02631891202276839,0.08036687477259008,38,1806.91150660119,124,-77,495.1332050955292,739.2758442898,201,92,80,81,4,15,7,6102.655871028696,2177.93765483624,3792.753682763636,1,2,2,734.125764151533,wet year
1998,174,341,552.967515758099,1417.290469630964,NA,NA,NA,90.33979377958099,0.04028953155194162,0.18316798276772397,121,1870.41986646327,220,144,302.7791699255398,1201.66377395872,76,NA,141,174,NA,9,2,6102.655871028696,2177.93765483624,3792.753682763636,NA,2,1,760.63037555379606,wet year
1999,140,326,71.1426142202588,249.411902200719,53,1557.78083830802,55,1003.7682495671736,0.0379969533941882,0.18724239588334757,86,1692.992808761,240,90,798.522492294746,1045.81516297804,150,NA,NA,NA,NA,NA,NA,6102.655871028696,2177.93765483624,3792.753682763636,NA,NA,NA,673.9801549301517,wet year
2000,202,317,73.7298836053004,139.9245606830602,2,289.091114349669,62,207.3321919280318,0.04154760776711689,0.15812730586369314,80,1115.4748554832,237,136,709.827614001995,948.93452477316,101,NA,NA,NA,NA,NA,NA,6102.655871028696,2177.93765483624,3792.753682763636,NA,NA,NA,481.54480245725625,mod year
