Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
1991,NA,300,NA,NA,NA,NA,NA,NA,0.024236162717646156,0.056394992208326354,53,429.639257658048,247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6122.442221032502,2324.93904257709,3867.7755232060435,NA,NA,NA,189.6413060527786,dry year
1992,211,264,90.02602051299675,210.85984184078703,3,165.940766145467,68,90.0175208776346,0.03048813624439331,0.059829594903201895,43,517.080293612244,221,88,314.4269149069746,413.630636908223,133,NA,NA,NA,NA,NA,NA,6122.442221032502,2324.93904257709,3867.7755232060435,NA,NA,NA,208.34494821157318,dry year
1993,152,325,106.599021955697,190.1621347335422,11,272.018937639887,72,180.72209799801104,0.031234824822280512,0.2359490316869014,81,2755.36474641935,244,134,554.6024703834821,1018.6115884975,110,NA,205.5,NA,NA,5,NA,6122.442221032502,2324.93904257709,3867.7755232060435,NA,2,NA,569.2831275466201,mod year
1994,160,281,61.7525056385347,89.3971619418618,NA,NA,NA,35.99271245076801,0.02789290229429984,0.07440163284117204,58,569.771084371172,223,111,235.940785767222,291.6076665232555,112,NA,NA,NA,NA,NA,NA,6122.442221032502,2324.93904257709,3867.7755232060435,NA,NA,NA,193.20743482016567,dry year
1995,113,341,116.02097504769151,660.928241017765,NA,NA,NA,0,0.034646908774293245,0.13263054558366658,170,2756.41989470923,171,95,75.83168463703069,963.337922250151,76,NA,103.5,124,NA,15,2,6122.442221032502,2324.93904257709,3867.7755232060435,NA,6,1,767.3644644649537,wet year
1996,241,325,695.3455637318909,1781.0079737275462,13,441.052802636261,67,324.715319887719,0.02628861631183762,0.06566611035411782,90,1680.38391953575,235,146,960.372830891563,1233.3657584853,89,NA,135.5,NA,NA,9,NA,6122.442221032502,2324.93904257709,3867.7755232060435,NA,2,NA,737.8461220144138,wet year
1997,294,162,223.805425349785,706.4510986009428,45,1957.0910099833,50,1254.613886364954,0.026221729273235926,0.07979976744990808,38,1812.63297309805,124,-77,517.4017797001458,742.1609994287285,201,92,80,81,4,14,7,6122.442221032502,2324.93904257709,3867.7755232060435,1,2,2,781.6732091389438,wet year
1998,142,331,216.752530518479,938.8028940237024,NA,NA,NA,77.70220321289199,0.0321730422405915,0.08073612540786325,77,1662.84552791453,254,163,874.3970307076643,1256.12822750637,91,NA,141,174,NA,9,2,6122.442221032502,2324.93904257709,3867.7755232060435,NA,2,1,800.4524169183761,wet year
1999,149,317,140.57055626847,258.1380504952572,46,1585.19617816875,55,1354.4619252787345,0.03139304342827102,0.09981019357927959,77,1853.29204871661,240,132,895.1833539218758,1099.58092565344,108,NA,NA,NA,NA,NA,NA,6122.442221032502,2324.93904257709,3867.7755232060435,NA,NA,NA,728.5561521215216,wet year
2000,197,322,109.5625846469965,143.9523296310178,2,306.43091410585,62,165.46221971208098,0.025098360365119775,0.07610933161477086,85,1213.9153065503,237,136,747.2973419533386,970.330961991172,101,NA,NA,NA,NA,NA,NA,6122.442221032502,2324.93904257709,3867.7755232060435,NA,NA,NA,526.0362143944109,mod year
2001,183,274,70.29542190440115,209.64371793699286,NA,NA,NA,0,0.03419899000843245,0.11263265709553721,46,611.30632341184,228,74,211.10122331038622,311.455357367505,154,NA,NA,NA,NA,NA,NA,6122.442221032502,2324.93904257709,3867.7755232060435,NA,NA,NA,162.63279123152432,dry year
2002,138,303,81.4927054221561,142.21070223161328,10,210.507282933481,68,139.76088374237372,0.030426598633164274,0.1607778752445203,106,1401.3079670201,197,105,504.7827170714695,643.2207886041144,92,NA,NA,NA,NA,NA,NA,6122.442221032502,2324.93904257709,3867.7755232060435,NA,NA,NA,399.2296759259937,dry year
2003,131,334,126.227197812319,424.129789520089,NA,NA,NA,26.45213436848509,0.033495865990196244,0.08678033117618068,92,1655.01306998915,242,166,820.2356742796594,1123.96570305232,76,NA,97.5,NA,NA,3,NA,6122.442221032502,2324.93904257709,3867.7755232060435,NA,2,NA,747.7360127572898,wet year
2004,168,312,98.7507909633026,423.67329431670134,9,553.958778834838,67,426.908849426943,0.025673918363337503,0.06845398966104912,95,1138.28020076056,217,117,630.3775391516874,951.0435951492,100,NA,141,NA,NA,1,NA,6122.442221032502,2324.93904257709,3867.7755232060435,NA,1,NA,500.41706528654515,mod year
2005,106,318,91.6860918776446,208.5813518033654,10,1359.16158805186,70,1259.3326084310293,0.03172311316560755,0.07876661345155789,87,1641.28437066521,231,116,637.8267144096756,800.310501666837,115,NA,NA,NA,NA,NA,NA,6122.442221032502,2324.93904257709,3867.7755232060435,NA,NA,NA,496.83545028651173,mod year
2006,276,160,265.475326081555,1445.5992133379282,9,143.046676418491,36,50.338390475598544,0.04027325714750364,0.11935463755615452,35,3421.51809893542,125,66,723.1239375494662,2175.0863224829,59,92,82,89,2,35,6,6122.442221032502,2324.93904257709,3867.7755232060435,1,5,1,986.3876385041393,wet year
2007,147,281,98.6117782927129,153.317521344681,1,474.022640922422,47,204.66866697812503,0.03190075183924959,0.12963644169900532,92,927.714865256241,189,118,439.34797892365384,696.240345013617,71,NA,74,75,NA,3,1,6122.442221032502,2324.93904257709,3867.7755232060435,NA,1,1,440.5428150184398,mod year
2008,144,308,101.232835720901,172.44688938659877,14,350.275000717848,18,250.224098662779,0.033433070475949116,0.09228616883081973,67,1345.72055611758,241,178,263.22441663538115,576.24560343796,63,NA,230,NA,NA,1,NA,6122.442221032502,2324.93904257709,3867.7755232060435,NA,1,NA,449.3592492695498,mod year
2009,149,292,76.6104425240007,107.041514321485,3,272.501882057234,44,168.77736770494403,0.036865823343294434,0.09169997751991636,56,996.794072926508,236,149,227.2494804597531,483.370584446008,87,NA,NA,NA,NA,NA,NA,6122.442221032502,2324.93904257709,3867.7755232060435,NA,NA,NA,321.8681695049169,dry year
2010,94,335,106.411682553341,366.48151194419285,NA,NA,NA,26.744046466647305,0.03026347674683752,0.16417238955055677,87,2363.91883221891,248,172,267.0065618576466,572.472738125348,76,NA,248,NA,NA,1,NA,6122.442221032502,2324.93904257709,3867.7755232060435,NA,1,NA,476.82146463504796,mod year
2011,107,346,115.6823568503305,136.6488437228037,24,242.89202585881,25,135.8802964341025,0.03074560435317625,0.101454106296558,74,1596.83440453954,272,208,551.3838736705088,1039.88900220902,64,NA,NA,NA,NA,NA,NA,6122.442221032502,2324.93904257709,3867.7755232060435,NA,NA,NA,720.479321830934,wet year
2012,108,316,79.5922000346398,106.0285094268176,NA,NA,NA,34.4864560791265,0.03236946251525456,0.12538841610426563,87,1506.48464989852,229,141,197.93454423718242,479.6252065331615,88,NA,183,NA,NA,1,NA,6122.442221032502,2324.93904257709,3867.7755232060435,NA,1,NA,423.8918269565795,mod year
2013,184,290,80.3106695726823,96.07858653482285,1,120.627789676125,56,40.44291225439821,0.02774931004729349,0.08074432892584678,69,881.263285072727,221,162,385.1506759252438,528.987140341783,59,NA,66,NA,NA,1,NA,6122.442221032502,2324.93904257709,3867.7755232060435,NA,1,NA,357.5327866521997,dry year
