Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
1991,NA,282,NA,NA,NA,NA,NA,NA,0.04562982443329063,0.15489523983095507,45,375.917756849127,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6025.666791105685,2067.83314537359,3629.2736703920637,NA,NA,NA,140.52904823715386,dry year
1992,211,264,10.469988378531351,128.0974404923472,67,102.075564655265,68,74.3109692800106,0.04836560361592625,0.14110770385787239,51,534.409086146482,213,21,466.96840135438475,590.8563110883474,192,NA,NA,NA,NA,NA,NA,6025.666791105685,2067.83314537359,3629.2736703920637,NA,NA,NA,140.38503588012549,dry year
1993,499,307,25.9987614884704,40.073057580311364,21,92.5278521110802,73,81.95994870977019,0.05421095634543679,0.2428547199534405,64,2415.61925911716,243,133,493.3464587132569,974.1993894460155,110,NA,205.5,NA,NA,5,NA,6025.666791105685,2067.83314537359,3629.2736703920637,NA,2,NA,470.64250389008726,mod year
1994,NA,258,NA,NA,72,204.624186438654,73,154.6098018995751,0.05617981080666462,0.2159876393557448,36,352.341615834206,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6025.666791105685,2067.83314537359,3629.2736703920637,NA,NA,NA,133.13782088483597,dry year
1995,129,325,70.77502287297435,561.5915740106041,NA,NA,NA,0,0.05054607939022114,0.13666238706008452,135,1654.67941996048,190,114,12.95060579414116,971.597712167417,76,NA,104,124,NA,17,2,6025.666791105685,2067.83314537359,3629.2736703920637,NA,6,1,656.5597937763112,wet year
1996,277,291,582.32796212252,1584.150271367485,3,1878.70614238061,74,1807.1766527161012,0.06008621817569454,0.17068765082378295,83,1916.05548982669,208,119,941.8338733948127,1238.17846497818,89,NA,92,NA,NA,14,NA,6025.666791105685,2067.83314537359,3629.2736703920637,NA,3,NA,654.8513432191293,wet year
1997,304,162,182.169882845884,639.1843508046836,49,1493.28415825809,50,873.8066585835429,0.02641469631537911,0.08052308504214097,38,1789.87258862329,124,-79,482.1569452396586,738.0435095642645,203,92,66,81,4,16,8,6025.666791105685,2067.83314537359,3629.2736703920637,1,3,2,697.2575890266389,wet year
1998,189,326,540.311581183954,1396.819938832105,5,294.252765718792,58,109.53684663118696,0.05156442989605135,0.20821685672738588,106,1815.59997733442,220,119,892.8605398903226,1273.37216674408,101,NA,141,174,NA,10,3,6025.666791105685,2067.83314537359,3629.2736703920637,NA,2,1,733.8938707797008,wet year
1999,197,303,88.712331258848,731.3537140873307,54,1426.15306129059,55,885.6915153932699,0.06187499783218387,0.26286267985361883,63,1587.36075469926,240,90,765.691501141675,1035.67740121005,150,NA,133.5,NA,NA,2,NA,6025.666791105685,2067.83314537359,3629.2736703920637,NA,2,NA,639.7423778956152,wet year
2000,200,303,65.037779221749,146.761064076315,61,288.983846049381,62,194.9265868406709,0.048565789241376986,0.19678883357641577,106,1550.10643804047,197,62,872.7363462411624,967.291529989174,135,NA,NA,NA,NA,NA,NA,6025.666791105685,2067.83314537359,3629.2736703920637,NA,NA,NA,456.3813798324966,mod year
