Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
1991,NA,282,NA,NA,NA,NA,NA,NA,0.04562034795506127,0.1547689566037518,45,376.501916207796,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5787.024987575276,2068.90423431165,3597.433819695358,NA,NA,NA,141.5124117075965,dry year
1992,211,264,10.477680763119949,115.47137092695512,67,94.7116882144817,68,72.2990154637687,0.04829374432968446,0.14086986686033465,51,538.711916701259,213,21,471.16844742709503,606.943265818321,192,NA,NA,NA,NA,NA,NA,5787.024987575276,2068.90423431165,3597.433819695358,NA,NA,NA,141.8470407756357,dry year
1993,499,307,26.1934928555063,48.45388091543957,20,75.6872766701302,72,65.1149362507064,0.05420181029270901,0.24283650251624353,64,2415.98834643296,243,133,516.1567946397,1001.8025019677505,110,NA,205.5,NA,NA,5,NA,5787.024987575276,2068.90423431165,3597.433819695358,NA,2,NA,475.71667959671856,mod year
1994,NA,258,NA,NA,55,186.71507256335,73,126.31775091240888,0.056159160209786736,0.21565750275247828,36,353.173926124407,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5787.024987575276,2068.90423431165,3597.433819695358,NA,NA,NA,130.01936201472813,dry year
1995,129,325,80.51399867137704,585.1574026523485,NA,NA,NA,0,0.05054947979245353,0.13669154516738277,135,1650.89396562314,190,114,12.952257327040659,963.091864039613,76,NA,104,124,NA,15,2,5787.024987575276,2068.90423431165,3597.433819695358,NA,6,1,653.7532011539066,wet year
1996,277,291,582.3205640268216,1581.544952263871,3,1992.44511963081,74,1911.2709655823498,0.060097428951332396,0.17070710240251802,83,1915.85786666258,208,119,955.8041062376144,1227.299320012205,89,NA,92,NA,NA,12,NA,5787.024987575276,2068.90423431165,3597.433819695358,NA,3,NA,654.1905365469621,wet year
1997,304,162,192.284105590049,639.1787920145447,49,1641.98772111154,50,1022.5170881777524,0.02641423547684783,0.08051688067482261,38,1789.80085570643,124,-79,482.14933868933025,738.0379303373979,203,92,80,81,4,15,8,5787.024987575276,2068.90423431165,3597.433819695358,1,2,2,699.4364861472425,wet year
1998,189,326,553.225202467125,1365.827304975333,5,314.944111281205,58,121.27405012153548,0.05156594900160823,0.20822932284177767,106,1815.14975620667,220,119,886.8771481069538,1255.32359263384,101,NA,141,174,NA,9,2,5787.024987575276,2068.90423431165,3597.433819695358,NA,2,1,734.2059583566135,wet year
1999,163,303,73.28931065704815,256.69523054619333,54,1502.54105615643,55,947.2910848181209,0.06188136130627177,0.2628743224231967,63,1587.26551954469,240,90,765.540187604231,1021.33866554187,150,NA,NA,NA,NA,NA,NA,5787.024987575276,2068.90423431165,3597.433819695358,NA,NA,NA,640.0415018912821,wet year
2000,201,303,54.0525349363541,131.7738260536184,7,307.39383961492,62,233.08305835281112,0.04856482535410843,0.19678755179656002,106,1549.71785408572,197,96,713.1396964855894,934.766354040628,101,NA,NA,NA,NA,NA,NA,5787.024987575276,2068.90423431165,3597.433819695358,NA,NA,NA,462.5704836449145,mod year
