Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
1991,NA,282,NA,NA,NA,NA,NA,NA,0.04562131271664653,0.15477287446529753,45,376.491235973508,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6090.283066890497,2083.40797612534,3657.732877468569,NA,NA,NA,140.11045580557905,dry year
1992,170,264,16.6572829195623,29.0446049009176,NA,NA,NA,0,0.04801546465148698,0.1407737927593111,51,539.138512970924,213,126,109.7369172978976,306.102034009596,87,NA,NA,NA,NA,NA,NA,6090.283066890497,2083.40797612534,3657.732877468569,NA,NA,NA,139.62626657430314,dry year
1993,521,307,28.3553762339413,46.75868371940102,22,32.0177021435087,23,15.258446488733998,0.05406667432326982,0.24278818943032052,64,2416.55710058573,243,174,119.28644380609941,654.259421798912,69,NA,168,NA,NA,6,NA,6090.283066890497,2083.40797612534,3657.732877468569,NA,3,NA,472.0490538801944,mod year
1994,NA,259,NA,NA,73,175.149748090284,74,112.315800267052,0.05985108904979091,0.21696894344157155,37,353.570549888127,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6090.283066890497,2083.40797612534,3657.732877468569,NA,NA,NA,131.9432205750246,dry year
1995,129,325,77.66201234272259,571.1156862207746,33,30.4417969925748,34,17.517834520440502,0.0504442335051111,0.13654714064843357,130,1566.57128831622,195,97,808.4149152250429,1214.66737815726,98,NA,142,124,NA,15,2,6090.283066890497,2083.40797612534,3657.732877468569,NA,4,1,657.783172111762,wet year
1996,275,291,558.8546219390485,1592.2254522293151,3,1614.61803690216,74,1536.5312635079868,0.06000652702146959,0.17188662978779776,83,1916.49549259022,208,119,957.2911684338962,1238.988249906285,89,NA,92,NA,NA,14,NA,6090.283066890497,2083.40797612534,3657.732877468569,NA,3,NA,655.0977967575191,wet year
1997,304,162,178.201450304043,639.8085538890775,51,1242.28761665743,52,633.8651199971694,0.026397798936792914,0.08048442770723016,38,1790.63426549262,124,-77,479.4832938908048,732.7981575301025,201,92,66,81,4,16,8,6090.283066890497,2083.40797612534,3657.732877468569,1,3,2,694.7957578944853,wet year
1998,189,326,541.0144820222636,1359.2660851317737,1,273.679548534166,61,91.75267882628049,0.05155748567861656,0.20846899986969872,106,1815.72464137797,220,119,894.7138609591939,1265.81315224537,101,NA,141,174,NA,10,3,6090.283066890497,2083.40797612534,3657.732877468569,NA,2,1,733.3556925404476,wet year
1999,154,303,67.2013707019479,226.96154453147858,54,1251.18548211037,55,710.084266612565,0.0618396107049617,0.2628523650752044,63,1587.47855200205,240,90,765.82025253091,1035.83455965183,150,NA,133.5,NA,NA,2,NA,6090.283066890497,2083.40797612534,3657.732877468569,NA,2,NA,638.6662338157472,wet year
2000,216,303,74.2554672128861,153.7765057415936,NA,NA,NA,25.390335967174963,0.048540488991230785,0.19730288273394342,106,1550.58698727325,197,105,428.20281110711846,922.7113410298266,92,NA,NA,NA,NA,NA,NA,6090.283066890497,2083.40797612534,3657.732877468569,NA,NA,NA,456.556051623647,mod year
