"name","type","landcover_id","curtail_id","mar_id","natveg_kc","natveg_rd","natveg_rd_mult","natveg_extD","alf_curtail_month","alf_curtail_day","nSubws","nSFR_inflow_segs","start_date","end_date","num_stress_periods","full_name","irr_to_natveg_acres","grain_from_alf_acres","grain_from_pas_acres","irr_eff_change","stream_inflow_id","reservoir_id"
"alf_curtail_07.15","update","basecase","early_alf_cutoff","basecase",0.6,2.4384,1.4,0.5,7,15,8,12,"1990-10-01","2025-09-30",420,"alf_curtail_07.15_update_2025-09-30",NA,NA,NA,NA,"basecase",NA
"alf_curtail_07.31","update","basecase","early_alf_cutoff","basecase",0.6,2.4384,1.4,0.5,7,31,8,12,"1990-10-01","2025-09-30",420,"alf_curtail_07.31_update_2025-09-30",NA,NA,NA,NA,"basecase",NA
"alf_curtail_08.15","update","basecase","early_alf_cutoff","basecase",0.6,2.4384,1.4,0.5,8,15,8,12,"1990-10-01","2025-09-30",420,"alf_curtail_08.15_update_2025-09-30",NA,NA,NA,NA,"basecase",NA
"basecase_0_curtail","update","basecase","none","basecase",0.6,2.4384,1.4,0.5,NA,NA,8,12,"1990-10-01","2025-09-30",420,"basecase_0_curtail_update_2025-09-30",NA,NA,NA,NA,"basecase",NA
"basecase_0_mar_0_curt","update","basecase","none","none",0.6,2.4384,1.4,0.5,NA,NA,8,12,"1990-10-01","2025-09-30",420,"basecase_0_mar_0_curt_update_2025-09-30",NA,NA,NA,NA,"basecase",NA
"basecase_0_mar","update","basecase","basecase","none",0.6,2.4384,1.4,0.5,NA,NA,8,12,"1990-10-01","2025-09-30",420,"basecase_0_mar_update_2025-09-30",NA,NA,NA,NA,"basecase",NA
"basecase","update","basecase","basecase","basecase",0.6,2.4384,1.4,0.5,NA,NA,8,12,"1990-10-01","2025-09-30",420,"basecase_update_2025-09-30",NA,NA,NA,NA,"basecase",NA
"eflows25_div_lims","update","basecase","basecase","basecase",0.6,2.4384,1.4,0.5,NA,NA,8,12,"1990-10-01","2025-09-30",420,"eflows25_div_lims_update_2025-09-30",NA,NA,NA,NA,"emergency_flows_2025",NA
"grain_12k","update","crop_change","basecase","basecase",0.6,2.4384,1.4,0.5,NA,NA,8,12,"1990-10-01","2025-09-30",420,"grain_12k_update_2025-09-30",NA,6000,4000,NA,"basecase",NA
"grain_14k","update","crop_change","basecase","basecase",0.6,2.4384,1.4,0.5,NA,NA,8,12,"1990-10-01","2025-09-30",420,"grain_14k_update_2025-09-30",NA,7500,5500,NA,"basecase",NA
