Date,PRCP_mm_cal,PRCP_mm_fj,PRCP_mm_et,PRCP_mm_gv,PRCP_mm_yr,PRCP_mm_y2,PRCP_mm_orig,mean_PRCP_fjcal,month_day1,water_year,fj_interp,cal_interp,gv_interp,interp_cal_fj_gv_mean,interp_cal_fj_mean,interp_cal_gv_mean,stitched
1935-10-01,NA,NA,NA,NA,0,NA,NA,NA,1935-10-01,1936,0,0,0,0,0,0,0
1935-10-02,NA,NA,NA,NA,9.9,NA,NA,NA,1935-10-01,1936,7.79582884206243,9.00797201644988,7.60025608669529,8.13468564840253,8.40190042925615,8.30411405157259,8.40190042925615
1935-10-03,NA,NA,NA,NA,4.3,NA,NA,NA,1935-10-01,1936,3.38606707281499,3.91255350209439,3.30112133058482,3.5332473018314,3.64931028745469,3.60683741633961,3.64931028745469
1935-10-04,NA,NA,NA,NA,0,NA,NA,NA,1935-10-01,1936,0,0,0,0,0,0,0
1935-10-05,NA,NA,NA,NA,0,NA,NA,NA,1935-10-01,1936,0,0,0,0,0,0,0
1935-10-06,NA,NA,NA,NA,0,NA,NA,NA,1935-10-01,1936,0,0,0,0,0,0,0
1935-10-07,NA,NA,NA,NA,0,NA,NA,NA,1935-10-01,1936,0,0,0,0,0,0,0
1935-10-08,NA,NA,NA,NA,0,NA,NA,NA,1935-10-01,1936,0,0,0,0,0,0,0
1935-10-09,NA,NA,NA,NA,0,NA,NA,NA,1935-10-01,1936,0,0,0,0,0,0,0
1935-10-10,NA,NA,NA,NA,0,NA,NA,NA,1935-10-01,1936,0,0,0,0,0,0,0
1935-10-11,NA,NA,NA,NA,4.6,NA,NA,NA,1935-10-01,1936,3.62230431045325,4.18552235107772,3.53143212109074,3.77975292754057,3.90391333076548,3.85847723608423,3.90391333076548
1935-10-12,NA,NA,NA,NA,2,NA,NA,NA,1935-10-01,1936,1.57491491758837,1.81979232655553,1.53540527003945,1.64337083806112,1.69735362207195,1.67759879829749,1.69735362207195
1935-10-13,NA,NA,NA,NA,5.1,NA,NA,NA,1935-10-01,1936,4.01603303985034,4.6404704327166,3.9152834386006,4.19059563705585,4.32825173628347,4.2778769356586,4.32825173628347
1935-10-14,NA,NA,NA,NA,5.1,NA,NA,NA,1935-10-01,1936,4.01603303985034,4.6404704327166,3.9152834386006,4.19059563705585,4.32825173628347,4.2778769356586,4.32825173628347
1935-10-15,NA,NA,NA,NA,0,NA,NA,NA,1935-10-01,1936,0,0,0,0,0,0,0
1935-10-16,NA,NA,NA,NA,0,NA,NA,NA,1935-10-01,1936,0,0,0,0,0,0,0
1935-10-17,NA,NA,NA,NA,0,NA,NA,NA,1935-10-01,1936,0,0,0,0,0,0,0
1935-10-18,NA,NA,NA,NA,0,NA,NA,NA,1935-10-01,1936,0,0,0,0,0,0,0
1935-10-19,NA,NA,NA,NA,0,NA,NA,NA,1935-10-01,1936,0,0,0,0,0,0,0
1935-10-20,NA,NA,NA,NA,0,NA,NA,NA,1935-10-01,1936,0,0,0,0,0,0,0
1935-10-21,NA,NA,NA,NA,0,NA,NA,NA,1935-10-01,1936,0,0,0,0,0,0,0
1935-10-22,NA,NA,NA,NA,0,NA,NA,NA,1935-10-01,1936,0,0,0,0,0,0,0
1935-10-23,NA,NA,NA,NA,0,NA,NA,NA,1935-10-01,1936,0,0,0,0,0,0,0
1935-10-24,NA,NA,NA,NA,0,NA,NA,NA,1935-10-01,1936,0,0,0,0,0,0,0
1935-10-25,NA,NA,NA,NA,0,NA,NA,NA,1935-10-01,1936,0,0,0,0,0,0,0
1935-10-26,NA,NA,NA,NA,0,NA,NA,NA,1935-10-01,1936,0,0,0,0,0,0,0
1935-10-27,NA,NA,NA,NA,0,NA,NA,NA,1935-10-01,1936,0,0,0,0,0,0,0
1935-10-28,NA,NA,NA,NA,0,NA,NA,NA,1935-10-01,1936,0,0,0,0,0,0,0
1935-10-29,NA,NA,NA,NA,0,NA,NA,NA,1935-10-01,1936,0,0,0,0,0,0,0
1935-10-30,NA,NA,NA,NA,0,NA,NA,NA,1935-10-01,1936,0,0,0,0,0,0,0
1935-10-31,NA,NA,NA,NA,18.3,NA,NA,NA,1935-10-01,1936,14.4104714959336,16.6510997879831,14.048958220861,15.0368431682592,15.5307856419583,15.3500290044221,15.5307856419583
1935-11-01,NA,NA,NA,NA,25.4,NA,NA,NA,1935-11-01,1936,21.7892312353793,17.8338880309295,20.9675791583855,20.1968994748981,19.8115596331544,19.4007335946575,19.8115596331544
1935-11-02,NA,NA,NA,NA,0,NA,NA,NA,1935-11-01,1936,0,0,0,0,0,0,0
1935-11-03,NA,NA,NA,NA,0,NA,NA,NA,1935-11-01,1936,0,0,0,0,0,0,0
1935-11-04,NA,NA,NA,NA,0,NA,NA,NA,1935-11-01,1936,0,0,0,0,0,0,0
1935-11-05,NA,NA,NA,NA,0,NA,NA,NA,1935-11-01,1936,0,0,0,0,0,0,0
1935-11-06,NA,NA,NA,NA,0,NA,NA,NA,1935-11-01,1936,0,0,0,0,0,0,0
1935-11-07,NA,NA,NA,NA,0,NA,NA,NA,1935-11-01,1936,0,0,0,0,0,0,0
1935-11-08,NA,NA,NA,NA,0,NA,NA,NA,1935-11-01,1936,0,0,0,0,0,0,0
1935-11-09,NA,NA,NA,NA,0,NA,NA,NA,1935-11-01,1936,0,0,0,0,0,0,0
1935-11-10,NA,NA,NA,NA,0,NA,NA,NA,1935-11-01,1936,0,0,0,0,0,0,0
1935-11-11,NA,NA,NA,NA,0,NA,NA,NA,1935-11-01,1936,0,0,0,0,0,0,0
1935-11-12,NA,NA,NA,NA,3.8,NA,NA,NA,1935-11-01,1936,3.25980624781266,2.66806198887921,3.13688192133326,3.02158338600838,2.96393411834593,2.90247195510624,2.96393411834593
1935-11-13,NA,NA,NA,NA,0,NA,NA,NA,1935-11-01,1936,0,0,0,0,0,0,0
1935-11-14,NA,NA,NA,NA,0,NA,NA,NA,1935-11-01,1936,0,0,0,0,0,0,0
