brood_year,w1_Wet_Tim__basecase,w1_Wet_Tim__alf_curtail_08.15,w1_Wet_Tim__alf_curtail_07.31,w1_Wet_Tim__alf_curtail_07.15,f2_FA_Dif_num__basecase,f2_FA_Dif_num__alf_curtail_08.15,f2_FA_Dif_num__alf_curtail_07.31,f2_FA_Dif_num__alf_curtail_07.15,f1_recon_120__basecase,f1_recon_120__alf_curtail_08.15,f1_recon_120__alf_curtail_07.31,f1_recon_120__alf_curtail_07.15
1991,,,,,72,69,89,69,9,9,9,9
1992,192,192,133,192,65,129,137,129,135,132,98,98
1993,110,110,159,159,141,134,124,121,119,102,102,102
1994,,,,,0,0,0,0,101,100,100,100
1995,76,76,76,76,"1,986","1,984",299,293,131,131,130,130
1996,89,89,89,126,996,"1,020","1,030","1,068",94,94,93,93
1997,203,203,203,203,106,105,104,96,79,79,79,79
1998,101,101,101,99,988,989,"1,024","1,025",61,61,61,61
1999,150,150,150,150,197,195,195,201,64,63,62,62
2000,135,135,135,101,0,0,0,0,78,78,78,78
2001,154,154,154,154,37,39,173,111,133,132,130,129
2002,190,190,190,190,0,0,53,44,112,108,105,98
2003,76,76,73,73,45,465,447,438,96,95,94,94
2004,64,100,100,100,"1,138","1,155",25,38,91,90,90,90
2005,114,114,115,67,59,59,57,52,99,99,99,99
2006,78,78,78,78,191,192,192,187,75,75,74,74
2007,71,71,71,71,35,75,203,234,75,75,75,75
2008,42,47,47,62,112,121,121,72,94,94,48,48
2009,144,144,144,144,39,58,42,33,74,73,73,73
2010,178,91,75,75,260,218,272,313,112,112,112,112
2011,107,107,107,64,0,39,7,6,61,59,59,58
2012,87,88,88,88,101,99,102,92,120,120,84,84
2013,116,116,116,116,0,0,0,0,82,82,82,82
2014,76,76,76,95,96,97,164,197,162,162,162,162
2015,109,124,124,124,177,218,221,230,93,90,84,84
2016,156,156,156,120,148,174,181,166,101,100,99,99
2017,69,69,69,69,59,59,52,67,47,46,46,46
2018,102,102,102,49,0,0,0,0,74,74,74,71
2019,76,76,76,76,122,120,119,119,109,109,109,108
2020,114,114,114,114,0,0,0,0,104,104,104,104
2021,76,76,76,76,42,42,110,158,134,134,127,126
2022,97,97,97,97,0,0,0,0,73,72,68,65
2023,76,76,76,76,47,47,46,18,117,117,117,117
2024,78,78,78,78,590,599,592,598,97,96,96,96
2025,123,78,123,123,,,,,82,82,82,82
