brood_year,s1_SP_ROC_Max__basecase,s1_SP_ROC_Max__basecase__alf_curtail_08.15,s1_SP_ROC_Max__basecase__alf_curtail_08.15__alf_curtail_07.31,s1_SP_ROC_Max__basecase__alf_curtail_08.15__alf_curtail_07.31__alf_curtail_07.15,w1_Wet_BFL_Mag_50__basecase,w1_Wet_BFL_Mag_50__basecase__alf_curtail_08.15,w1_Wet_BFL_Mag_50__basecase__alf_curtail_08.15__alf_curtail_07.31,w1_Wet_BFL_Mag_50__basecase__alf_curtail_08.15__alf_curtail_07.31__alf_curtail_07.15
1991,0.155,0.155,0.155,0.155,,,,
1992,0.141,0.14,0.14,0.139,607,600,368,601
1993,0.243,0.242,0.242,0.241,"1,003",980,"1,114","1,107"
1994,0.216,0.216,0.216,0.216,,,,
1995,0.137,0.137,0.137,0.134,973,972,988,876
1996,0.171,0.171,0.171,0.17,"1,238","1,235","1,223","1,219"
1997,0.081,0.08,0.079,0.079,738,737,736,737
1998,0.208,0.187,0.155,0.165,"1,275","1,275","1,275","1,264"
1999,0.263,0.263,0.263,0.235,"1,038","1,036","1,030","1,027"
2000,0.197,0.197,0.202,0.18,970,967,966,939
2001,0.168,0.168,0.166,0.164,206,207,211,211
2002,0.162,0.163,0.163,0.163,888,879,880,881
2003,0.247,0.247,0.247,0.216,"1,082","1,078","1,072","1,073"
2004,0.155,0.154,0.155,0.153,665,911,910,907
2005,0.21,0.21,0.21,0.182,771,764,764,687
2006,0.119,0.119,0.119,0.119,"2,432","2,405","2,392","2,383"
2007,0.208,0.208,0.209,0.209,631,633,636,636
2008,0.231,0.231,0.231,0.209,481,478,475,504
2009,0.136,0.139,0.135,0.122,564,559,556,557
2010,0.269,0.27,0.268,0.246,930,563,533,531
2011,0.166,0.166,0.166,0.156,"1,027","1,023","1,023",960
2012,0.14,0.14,0.141,0.13,474,488,488,490
2013,0.186,0.186,0.186,0.186,489,483,466,466
2014,0.155,0.144,0.16,0.164,96,96,98,318
2015,0.363,0.364,0.365,0.365,565,871,861,860
2016,0.134,0.134,0.136,0.134,"1,689","1,690","1,693","1,305"
2017,0.262,0.262,0.262,0.234,"1,455","1,445","1,444","1,443"
2018,0.199,0.199,0.199,0.199,355,356,357,338
2019,0.172,0.172,0.172,0.172,773,760,758,758
2020,0.246,0.246,0.246,0.246,238,238,240,241
2021,0.152,0.154,0.13,0.13,254,250,250,249
2022,0.127,0.136,0.136,0.136,270,265,262,262
2023,0.199,0.201,0.201,0.176,658,667,657,655
2024,0.129,0.134,0.135,0.114,878,874,871,868
2025,0.133,0.133,0.133,0.133,"1,328","1,250","1,310","1,309"
