brood_year,f1_FA_Dif_num__basecase,f1_FA_Dif_num__alf_curtail_08.15,f1_FA_Dif_num__alf_curtail_07.31,f1_FA_Dif_num__alf_curtail_07.15,s1_SP_ROC__basecase,s1_SP_ROC__alf_curtail_08.15,s1_SP_ROC__alf_curtail_07.31,s1_SP_ROC__alf_curtail_07.15,f2_FA_Dif_num__basecase,f2_FA_Dif_num__alf_curtail_08.15,f2_FA_Dif_num__alf_curtail_07.31,f2_FA_Dif_num__alf_curtail_07.15
1991,,,,,0.046,0.046,0.046,0.044,72,69,89,69
1992,72,69,89,69,0.048,0.049,0.048,0.048,65,129,137,129
1993,65,129,137,129,0.054,0.054,0.054,0.042,141,134,124,121
1994,141,134,124,121,0.056,0.06,0.06,0.06,0,0,0,0
1995,0,0,0,0,0.051,0.041,0.045,0.041,"1,986","1,984",299,293
1996,"1,986","1,984",299,293,0.06,0.06,0.059,0.045,996,"1,020","1,030","1,068"
1997,996,"1,020","1,030","1,068",0.026,0.026,0.026,0.026,106,105,104,96
1998,106,105,104,96,0.052,0.036,0.038,0.034,988,989,"1,024","1,025"
1999,988,989,"1,024","1,025",0.062,0.062,0.062,0.04,197,195,195,201
2000,197,195,195,201,0.049,0.048,0.045,0.036,0,0,0,0
2001,0,0,0,0,0.083,0.082,0.081,0.081,37,39,173,111
2002,37,39,173,111,0.05,0.05,0.05,0.046,0,0,53,44
2003,0,0,53,44,0.053,0.052,0.053,0.038,45,465,447,438
2004,45,465,447,438,0.046,0.046,0.046,0.044,"1,138","1,155",25,38
2005,"1,138","1,155",25,38,0.053,0.052,0.053,0.039,59,59,57,52
2006,59,59,57,52,0.041,0.041,0.041,0.041,191,192,192,187
2007,191,192,192,187,0.056,0.056,0.055,0.056,35,75,203,234
2008,35,75,203,234,0.067,0.068,0.068,0.041,112,121,121,72
2009,112,121,121,72,0.059,0.059,0.058,0.051,39,58,42,33
2010,39,58,42,33,0.059,0.048,0.05,0.038,260,218,272,313
2011,260,218,272,313,0.048,0.038,0.049,0.039,0,39,7,6
2012,0,39,7,6,0.059,0.058,0.058,0.04,101,99,102,92
2013,101,99,102,92,0.058,0.058,0.055,0.055,0,0,0,0
2014,0,0,0,0,0.042,0.041,0.04,0.04,96,97,164,197
2015,96,97,164,197,0.036,0.036,0.037,0.032,177,218,221,230
2016,177,218,221,230,0.057,0.057,0.057,0.042,148,174,181,166
2017,148,174,181,166,0.052,0.054,0.053,0.049,59,59,52,67
2018,59,59,52,67,0.058,0.058,0.058,0.058,0,0,0,0
2019,0,0,0,0,0.057,0.058,0.056,0.04,122,120,119,119
2020,122,120,119,119,0.062,0.062,0.062,0.062,0,0,0,0
2021,0,0,0,0,0.071,0.072,0.071,0.071,42,42,110,158
2022,42,42,110,158,0.046,0.052,0.052,0.043,0,0,0,0
2023,0,0,0,0,0.065,0.066,0.066,0.046,47,47,46,18
2024,47,47,46,18,0.061,0.067,0.066,0.049,590,599,592,598
2025,590,599,592,598,0.053,0.052,0.052,0.036,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
