brood_year,w1_Wet_BFL_Mag_50__basecase,w1_Wet_BFL_Mag_50__alf_curtail_08.15,w1_Wet_BFL_Mag_50__alf_curtail_07.31,w1_Wet_BFL_Mag_50__alf_curtail_07.15,,,,,
1991,,,,,,,,,
1992,607,600,368,601,,,,,
1993,"1,003",980,"1,114","1,107",,,,,
1994,,,,,,,,,
1995,973,972,988,876,,,,,
1996,"1,238","1,235","1,223","1,219",,,,,
1997,738,737,736,737,,,,,
1998,"1,275","1,275","1,275","1,264",,,,,
1999,"1,038","1,036","1,030","1,027",,,,,
2000,970,967,966,939,,,,,
2001,206,207,211,211,,,,,
2002,888,879,880,881,,,,,
2003,"1,082","1,078","1,072","1,073",,,,,
2004,665,911,910,907,,,,,
2005,771,764,764,687,,,,,
2006,"2,432","2,405","2,392","2,383",,,,,
2007,631,633,636,636,,,,,
2008,481,478,475,504,,,,,
2009,564,559,556,557,,,,,
2010,930,563,533,531,,,,,
2011,"1,027","1,023","1,023",960,,,,,
2012,474,488,488,490,,,,,
2013,489,483,466,466,,,,,
2014,96,96,98,318,,,,,
2015,565,871,861,860,,,,,
2016,"1,689","1,690","1,693","1,305",,,,,
2017,"1,455","1,445","1,444","1,443",,,,,
2018,355,356,357,338,,,,,
2019,773,760,758,758,,,,,
2020,238,238,240,241,,,,,
2021,254,250,250,249,,,,,
2022,270,265,262,262,,,,,
2023,658,667,657,655,,,,,
2024,878,874,871,868,,,,,
2025,"1,328","1,250","1,310","1,309",,,,,
