,water_year,BY_recon_100,BY_recon_200,RY_discon_200,RY_recon_8,RY_DS_Mag_90
1,1991,64,125,288,1,121.6
2,1992,93,154,275,1,140.2
3,1993,92,116,314,1,99
4,1994,82,121,275,1,56.2
5,1995,123,123,337,1,108
6,1996,64,92,307,1,71
7,1997,62,62,287,1,292
8,1998,4,65,338,1,123.8
9,1999,33,62,312,1,257
10,2000,62,81,309,1,102
11,2001,85,182,274,1,16.7
12,2002,92,101,304,1,87.2
13,2003,92,92,311,1,129.9
14,2004,63,92,305,1,98
15,2005,82,93,311,1,135
16,2006,63,81,311,1,80.7
17,2007,62,82,277,1,115
18,2008,50,93,308,1,101
19,2009,67,123,305,1,109.6
20,2010,95,123,327,1,131.6
21,2011,37,63,340,1,146
22,2012,62,123,306,1,96.4
23,2013,78,92,276,1,72
24,2014,154,158,244,1,50.8
25,2015,84,92,247,1,114
26,2016,96,122,299,1,376.5
27,2017,37,59,308,1,82.6
28,2018,62,78,275,NA,68
