,water_year,f1_FA_Dif_num,s1_SP_ROC,f2_FA_Dif_num,f1_FA_Dif_num_zscore,s1_SP_ROC_zscore,f2_FA_Dif_num_zscore
1,1991,NA,0.0456213127166465,0,NA,-1.61344738464201,-0.815570251102655
2,1992,0,0.048015464651487,15.258446488734,-0.825830978527397,-1.43110822754102,-0.756256376832212
3,1993,15.258446488734,0.0540666743232698,112.315800267052,-0.766265349805105,-0.970246719573366,-0.378967136850958
4,1994,112.315800267052,0.0598510890497909,17.5178345204405,-0.387374726556138,-0.529704375452375,-0.747473499903048
5,1995,17.5178345204405,0.0504442335051111,1536.53126350799,-0.757445194441609,-1.24613263801459,5.15735905356863
6,1996,1536.53126350799,0.0600065270214696,633.865119997169,5.17245009352588,-0.517866184097462,1.64844180016948
7,1997,633.865119997169,0.0263977989367929,91.7526788262805,1.64863943532763,-3.0775145760884,-0.458901775062412
8,1998,91.7526788262805,0.0515574856786166,710.084266612565,-0.467648642909075,-1.16134709871616,1.94472706634543
9,1999,710.084266612565,0.0618396107049617,25.390335967175,1.94618226789415,-0.378258112913873,-0.716870871952014
10,2000,25.390335967175,0.0485404889912308,0,-0.726712675332398,-1.39112225414758,-0.815570251102655
11,2001,0,0.0825318142136483,0,-0.825830978527397,1.19766482306618,-0.815570251102655
12,2002,0,0.0499237599548615,17.7648955612435,-0.825830978527397,-1.28577202224281,-0.746513104129984
13,2003,17.7648955612435,0.0518950390424703,40.2934073674221,-0.756480722321916,-1.13563895758024,-0.658938440630754
14,2004,40.2934073674221,0.0463751153506661,21.5010262632006,-0.66853435301732,-1.55603760420684,-0.731989712978896
15,2005,21.5010262632006,0.0527300414901403,67.0480768455169,-0.741895687442051,-1.07204498082807,-0.554935513285387
16,2006,67.0480768455169,0.0408392742929313,3668.55545765753,-0.564089991011234,-1.97764852105105,13.4451369139622
17,2007,3668.55545765753,0.0552938806100884,59.7829617124377,13.4954049676949,-0.876782409029329,-0.583177059754874
18,2008,59.7829617124377,0.0672293858308135,115.939571266562,-0.592451407159413,0.0322283892626047,-0.364880519474247
19,2009,115.939571266562,0.0588464418947455,50.3605843539602,-0.373228319312727,-0.60621853178853,-0.619804491412615
20,2010,50.3605843539602,0.0581150868320384,259.301860461565,-0.629234301920737,-0.661918700075655,0.192409031772908
21,2011,259.301860461565,0.0482300224213657,0,0.186426616546729,-1.41476745887892,-0.815570251102655
22,2012,0,0.0585854221763006,62.8467583820936,-0.825830978527397,-0.62609785304437,-0.57126722013992
23,2013,62.8467583820936,0.0580608639270439,0,-0.580491016890321,-0.66604832888007,-0.815570251102655
24,2014,0,0.0416502249285782,26.9431713215647,-0.825830978527397,-1.91588633578513,-0.710834564059138
25,2015,26.9431713215647,0.0361542421453825,111.679250537532,-0.720650746665235,-2.33446163735481,-0.381441584734726
26,2016,111.679250537532,0.0571210989088337,646.662467126931,-0.389859677096801,-0.737621046885063,1.69818868883277
27,2017,646.662467126931,0.05233080453421,208.274960691832,1.69859747190262,-1.10245095839722,-0.00594688339756062
28,2018,208.274960691832,0.0581964700658791,0,-0.0127712093117349,-0.655720534435149,-0.815570251102655
29,2019,0,0.0566705078976622,2.390569961056,-0.825830978527397,-0.771938161007466,-0.806277433107752
30,2020,2.390569961056,0.0615126457983769,0,-0.816498717681572,-0.40315983473056,-0.815570251102655
31,2021,0,0.0711827263850908,16.28019666824,-0.825830978527397,0.333315707034748,-0.75228454642813
32,2022,16.28019666824,0.0378610026349695,15.7229459411864,-0.762276661187012,-2.20447436941423,-0.754450736779551
33,2023,15.7229459411864,0.0645419285493233,36.895500842702,-0.764452045813318,-0.172448969897766,-0.672147059249876
34,2024,36.895500842702,0.0609607146729155,426.972734640078,-0.681799034886079,-0.445195035057618,0.844192891760398
35,2025,426.972734640078,0.0527270821939744,NA,0.840976937002589,-1.07227036149863,NA
